




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non_TAGs_low.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	non_TAGs_low.txt (37812)	non_TAGs_low.txt (expected)	non_TAGs_low.txt (over/under)	non_TAGs_low.txt (fold Enrichment)	non_TAGs_low.txt (raw P-value)	non_TAGs_low.txt (FDR)
regulation of cell communication (GO:0010646)	90	83	60.93	+	1.36	4.67E-08	2.06E-07
regulation of signaling (GO:0023051)	90	83	60.93	+	1.36	4.67E-08	2.05E-07
phospholipid metabolic process (GO:0006644)	244	225	165.19	+	1.36	5.96E-20	5.98E-19
phospholipid dephosphorylation (GO:0046839)	64	59	43.33	+	1.36	5.57E-06	1.93E-05
microtubule cytoskeleton organization (GO:0000226)	229	211	155.03	+	1.36	9.55E-19	9.25E-18
terpenoid metabolic process (GO:0006721)	76	70	51.45	+	1.36	8.05E-07	3.12E-06
mitochondrial transport (GO:0006839)	114	105	77.18	+	1.36	1.03E-09	5.49E-09
chromosome segregation (GO:0007059)	139	128	94.10	+	1.36	8.64E-12	5.50E-11
regulation of signal transduction (GO:0009966)	88	81	59.58	+	1.36	7.27E-08	3.12E-07
protein hydroxylation (GO:0018126)	25	23	16.92	+	1.36	8.71E-03	1.66E-02
protein glycosylation (GO:0006486)	75	69	50.77	+	1.36	7.85E-07	3.06E-06
macromolecule glycosylation (GO:0043413)	75	69	50.77	+	1.36	7.85E-07	3.05E-06
protein localization to chloroplast (GO:0072598)	25	23	16.92	+	1.36	8.71E-03	1.66E-02
cell cycle DNA replication (GO:0044786)	25	23	16.92	+	1.36	8.71E-03	1.65E-02
nuclear DNA replication (GO:0033260)	25	23	16.92	+	1.36	8.71E-03	1.65E-02
regulation of cellular catabolic process (GO:0031329)	87	80	58.90	+	1.36	1.10E-07	4.65E-07
protein N-linked glycosylation (GO:0006487)	62	57	41.97	+	1.36	8.59E-06	2.82E-05
macromolecule methylation (GO:0043414)	124	114	83.95	+	1.36	2.21E-10	1.26E-09
cytosolic transport (GO:0016482)	37	34	25.05	+	1.36	1.15E-03	2.53E-03
ubiquitin-dependent protein catabolic process (GO:0006511)	550	505	372.35	+	1.36	5.63E-42	1.25E-40
multicellular organismal process (GO:0032501)	218	200	147.58	+	1.36	2.93E-17	2.62E-16
rRNA modification (GO:0000154)	60	55	40.62	+	1.35	2.06E-05	6.37E-05
inorganic anion transmembrane transport (GO:0098661)	24	22	16.25	+	1.35	1.41E-02	2.51E-02
regulation of membrane lipid distribution (GO:0097035)	36	33	24.37	+	1.35	1.10E-03	2.41E-03
cytoskeleton organization (GO:0007010)	369	338	249.81	+	1.35	6.85E-28	1.00E-26
mitochondrial transmembrane transport (GO:1990542)	95	87	64.31	+	1.35	5.80E-08	2.52E-07
positive regulation of catabolic process (GO:0009896)	83	76	56.19	+	1.35	4.00E-07	1.61E-06
dicarboxylic acid metabolic process (GO:0043648)	94	86	63.64	+	1.35	9.23E-08	3.92E-07
ncRNA processing (GO:0034470)	446	408	301.94	+	1.35	3.55E-33	6.10E-32
DNA-templated transcription initiation (GO:0006352)	93	85	62.96	+	1.35	8.72E-08	3.72E-07
protein acylation (GO:0043543)	58	53	39.27	+	1.35	3.10E-05	9.20E-05
organelle fission (GO:0048285)	116	106	78.53	+	1.35	1.83E-09	9.51E-09
modification-dependent macromolecule catabolic process (GO:0043632)	580	530	392.66	+	1.35	2.93E-42	6.69E-41
modification-dependent protein catabolic process (GO:0019941)	567	518	383.85	+	1.35	3.08E-41	6.71E-40
mRNA processing (GO:0006397)	358	327	242.36	+	1.35	2.02E-26	2.71E-25
signal peptide processing (GO:0006465)	23	21	15.57	+	1.35	1.33E-02	2.39E-02
response to starvation (GO:0042594)	46	42	31.14	+	1.35	2.29E-04	5.86E-04
DNA strand elongation involved in DNA replication (GO:0006271)	23	21	15.57	+	1.35	1.33E-02	2.39E-02
intracellular signaling cassette (GO:0141124)	69	63	46.71	+	1.35	6.79E-06	2.33E-05
anatomical structure development (GO:0048856)	298	272	201.74	+	1.35	4.38E-22	4.93E-21
RNA processing (GO:0006396)	882	805	597.11	+	1.35	2.86E-63	9.74E-62
mRNA metabolic process (GO:0016071)	536	489	362.87	+	1.35	1.14E-38	2.23E-37
aspartate family amino acid metabolic process (GO:0009066)	57	52	38.59	+	1.35	4.76E-05	1.38E-04
developmental process (GO:0032502)	421	384	285.01	+	1.35	1.65E-30	2.70E-29
gibberellin metabolic process (GO:0009685)	34	31	23.02	+	1.35	2.67E-03	5.63E-03
phytosteroid metabolic process (GO:0016128)	34	31	23.02	+	1.35	2.67E-03	5.62E-03
ncRNA metabolic process (GO:0034660)	574	523	388.59	+	1.35	6.51E-41	1.35E-39
ribonucleoprotein complex biogenesis (GO:0022613)	549	500	371.67	+	1.35	7.30E-39	1.45E-37
nuclear chromosome segregation (GO:0098813)	67	61	45.36	+	1.34	1.01E-05	3.25E-05
Golgi vesicle transport (GO:0048193)	266	242	180.08	+	1.34	2.46E-19	2.43E-18
glycerolipid biosynthetic process (GO:0045017)	144	131	97.49	+	1.34	7.19E-11	4.18E-10
cellular developmental process (GO:0048869)	188	171	127.27	+	1.34	4.81E-14	3.68E-13
peptidyl-amino acid modification (GO:0018193)	419	381	283.66	+	1.34	1.60E-29	2.42E-28
'de novo' protein folding (GO:0006458)	77	70	52.13	+	1.34	2.18E-06	7.91E-06
protein insertion into mitochondrial inner membrane (GO:0045039)	22	20	14.89	+	1.34	2.07E-02	3.60E-02
protein palmitoylation (GO:0018345)	44	40	29.79	+	1.34	5.33E-04	1.24E-03
nucleosome assembly (GO:0006334)	22	20	14.89	+	1.34	2.07E-02	3.59E-02
liposaccharide metabolic process (GO:1903509)	55	50	37.23	+	1.34	7.30E-05	2.04E-04
membrane protein proteolysis (GO:0033619)	22	20	14.89	+	1.34	2.07E-02	3.59E-02
glycolipid metabolic process (GO:0006664)	55	50	37.23	+	1.34	7.30E-05	2.03E-04
photosynthesis (GO:0015979)	66	60	44.68	+	1.34	1.55E-05	4.88E-05
glycolipid biosynthetic process (GO:0009247)	55	50	37.23	+	1.34	7.30E-05	2.03E-04
spindle assembly (GO:0051225)	77	70	52.13	+	1.34	2.18E-06	7.89E-06
nucleotide-sugar metabolic process (GO:0009225)	33	30	22.34	+	1.34	2.63E-03	5.56E-03
transcription by RNA polymerase II (GO:0006366)	121	110	81.92	+	1.34	2.13E-09	1.09E-08
cell differentiation (GO:0030154)	186	169	125.92	+	1.34	1.09E-13	8.20E-13
spindle organization (GO:0007051)	109	99	73.79	+	1.34	2.35E-08	1.06E-07
glycoprotein biosynthetic process (GO:0009101)	76	69	51.45	+	1.34	3.29E-06	1.17E-05
response to extracellular stimulus (GO:0009991)	54	49	36.56	+	1.34	1.10E-04	2.96E-04
pyridine-containing compound metabolic process (GO:0072524)	162	147	109.67	+	1.34	5.09E-12	3.39E-11
response to nutrient levels (GO:0031667)	54	49	36.56	+	1.34	1.10E-04	2.96E-04
RNA methylation (GO:0001510)	86	78	58.22	+	1.34	7.12E-07	2.78E-06
mitochondrion organization (GO:0007005)	161	146	109.00	+	1.34	7.63E-12	4.88E-11
membrane organization (GO:0061024)	310	281	209.87	+	1.34	1.09E-21	1.19E-20
lipid translocation (GO:0034204)	32	29	21.66	+	1.34	3.99E-03	8.07E-03
carbohydrate derivative catabolic process (GO:1901136)	138	125	93.42	+	1.34	3.60E-10	2.00E-09
alcohol metabolic process (GO:0006066)	105	95	71.08	+	1.34	5.12E-08	2.23E-07
DNA-templated DNA replication (GO:0006261)	126	114	85.30	+	1.34	2.44E-09	1.25E-08
mRNA modification (GO:0016556)	42	38	28.43	+	1.34	8.11E-04	1.84E-03
positive regulation of mRNA metabolic process (GO:1903313)	73	66	49.42	+	1.34	7.55E-06	2.55E-05
sister chromatid segregation (GO:0000819)	52	47	35.20	+	1.34	2.66E-04	6.74E-04
nicotinamide nucleotide metabolic process (GO:0046496)	156	141	105.61	+	1.34	4.05E-11	2.42E-10
pyridine nucleotide metabolic process (GO:0019362)	156	141	105.61	+	1.34	4.05E-11	2.41E-10
establishment of localization in cell (GO:0051649)	696	629	471.19	+	1.33	8.03E-46	1.93E-44
macromolecule localization (GO:0033036)	934	844	632.31	+	1.33	3.79E-61	1.23E-59
intracellular transport (GO:0046907)	653	590	442.08	+	1.33	5.11E-43	1.19E-41
protein transport (GO:0015031)	475	429	321.57	+	1.33	2.41E-31	4.00E-30
cell fate commitment (GO:0045165)	41	37	27.76	+	1.33	1.23E-03	2.68E-03
RNA metabolic process (GO:0016070)	1518	1368	1027.67	+	1.33	1.21E-96	6.47E-95
establishment of protein localization to organelle (GO:0072594)	282	254	190.91	+	1.33	9.61E-19	9.24E-18
vesicle-mediated transport (GO:0016192)	751	676	508.42	+	1.33	1.61E-47	4.08E-46
phospholipid translocation (GO:0045332)	30	27	20.31	+	1.33	9.63E-03	1.81E-02
mitotic nuclear division (GO:0140014)	50	45	33.85	+	1.33	3.85E-04	9.27E-04
mitotic sister chromatid segregation (GO:0000070)	50	45	33.85	+	1.33	3.85E-04	9.26E-04
potassium ion transport (GO:0006813)	50	45	33.85	+	1.33	3.85E-04	9.24E-04
oxidative phosphorylation (GO:0006119)	40	36	27.08	+	1.33	1.89E-03	4.04E-03
protein stabilization (GO:0050821)	40	36	27.08	+	1.33	1.89E-03	4.03E-03
regulation of mitotic cell cycle (GO:0007346)	80	72	54.16	+	1.33	5.77E-06	2.00E-05
hexose metabolic process (GO:0019318)	109	98	73.79	+	1.33	8.57E-08	3.67E-07
gene expression (GO:0010467)	2016	1812	1364.81	+	1.33	1.11E-125	8.17E-124
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	148	133	100.19	+	1.33	3.01E-10	1.68E-09
endomembrane system organization (GO:0010256)	138	124	93.42	+	1.33	1.35E-09	7.13E-09
vesicle organization (GO:0016050)	177	159	119.83	+	1.33	7.37E-12	4.73E-11
protein transmembrane transport (GO:0071806)	98	88	66.35	+	1.33	3.93E-07	1.58E-06
nucleobase metabolic process (GO:0009112)	39	35	26.40	+	1.33	1.88E-03	4.03E-03
membrane lipid metabolic process (GO:0006643)	107	96	72.44	+	1.33	1.28E-07	5.36E-07
glycoprotein metabolic process (GO:0009100)	97	87	65.67	+	1.32	5.82E-07	2.30E-06
ribosome biogenesis (GO:0042254)	445	399	301.26	+	1.32	1.09E-27	1.56E-26
G protein-coupled receptor signaling pathway (GO:0007186)	29	26	19.63	+	1.32	9.27E-03	1.75E-02
developmental process involved in reproduction (GO:0003006)	87	78	58.90	+	1.32	2.70E-06	9.69E-06
peptidyl-serine phosphorylation (GO:0018105)	173	155	117.12	+	1.32	2.48E-11	1.50E-10
peptidyl-serine modification (GO:0018209)	173	155	117.12	+	1.32	2.48E-11	1.49E-10
RNA biosynthetic process (GO:0032774)	230	206	155.71	+	1.32	9.59E-15	7.73E-14
organophosphate ester transport (GO:0015748)	67	60	45.36	+	1.32	6.06E-05	1.73E-04
regulation of RNA stability (GO:0043487)	67	60	45.36	+	1.32	6.06E-05	1.73E-04
cellular macromolecule localization (GO:0070727)	781	699	528.73	+	1.32	6.93E-47	1.73E-45
protein localization (GO:0008104)	781	699	528.73	+	1.32	6.93E-47	1.70E-45
actin filament bundle organization (GO:0061572)	38	34	25.73	+	1.32	2.80E-03	5.78E-03
folic acid-containing compound metabolic process (GO:0006760)	38	34	25.73	+	1.32	2.80E-03	5.77E-03
establishment of protein localization to vacuole (GO:0072666)	38	34	25.73	+	1.32	2.80E-03	5.76E-03
protein localization to vacuole (GO:0072665)	38	34	25.73	+	1.32	2.80E-03	5.75E-03
actin filament bundle assembly (GO:0051017)	38	34	25.73	+	1.32	2.80E-03	5.75E-03
cellular response to starvation (GO:0009267)	38	34	25.73	+	1.32	2.80E-03	5.74E-03
cellular response to nutrient levels (GO:0031669)	38	34	25.73	+	1.32	2.80E-03	5.73E-03
cellular response to extracellular stimulus (GO:0031668)	38	34	25.73	+	1.32	2.80E-03	5.72E-03
chaperone cofactor-dependent protein refolding (GO:0051085)	66	59	44.68	+	1.32	5.78E-05	1.66E-04
DNA-templated transcription (GO:0006351)	226	202	153.00	+	1.32	3.17E-14	2.49E-13
aromatic amino acid family biosynthetic process (GO:0009073)	47	42	31.82	+	1.32	8.65E-04	1.95E-03
fatty acid catabolic process (GO:0009062)	47	42	31.82	+	1.32	8.65E-04	1.95E-03
establishment of protein localization (GO:0045184)	592	529	400.78	+	1.32	2.49E-35	4.57E-34
nucleosome organization (GO:0034728)	28	25	18.96	+	1.32	1.40E-02	2.50E-02
protein targeting to vacuole (GO:0006623)	28	25	18.96	+	1.32	1.40E-02	2.50E-02
Golgi organization (GO:0007030)	56	50	37.91	+	1.32	2.72E-04	6.83E-04
cellular localization (GO:0051641)	1118	998	756.88	+	1.32	2.38E-65	8.30E-64
regulation of mRNA catabolic process (GO:0061013)	65	58	44.00	+	1.32	8.65E-05	2.37E-04
positive regulation of protein metabolic process (GO:0051247)	65	58	44.00	+	1.32	8.65E-05	2.36E-04
mRNA catabolic process (GO:0006402)	111	99	75.15	+	1.32	2.06E-07	8.51E-07
pigment biosynthetic process (GO:0046148)	37	33	25.05	+	1.32	4.23E-03	8.52E-03
tRNA metabolic process (GO:0006399)	248	221	167.89	+	1.32	3.68E-15	2.98E-14
regulation of hormone levels (GO:0010817)	101	90	68.38	+	1.32	9.59E-07	3.67E-06
nuclear-transcribed mRNA catabolic process (GO:0000956)	101	90	68.38	+	1.32	9.59E-07	3.66E-06
protein localization to organelle (GO:0033365)	358	319	242.36	+	1.32	3.03E-21	3.22E-20
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	55	49	37.23	+	1.32	4.13E-04	9.85E-04
terpenoid biosynthetic process (GO:0016114)	55	49	37.23	+	1.32	4.13E-04	9.83E-04
mitotic spindle organization (GO:0007052)	55	49	37.23	+	1.32	4.13E-04	9.82E-04
regulation of mRNA stability (GO:0043488)	64	57	43.33	+	1.32	1.32E-04	3.46E-04
macromolecule biosynthetic process (GO:0009059)	2447	2179	1656.60	+	1.32	1.82E-140	1.70E-138
intracellular signal transduction (GO:0035556)	356	317	241.01	+	1.32	4.38E-21	4.59E-20
regulation of response to stimulus (GO:0048583)	118	105	79.88	+	1.31	9.83E-08	4.15E-07
iron-sulfur cluster assembly (GO:0016226)	27	24	18.28	+	1.31	2.15E-02	3.70E-02
branched-chain amino acid metabolic process (GO:0009081)	54	48	36.56	+	1.31	4.09E-04	9.80E-04
amine metabolic process (GO:0009308)	117	104	79.21	+	1.31	1.47E-07	6.13E-07
ERAD pathway (GO:0036503)	99	88	67.02	+	1.31	1.37E-06	5.13E-06
response to endoplasmic reticulum stress (GO:0034976)	126	112	85.30	+	1.31	4.82E-08	2.11E-07
intracellular protein transport (GO:0006886)	378	336	255.90	+	1.31	5.19E-22	5.78E-21
membrane lipid biosynthetic process (GO:0046467)	97	86	65.67	+	1.31	2.05E-06	7.46E-06
monosaccharide metabolic process (GO:0005996)	141	125	95.46	+	1.31	1.12E-08	5.31E-08
RNA modification (GO:0009451)	375	332	253.87	+	1.31	5.44E-21	5.66E-20
ribonucleoside monophosphate metabolic process (GO:0009161)	26	23	17.60	+	1.31	2.12E-02	3.66E-02
tRNA processing (GO:0008033)	130	115	88.01	+	1.31	4.95E-08	2.16E-07
immune system process (GO:0002376)	26	23	17.60	+	1.31	2.12E-02	3.66E-02
mitochondrial translation (GO:0032543)	26	23	17.60	+	1.31	2.12E-02	3.65E-02
sphingolipid metabolic process (GO:0006665)	52	46	35.20	+	1.31	8.97E-04	2.01E-03
immune response (GO:0006955)	26	23	17.60	+	1.31	2.12E-02	3.65E-02
amino acid biosynthetic process (GO:0008652)	173	153	117.12	+	1.31	2.78E-10	1.56E-09
post-translational protein modification (GO:0043687)	638	564	431.92	+	1.31	2.19E-34	3.97E-33
nuclear division (GO:0000280)	86	76	58.22	+	1.31	1.36E-05	4.31E-05
protein targeting (GO:0006605)	214	189	144.88	+	1.30	3.49E-12	2.34E-11
nucleic acid metabolic process (GO:0090304)	2079	1836	1407.47	+	1.30	6.87E-110	3.99E-108
protein maturation (GO:0051604)	462	408	312.77	+	1.30	6.25E-25	7.71E-24
protein modification by small protein conjugation or removal (GO:0070647)	624	551	422.44	+	1.30	2.09E-33	3.69E-32
chaperone-mediated protein folding (GO:0061077)	94	83	63.64	+	1.30	6.65E-06	2.29E-05
translation (GO:0006412)	418	369	282.98	+	1.30	1.03E-22	1.23E-21
anatomical structure morphogenesis (GO:0009653)	76	67	51.45	+	1.30	6.28E-05	1.78E-04
negative regulation of cell cycle (GO:0045786)	59	52	39.94	+	1.30	4.14E-04	9.82E-04
negative regulation of cell cycle process (GO:0010948)	59	52	39.94	+	1.30	4.14E-04	9.81E-04
negative regulation of cell cycle phase transition (GO:1901988)	59	52	39.94	+	1.30	4.14E-04	9.79E-04
positive regulation of mRNA catabolic process (GO:0061014)	59	52	39.94	+	1.30	4.14E-04	9.77E-04
positive regulation of cellular catabolic process (GO:0031331)	59	52	39.94	+	1.30	4.14E-04	9.76E-04
positive regulation of biological process (GO:0048518)	480	423	324.96	+	1.30	2.16E-25	2.74E-24
glucose metabolic process (GO:0006006)	84	74	56.87	+	1.30	2.00E-05	6.21E-05
nuclear transport (GO:0051169)	150	132	101.55	+	1.30	1.17E-08	5.46E-08
nucleocytoplasmic transport (GO:0006913)	150	132	101.55	+	1.30	1.17E-08	5.44E-08
peptide biosynthetic process (GO:0043043)	424	373	287.04	+	1.30	3.46E-22	3.95E-21
RNA 3'-end processing (GO:0031123)	83	73	56.19	+	1.30	2.91E-05	8.69E-05
mRNA destabilization (GO:0061157)	58	51	39.27	+	1.30	6.10E-04	1.41E-03
RNA destabilization (GO:0050779)	58	51	39.27	+	1.30	6.10E-04	1.40E-03
nucleoside monophosphate metabolic process (GO:0009123)	33	29	22.34	+	1.30	1.41E-02	2.50E-02
phospholipid transport (GO:0015914)	33	29	22.34	+	1.30	1.41E-02	2.50E-02
cellular response to stress (GO:0033554)	767	674	519.25	+	1.30	6.10E-39	1.23E-37
positive regulation of metabolic process (GO:0009893)	435	382	294.49	+	1.30	1.67E-22	1.93E-21
negative regulation of mitotic cell cycle phase transition (GO:1901991)	41	36	27.76	+	1.30	4.25E-03	8.54E-03
protein-DNA complex organization (GO:0071824)	221	194	149.62	+	1.30	5.22E-12	3.46E-11
organic substance biosynthetic process (GO:1901576)	3501	3073	2370.15	+	1.30	2.57E-177	3.58E-175
positive regulation of macromolecule metabolic process (GO:0010604)	433	380	293.14	+	1.30	3.51E-22	3.97E-21
organophosphate biosynthetic process (GO:0090407)	359	315	243.04	+	1.30	1.62E-18	1.54E-17
monocarboxylic acid catabolic process (GO:0072329)	57	50	38.59	+	1.30	9.14E-04	2.03E-03
organonitrogen compound biosynthetic process (GO:1901566)	1172	1028	793.43	+	1.30	6.55E-58	1.94E-56
positive regulation of transcription by RNA polymerase II (GO:0045944)	122	107	82.59	+	1.30	4.81E-07	1.93E-06
positive regulation of nitrogen compound metabolic process (GO:0051173)	422	370	285.69	+	1.30	1.52E-21	1.65E-20
protein folding (GO:0006457)	365	320	247.10	+	1.30	1.13E-18	1.08E-17
hormone metabolic process (GO:0042445)	81	71	54.84	+	1.29	6.45E-05	1.81E-04
nucleotide-excision repair (GO:0006289)	97	85	65.67	+	1.29	9.60E-06	3.11E-05
positive regulation of cellular process (GO:0048522)	451	395	305.32	+	1.29	1.18E-22	1.40E-21
nucleobase-containing compound metabolic process (GO:0006139)	2543	2227	1721.59	+	1.29	1.81E-124	1.26E-122
heterocycle metabolic process (GO:0046483)	2731	2391	1848.86	+	1.29	1.15E-133	9.39E-132
lipid biosynthetic process (GO:0008610)	409	358	276.89	+	1.29	1.38E-20	1.40E-19
positive regulation of gene expression (GO:0010628)	48	42	32.50	+	1.29	2.88E-03	5.87E-03
localization within membrane (GO:0051668)	208	182	140.81	+	1.29	4.76E-11	2.80E-10
organelle fusion (GO:0048284)	104	91	70.41	+	1.29	4.47E-06	1.59E-05
cell cycle checkpoint signaling (GO:0000075)	56	49	37.91	+	1.29	8.92E-04	2.00E-03
cellular nitrogen compound metabolic process (GO:0034641)	3056	2674	2068.89	+	1.29	2.67E-149	2.86E-147
proteinogenic amino acid biosynthetic process (GO:0170038)	136	119	92.07	+	1.29	1.62E-07	6.77E-07
L-amino acid biosynthetic process (GO:0170034)	136	119	92.07	+	1.29	1.62E-07	6.75E-07
cellular biosynthetic process (GO:0044249)	3403	2977	2303.80	+	1.29	1.15E-166	1.34E-164
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	358	313	242.36	+	1.29	7.13E-18	6.54E-17
amide biosynthetic process (GO:0043604)	485	424	328.34	+	1.29	6.42E-24	7.71E-23
carboxylic acid catabolic process (GO:0046395)	159	139	107.64	+	1.29	1.19E-08	5.49E-08
organic acid catabolic process (GO:0016054)	159	139	107.64	+	1.29	1.19E-08	5.47E-08
isoprenoid metabolic process (GO:0006720)	127	111	85.98	+	1.29	4.89E-07	1.94E-06
positive regulation of RNA metabolic process (GO:0051254)	349	305	236.27	+	1.29	2.12E-17	1.92E-16
biogenic amine metabolic process (GO:0006576)	71	62	48.07	+	1.29	1.92E-04	4.94E-04
cytoplasmic translation (GO:0002181)	126	110	85.30	+	1.29	4.81E-07	1.92E-06
negative regulation of gene expression (GO:0010629)	228	199	154.35	+	1.29	1.10E-11	6.80E-11
intra-Golgi vesicle-mediated transport (GO:0006891)	55	48	37.23	+	1.29	1.30E-03	2.83E-03
membrane fusion (GO:0061025)	102	89	69.05	+	1.29	9.75E-06	3.15E-05
mitochondrial RNA metabolic process (GO:0000959)	47	41	31.82	+	1.29	2.84E-03	5.80E-03
cellular nitrogen compound biosynthetic process (GO:0044271)	1101	960	745.37	+	1.29	1.84E-51	5.12E-50
biosynthetic process (GO:0009058)	3573	3115	2418.89	+	1.29	1.94E-169	2.46E-167
protein localization to nucleus (GO:0034504)	78	68	52.81	+	1.29	1.33E-04	3.50E-04
cellular response to external stimulus (GO:0071496)	39	34	26.40	+	1.29	9.20E-03	1.74E-02
carbohydrate derivative biosynthetic process (GO:1901137)	319	278	215.96	+	1.29	1.15E-15	9.80E-15
nucleotide catabolic process (GO:0009166)	101	88	68.38	+	1.29	9.37E-06	3.04E-05
ATP synthesis coupled electron transport (GO:0042773)	31	27	20.99	+	1.29	2.04E-02	3.55E-02
MAPK cascade (GO:0000165)	31	27	20.99	+	1.29	2.04E-02	3.55E-02
positive regulation of cellular metabolic process (GO:0031325)	402	350	272.15	+	1.29	3.80E-19	3.70E-18
organic cyclic compound metabolic process (GO:1901360)	2899	2523	1962.60	+	1.29	5.01E-134	4.36E-132
cellular response to oxidative stress (GO:0034599)	46	40	31.14	+	1.28	4.11E-03	8.31E-03
carbohydrate derivative transport (GO:1901264)	46	40	31.14	+	1.28	4.11E-03	8.30E-03
electron transport chain (GO:0022900)	69	60	46.71	+	1.28	4.10E-04	9.80E-04
carboxylic acid biosynthetic process (GO:0046394)	320	278	216.64	+	1.28	3.44E-15	2.82E-14
organic acid biosynthetic process (GO:0016053)	320	278	216.64	+	1.28	3.44E-15	2.80E-14
purine nucleotide catabolic process (GO:0006195)	99	86	67.02	+	1.28	1.99E-05	6.20E-05
alpha-amino acid biosynthetic process (GO:1901607)	190	165	128.63	+	1.28	1.85E-09	9.58E-09
import into nucleus (GO:0051170)	76	66	51.45	+	1.28	1.88E-04	4.84E-04
protein import into nucleus (GO:0006606)	76	66	51.45	+	1.28	1.88E-04	4.83E-04
regulation of biological quality (GO:0065008)	356	309	241.01	+	1.28	1.26E-16	1.12E-15
nucleobase-containing compound catabolic process (GO:0034655)	280	243	189.56	+	1.28	1.90E-13	1.41E-12
organelle organization (GO:0006996)	1415	1228	957.94	+	1.28	4.41E-63	1.46E-61
amino acid catabolic process (GO:0009063)	83	72	56.19	+	1.28	8.82E-05	2.40E-04
organelle membrane fusion (GO:0090174)	98	85	66.35	+	1.28	1.95E-05	6.09E-05
positive regulation of macromolecule biosynthetic process (GO:0010557)	324	281	219.35	+	1.28	3.29E-15	2.75E-14
positive regulation of biosynthetic process (GO:0009891)	324	281	219.35	+	1.28	3.29E-15	2.73E-14
positive regulation of cellular biosynthetic process (GO:0031328)	324	281	219.35	+	1.28	3.29E-15	2.72E-14
monocarboxylic acid biosynthetic process (GO:0072330)	75	65	50.77	+	1.28	2.74E-04	6.87E-04
heterocycle biosynthetic process (GO:0018130)	622	539	421.09	+	1.28	8.55E-28	1.24E-26
carbohydrate derivative metabolic process (GO:1901135)	584	506	395.36	+	1.28	3.35E-26	4.37E-25
positive regulation of DNA-templated transcription (GO:0045893)	276	239	186.85	+	1.28	5.48E-13	3.96E-12
positive regulation of RNA biosynthetic process (GO:1902680)	276	239	186.85	+	1.28	5.48E-13	3.94E-12
amino acid metabolic process (GO:0006520)	469	406	317.51	+	1.28	4.12E-21	4.35E-20
regulation of cell cycle process (GO:0010564)	104	90	70.41	+	1.28	1.32E-05	4.21E-05
nuclear export (GO:0051168)	89	77	60.25	+	1.28	5.96E-05	1.71E-04
regulation of cell cycle phase transition (GO:1901987)	89	77	60.25	+	1.28	5.96E-05	1.70E-04
regulation of protein metabolic process (GO:0051246)	215	186	145.55	+	1.28	2.78E-10	1.56E-09
RNA catabolic process (GO:0006401)	133	115	90.04	+	1.28	9.48E-07	3.64E-06
generation of precursor metabolites and energy (GO:0006091)	310	268	209.87	+	1.28	4.10E-14	3.16E-13
negative regulation of biosynthetic process (GO:0009890)	280	242	189.56	+	1.28	7.67E-13	5.43E-12
negative regulation of cellular biosynthetic process (GO:0031327)	280	242	189.56	+	1.28	7.67E-13	5.40E-12
L-amino acid metabolic process (GO:0170033)	221	191	149.62	+	1.28	1.90E-10	1.09E-09
steroid metabolic process (GO:0008202)	103	89	69.73	+	1.28	1.88E-05	5.89E-05
pigment metabolic process (GO:0042440)	44	38	29.79	+	1.28	8.90E-03	1.69E-02
negative regulation of mitotic cell cycle (GO:0045930)	44	38	29.79	+	1.28	8.90E-03	1.68E-02
reproductive process (GO:0022414)	220	190	148.94	+	1.28	2.71E-10	1.54E-09
reproduction (GO:0000003)	220	190	148.94	+	1.28	2.71E-10	1.53E-09
proteolysis (GO:0006508)	924	798	625.54	+	1.28	2.07E-39	4.25E-38
small molecule biosynthetic process (GO:0044283)	447	386	302.62	+	1.28	1.04E-19	1.04E-18
chromatin organization (GO:0006325)	183	158	123.89	+	1.28	1.10E-08	5.21E-08
cellular aromatic compound metabolic process (GO:0006725)	2809	2425	1901.67	+	1.28	1.03E-119	6.85E-118
nucleobase-containing compound biosynthetic process (GO:0034654)	519	448	351.36	+	1.28	1.37E-22	1.61E-21
protein catabolic process (GO:0030163)	782	675	529.41	+	1.28	2.61E-33	4.55E-32
protein modification by small protein conjugation (GO:0032446)	496	428	335.79	+	1.27	1.80E-21	1.93E-20
negative regulation of macromolecule biosynthetic process (GO:0010558)	276	238	186.85	+	1.27	2.23E-12	1.51E-11
proteolysis involved in protein catabolic process (GO:0051603)	777	670	526.02	+	1.27	7.29E-33	1.24E-31
nitrogen compound transport (GO:0071705)	806	695	545.66	+	1.27	5.49E-34	9.81E-33
organonitrogen compound catabolic process (GO:1901565)	1045	901	707.46	+	1.27	7.83E-44	1.85E-42
small molecule catabolic process (GO:0044282)	246	212	166.54	+	1.27	4.17E-11	2.47E-10
meiosis I (GO:0007127)	36	31	24.37	+	1.27	1.92E-02	3.37E-02
negative regulation of metabolic process (GO:0009892)	324	279	219.35	+	1.27	3.73E-14	2.92E-13
