




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	TAGs_low.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	TAGs_low.txt (7661)	TAGs_low.txt (expected)	TAGs_low.txt (over/under)	TAGs_low.txt (fold Enrichment)	TAGs_low.txt (raw P-value)	TAGs_low.txt (FDR)
macroautophagy (GO:0016236)	89	0	12.21	-	 < 0.01	3.32E-06	3.95E-05
negative regulation of cell cycle process (GO:0010948)	59	0	8.09	-	 < 0.01	3.87E-04	2.61E-03
regulation of mRNA processing (GO:0050684)	55	0	7.54	-	 < 0.01	5.55E-04	3.52E-03
RNA transport (GO:0050658)	59	0	8.09	-	 < 0.01	3.87E-04	2.59E-03
nucleic acid transport (GO:0050657)	59	0	8.09	-	 < 0.01	3.87E-04	2.58E-03
phospholipid biosynthetic process (GO:0008654)	143	0	19.61	-	 < 0.01	1.06E-09	2.46E-08
protein import into mitochondrial matrix (GO:0030150)	45	0	6.17	-	 < 0.01	1.96E-03	1.03E-02
regulation of mRNA splicing, via spliceosome (GO:0048024)	44	0	6.04	-	 < 0.01	3.16E-03	1.52E-02
sister chromatid segregation (GO:0000819)	52	0	7.13	-	 < 0.01	8.47E-04	5.09E-03
maturation of SSU-rRNA (GO:0030490)	80	0	10.97	-	 < 0.01	1.18E-05	1.15E-04
mRNA export from nucleus (GO:0006406)	45	0	6.17	-	 < 0.01	1.96E-03	1.03E-02
RNA export from nucleus (GO:0006405)	59	0	8.09	-	 < 0.01	3.87E-04	2.57E-03
RNA localization (GO:0006403)	63	0	8.64	-	 < 0.01	1.52E-04	1.12E-03
positive regulation of transcription elongation by RNA polymerase II (GO:0032968)	45	0	6.17	-	 < 0.01	1.96E-03	1.03E-02
ATP biosynthetic process (GO:0006754)	39	0	5.35	-	 < 0.01	4.65E-03	2.11E-02
phosphatidylinositol metabolic process (GO:0046488)	143	0	19.61	-	 < 0.01	1.06E-09	2.42E-08
NADP metabolic process (GO:0006739)	39	0	5.35	-	 < 0.01	4.65E-03	2.10E-02
glycerophospholipid biosynthetic process (GO:0046474)	121	0	16.60	-	 < 0.01	3.19E-08	5.71E-07
activation of GTPase activity (GO:0090630)	34	0	4.66	-	 < 0.01	1.10E-02	4.37E-02
establishment of protein localization to vacuole (GO:0072666)	38	0	5.21	-	 < 0.01	7.38E-03	3.05E-02
protein localization to vacuole (GO:0072665)	38	0	5.21	-	 < 0.01	7.38E-03	3.04E-02
late endosome to vacuole transport (GO:0045324)	44	0	6.04	-	 < 0.01	3.16E-03	1.51E-02
mRNA transport (GO:0051028)	45	0	6.17	-	 < 0.01	1.96E-03	1.02E-02
regulation of RNA splicing (GO:0043484)	55	0	7.54	-	 < 0.01	5.55E-04	3.50E-03
mitotic nuclear division (GO:0140014)	50	0	6.86	-	 < 0.01	1.36E-03	7.61E-03
regulation of sister chromatid segregation (GO:0033045)	40	0	5.49	-	 < 0.01	4.66E-03	2.08E-02
regulation of chromosome organization (GO:0033044)	46	0	6.31	-	 < 0.01	1.98E-03	1.02E-02
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	63	0	8.64	-	 < 0.01	1.52E-04	1.11E-03
positive regulation of hydrolase activity (GO:0051345)	47	0	6.45	-	 < 0.01	2.07E-03	1.05E-02
regulation of hydrolase activity (GO:0051336)	64	0	8.78	-	 < 0.01	1.57E-04	1.14E-03
autophagy of mitochondrion (GO:0000422)	50	0	6.86	-	 < 0.01	1.36E-03	7.58E-03
protein localization to cell periphery (GO:1990778)	35	0	4.80	-	 < 0.01	1.13E-02	4.44E-02
protein processing (GO:0016485)	58	0	7.96	-	 < 0.01	3.64E-04	2.51E-03
rRNA methylation (GO:0031167)	37	0	5.08	-	 < 0.01	7.15E-03	2.97E-02
negative regulation of mitotic cell cycle (GO:0045930)	44	0	6.04	-	 < 0.01	3.16E-03	1.51E-02
regulation of mitotic metaphase/anaphase transition (GO:0030071)	35	0	4.80	-	 < 0.01	1.13E-02	4.43E-02
chloroplast organization (GO:0009658)	75	0	10.29	-	 < 0.01	2.80E-05	2.52E-04
plastid organization (GO:0009657)	84	0	11.52	-	 < 0.01	7.96E-06	8.47E-05
regulation of chromosome segregation (GO:0051983)	40	0	5.49	-	 < 0.01	4.66E-03	2.07E-02
transcription initiation at RNA polymerase II promoter (GO:0006367)	54	0	7.41	-	 < 0.01	5.44E-04	3.49E-03
microtubule polymerization or depolymerization (GO:0031109)	39	0	5.35	-	 < 0.01	4.65E-03	2.10E-02
liposaccharide metabolic process (GO:1903509)	55	0	7.54	-	 < 0.01	5.55E-04	3.48E-03
glycolipid metabolic process (GO:0006664)	55	0	7.54	-	 < 0.01	5.55E-04	3.47E-03
phosphatidylinositol biosynthetic process (GO:0006661)	88	0	12.07	-	 < 0.01	3.31E-06	3.98E-05
endosome transport via multivesicular body sorting pathway (GO:0032509)	40	0	5.49	-	 < 0.01	4.66E-03	2.07E-02
glycerophospholipid metabolic process (GO:0006650)	178	0	24.42	-	 < 0.01	6.75E-12	2.41E-10
proton motive force-driven ATP synthesis (GO:0015986)	39	0	5.35	-	 < 0.01	4.65E-03	2.09E-02
photosynthesis (GO:0015979)	66	0	9.05	-	 < 0.01	9.93E-05	7.82E-04
protein targeting to mitochondrion (GO:0006626)	74	0	10.15	-	 < 0.01	2.75E-05	2.53E-04
negative regulation of mitotic cell cycle phase transition (GO:1901991)	41	0	5.62	-	 < 0.01	4.82E-03	2.12E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	66	0	9.05	-	 < 0.01	9.93E-05	7.77E-04
negative regulation of cell cycle phase transition (GO:1901988)	59	0	8.09	-	 < 0.01	3.87E-04	2.56E-03
regulation of GTPase activity (GO:0043087)	46	0	6.31	-	 < 0.01	1.98E-03	1.02E-02
cell cycle checkpoint signaling (GO:0000075)	56	0	7.68	-	 < 0.01	5.88E-04	3.64E-03
mitotic sister chromatid segregation (GO:0000070)	50	0	6.86	-	 < 0.01	1.36E-03	7.55E-03
pyrimidine-containing compound metabolic process (GO:0072527)	48	0	6.58	-	 < 0.01	1.28E-03	7.25E-03
autophagosome assembly (GO:0000045)	73	0	10.01	-	 < 0.01	4.48E-05	3.88E-04
autophagy (GO:0006914)	98	0	13.44	-	 < 0.01	9.41E-07	1.25E-05
vesicle budding from membrane (GO:0006900)	69	0	9.46	-	 < 0.01	6.50E-05	5.30E-04
mitotic cell cycle checkpoint signaling (GO:0007093)	41	0	5.62	-	 < 0.01	4.82E-03	2.11E-02
regulation of metaphase/anaphase transition of cell cycle (GO:1902099)	35	0	4.80	-	 < 0.01	1.13E-02	4.42E-02
glycolipid biosynthetic process (GO:0009247)	55	0	7.54	-	 < 0.01	5.55E-04	3.45E-03
establishment of RNA localization (GO:0051236)	59	0	8.09	-	 < 0.01	3.87E-04	2.55E-03
vacuolar transport (GO:0007034)	90	0	12.34	-	 < 0.01	3.46E-06	4.02E-05
vacuole organization (GO:0007033)	83	0	11.38	-	 < 0.01	7.72E-06	8.27E-05
peroxisome organization (GO:0007031)	43	0	5.90	-	 < 0.01	3.04E-03	1.47E-02
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	41	0	5.62	-	 < 0.01	4.82E-03	2.10E-02
ribonucleoside triphosphate biosynthetic process (GO:0009201)	49	0	6.72	-	 < 0.01	1.29E-03	7.31E-03
endoplasmic reticulum organization (GO:0007029)	47	0	6.45	-	 < 0.01	2.07E-03	1.05E-02
protein transmembrane import into intracellular organelle (GO:0044743)	66	0	9.05	-	 < 0.01	9.93E-05	7.73E-04
tissue development (GO:0009888)	70	0	9.60	-	 < 0.01	6.80E-05	5.48E-04
process utilizing autophagic mechanism (GO:0061919)	98	0	13.44	-	 < 0.01	9.41E-07	1.24E-05
polyamine metabolic process (GO:0006595)	38	0	5.21	-	 < 0.01	7.38E-03	3.04E-02
GPI anchor biosynthetic process (GO:0006506)	40	0	5.49	-	 < 0.01	4.66E-03	2.06E-02
GPI anchor metabolic process (GO:0006505)	40	0	5.49	-	 < 0.01	4.66E-03	2.05E-02
xylan biosynthetic process (GO:0045492)	47	0	6.45	-	 < 0.01	2.07E-03	1.05E-02
