




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	TAGs_high.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	TAGs_high.txt (6826)	TAGs_high.txt (expected)	TAGs_high.txt (over/under)	TAGs_high.txt (fold Enrichment)	TAGs_high.txt (raw P-value)	TAGs_high.txt (FDR)
autophagy (GO:0006914)	98	0	11.98	-	 < 0.01	6.50E-06	7.74E-05
mitotic cell cycle checkpoint signaling (GO:0007093)	41	0	5.01	-	 < 0.01	7.61E-03	3.67E-02
glycolipid biosynthetic process (GO:0009247)	55	0	6.72	-	 < 0.01	1.42E-03	9.02E-03
establishment of RNA localization (GO:0051236)	59	0	7.21	-	 < 0.01	9.65E-04	6.50E-03
vacuole organization (GO:0007033)	83	0	10.14	-	 < 0.01	3.18E-05	3.36E-04
peroxisome organization (GO:0007031)	43	0	5.26	-	 < 0.01	8.04E-03	3.81E-02
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	41	0	5.01	-	 < 0.01	7.61E-03	3.66E-02
ribonucleoside triphosphate biosynthetic process (GO:0009201)	49	0	5.99	-	 < 0.01	3.37E-03	1.93E-02
endoplasmic reticulum organization (GO:0007029)	47	0	5.74	-	 < 0.01	3.26E-03	1.92E-02
protein transmembrane import into intracellular organelle (GO:0044743)	66	0	8.07	-	 < 0.01	4.31E-04	3.39E-03
microtubule-based movement (GO:0007018)	58	0	7.09	-	 < 0.01	9.27E-04	6.50E-03
tissue development (GO:0009888)	70	0	8.55	-	 < 0.01	1.70E-04	1.54E-03
process utilizing autophagic mechanism (GO:0061919)	98	0	11.98	-	 < 0.01	6.50E-06	7.68E-05
xylan biosynthetic process (GO:0045492)	47	0	5.74	-	 < 0.01	3.26E-03	1.91E-02
potassium ion transport (GO:0006813)	50	0	6.11	-	 < 0.01	3.56E-03	1.99E-02
