




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non_TAGs_high.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	non_TAGs_high.txt (37331)	non_TAGs_high.txt (expected)	non_TAGs_high.txt (over/under)	non_TAGs_high.txt (fold Enrichment)	non_TAGs_high.txt (raw P-value)	non_TAGs_high.txt (FDR)
pyridine-containing compound metabolic process (GO:0072524)	162	147	108.28	+	1.36	1.08E-12	8.08E-12
response to nutrient levels (GO:0031667)	54	49	36.09	+	1.36	6.52E-05	1.90E-04
vesicle-mediated transport to the plasma membrane (GO:0098876)	43	39	28.74	+	1.36	4.94E-04	1.22E-03
modification-dependent macromolecule catabolic process (GO:0043632)	580	526	387.66	+	1.36	6.51E-42	1.44E-40
lipid translocation (GO:0034204)	32	29	21.39	+	1.36	3.94E-03	8.27E-03
protein targeting to mitochondrion (GO:0006626)	74	67	49.46	+	1.35	2.85E-06	1.10E-05
mRNA metabolic process (GO:0016071)	536	485	358.25	+	1.35	4.19E-38	8.72E-37
peptidyl-amino acid modification (GO:0018193)	419	379	280.05	+	1.35	6.30E-30	9.98E-29
nicotinamide nucleotide metabolic process (GO:0046496)	156	141	104.27	+	1.35	8.64E-12	5.96E-11
pyridine nucleotide metabolic process (GO:0019362)	156	141	104.27	+	1.35	8.64E-12	5.93E-11
positive regulation of catabolic process (GO:0009896)	83	75	55.48	+	1.35	9.25E-07	3.85E-06
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	31	28	20.72	+	1.35	3.77E-03	7.96E-03
fruit development (GO:0010154)	31	28	20.72	+	1.35	3.77E-03	7.94E-03
protein-DNA complex assembly (GO:0065004)	62	56	41.44	+	1.35	3.27E-05	1.02E-04
peptidyl-serine phosphorylation (GO:0018105)	173	156	115.63	+	1.35	9.29E-13	7.08E-12
peptidyl-serine modification (GO:0018209)	173	156	115.63	+	1.35	9.29E-13	7.04E-12
vesicle-mediated transport (GO:0016192)	751	677	501.95	+	1.35	3.41E-51	8.98E-50
lipid transport (GO:0006869)	81	73	54.14	+	1.35	1.41E-06	5.78E-06
transcription by RNA polymerase II (GO:0006366)	121	109	80.87	+	1.35	2.99E-09	1.64E-08
phospholipid translocation (GO:0045332)	30	27	20.05	+	1.35	5.78E-03	1.17E-02
protein stabilization (GO:0050821)	40	36	26.74	+	1.35	1.14E-03	2.61E-03
fatty acid beta-oxidation (GO:0006635)	40	36	26.74	+	1.35	1.14E-03	2.61E-03
endomembrane system organization (GO:0010256)	138	124	92.24	+	1.34	4.81E-10	2.90E-09
Golgi vesicle transport (GO:0048193)	266	239	177.79	+	1.34	2.82E-18	2.81E-17
nucleobase metabolic process (GO:0009112)	39	35	26.07	+	1.34	1.76E-03	3.87E-03
cellular response to external stimulus (GO:0071496)	39	35	26.07	+	1.34	1.76E-03	3.86E-03
protein acylation (GO:0043543)	58	52	38.77	+	1.34	1.15E-04	3.23E-04
G protein-coupled receptor signaling pathway (GO:0007186)	29	26	19.38	+	1.34	8.97E-03	1.72E-02
rRNA metabolic process (GO:0016072)	318	285	212.54	+	1.34	3.55E-21	4.19E-20
protein localization to mitochondrion (GO:0070585)	77	69	51.47	+	1.34	4.85E-06	1.78E-05
establishment of protein localization to mitochondrion (GO:0072655)	77	69	51.47	+	1.34	4.85E-06	1.77E-05
spindle assembly (GO:0051225)	77	69	51.47	+	1.34	4.85E-06	1.77E-05
anatomical structure development (GO:0048856)	298	267	199.18	+	1.34	7.46E-20	7.93E-19
organophosphate ester transport (GO:0015748)	67	60	44.78	+	1.34	2.30E-05	7.38E-05
regulation of RNA stability (GO:0043487)	67	60	44.78	+	1.34	2.30E-05	7.37E-05
alcohol metabolic process (GO:0006066)	105	94	70.18	+	1.34	1.07E-07	4.96E-07
macromolecule methylation (GO:0043414)	124	111	82.88	+	1.34	7.62E-09	3.95E-08
actin filament bundle organization (GO:0061572)	38	34	25.40	+	1.34	2.77E-03	5.91E-03
mitochondrial transmembrane transport (GO:1990542)	95	85	63.50	+	1.34	5.00E-07	2.18E-06
folic acid-containing compound metabolic process (GO:0006760)	38	34	25.40	+	1.34	2.77E-03	5.90E-03
actin filament bundle assembly (GO:0051017)	38	34	25.40	+	1.34	2.77E-03	5.90E-03
cellular response to starvation (GO:0009267)	38	34	25.40	+	1.34	2.77E-03	5.89E-03
cellular response to nutrient levels (GO:0031669)	38	34	25.40	+	1.34	2.77E-03	5.88E-03
cellular response to extracellular stimulus (GO:0031668)	38	34	25.40	+	1.34	2.77E-03	5.87E-03
chaperone cofactor-dependent protein refolding (GO:0051085)	66	59	44.11	+	1.34	3.45E-05	1.06E-04
monosaccharide metabolic process (GO:0005996)	141	126	94.24	+	1.34	7.83E-10	4.59E-09
aromatic amino acid family biosynthetic process (GO:0009073)	47	42	31.41	+	1.34	5.33E-04	1.31E-03
protein glycosylation (GO:0006486)	75	67	50.13	+	1.34	1.11E-05	3.78E-05
macromolecule glycosylation (GO:0043413)	75	67	50.13	+	1.34	1.11E-05	3.77E-05
chloroplast organization (GO:0009658)	75	67	50.13	+	1.34	1.11E-05	3.76E-05
nucleosome organization (GO:0034728)	28	25	18.71	+	1.34	8.93E-03	1.72E-02
Golgi organization (GO:0007030)	56	50	37.43	+	1.34	1.66E-04	4.60E-04
plastid organization (GO:0009657)	84	75	56.14	+	1.34	3.63E-06	1.39E-05
glucose metabolic process (GO:0006006)	84	75	56.14	+	1.34	3.63E-06	1.38E-05
intracellular transport (GO:0046907)	653	583	436.45	+	1.34	4.53E-41	9.72E-40
establishment of localization in cell (GO:0051649)	696	621	465.19	+	1.33	2.60E-43	6.05E-42
lipid localization (GO:0010876)	102	91	68.17	+	1.33	2.38E-07	1.08E-06
rRNA processing (GO:0006364)	287	256	191.82	+	1.33	1.84E-18	1.85E-17
pigment biosynthetic process (GO:0046148)	37	33	24.73	+	1.33	2.63E-03	5.65E-03
carbohydrate derivative catabolic process (GO:1901136)	138	123	92.24	+	1.33	1.74E-09	9.80E-09
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	55	49	36.76	+	1.33	2.53E-04	6.61E-04
terpenoid biosynthetic process (GO:0016114)	55	49	36.76	+	1.33	2.53E-04	6.59E-04
mitotic spindle organization (GO:0007052)	55	49	36.76	+	1.33	2.53E-04	6.58E-04
developmental process (GO:0032502)	421	375	281.39	+	1.33	2.92E-26	4.15E-25
regulation of mRNA stability (GO:0043488)	64	57	42.78	+	1.33	5.27E-05	1.57E-04
regulation of cell communication (GO:0010646)	90	80	60.15	+	1.33	1.69E-06	6.81E-06
regulation of signaling (GO:0023051)	90	80	60.15	+	1.33	1.69E-06	6.79E-06
iron-sulfur cluster assembly (GO:0016226)	27	24	18.05	+	1.33	1.34E-02	2.52E-02
seed development (GO:0048316)	27	24	18.05	+	1.33	1.34E-02	2.51E-02
glycerolipid biosynthetic process (GO:0045017)	144	128	96.25	+	1.33	1.25E-09	7.23E-09
macromolecule localization (GO:0033036)	934	830	624.27	+	1.33	5.76E-56	1.75E-54
organelle fission (GO:0048285)	116	103	77.53	+	1.33	5.58E-08	2.71E-07
regulation of mitotic cell cycle (GO:0007346)	80	71	53.47	+	1.33	7.87E-06	2.76E-05
protein N-linked glycosylation (GO:0006487)	62	55	41.44	+	1.33	1.16E-04	3.27E-04
RNA processing (GO:0006396)	882	782	589.51	+	1.33	9.25E-52	2.48E-50
protein palmitoylation (GO:0018345)	44	39	29.41	+	1.33	1.22E-03	2.77E-03
regulation of signal transduction (GO:0009966)	88	78	58.82	+	1.33	3.69E-06	1.40E-05
regulatory ncRNA-mediated gene silencing (GO:0031047)	44	39	29.41	+	1.33	1.22E-03	2.76E-03
protein transport (GO:0015031)	475	421	317.48	+	1.33	2.88E-28	4.27E-27
mitochondrial transport (GO:0006839)	114	101	76.20	+	1.33	1.22E-07	5.56E-07
multicellular organismal process (GO:0032501)	218	193	145.71	+	1.32	1.67E-13	1.35E-12
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	148	131	98.92	+	1.32	1.34E-09	7.70E-09
ribonucleoside monophosphate metabolic process (GO:0009161)	26	23	17.38	+	1.32	2.03E-02	3.71E-02
sister chromatid segregation (GO:0000819)	52	46	34.76	+	1.32	5.58E-04	1.36E-03
immune system process (GO:0002376)	26	23	17.38	+	1.32	2.03E-02	3.71E-02
immune response (GO:0006955)	26	23	17.38	+	1.32	2.03E-02	3.70E-02
amino acid biosynthetic process (GO:0008652)	173	153	115.63	+	1.32	6.70E-11	4.30E-10
post-translational protein modification (GO:0043687)	638	564	426.43	+	1.32	8.24E-37	1.69E-35
membrane organization (GO:0061024)	310	274	207.20	+	1.32	1.66E-18	1.67E-17
RNA methylation (GO:0001510)	86	76	57.48	+	1.32	5.51E-06	1.99E-05
'de novo' protein folding (GO:0006458)	77	68	51.47	+	1.32	2.62E-05	8.31E-05
protein modification by small protein conjugation or removal (GO:0070647)	624	551	417.07	+	1.32	1.19E-35	2.38E-34
glycosylation (GO:0070085)	85	75	56.81	+	1.32	8.09E-06	2.83E-05
cellular macromolecule localization (GO:0070727)	781	689	522.00	+	1.32	6.45E-44	1.55E-42
protein localization (GO:0008104)	781	689	522.00	+	1.32	6.45E-44	1.52E-42
DNA-templated transcription initiation (GO:0006352)	93	82	62.16	+	1.32	3.93E-06	1.48E-05
glycoprotein biosynthetic process (GO:0009101)	76	67	50.80	+	1.32	2.56E-05	8.17E-05
anatomical structure morphogenesis (GO:0009653)	76	67	50.80	+	1.32	2.56E-05	8.15E-05
mitotic nuclear division (GO:0140014)	50	44	33.42	+	1.32	8.30E-04	1.97E-03
mitotic sister chromatid segregation (GO:0000070)	50	44	33.42	+	1.32	8.30E-04	1.96E-03
gene expression (GO:0010467)	2016	1774	1347.45	+	1.32	2.63E-110	1.83E-108
ribonucleoprotein complex biogenesis (GO:0022613)	549	483	366.94	+	1.32	2.17E-30	3.47E-29
mRNA destabilization (GO:0061157)	58	51	38.77	+	1.32	3.83E-04	9.65E-04
RNA destabilization (GO:0050779)	58	51	38.77	+	1.32	3.83E-04	9.64E-04
cellular localization (GO:0051641)	1118	983	747.25	+	1.32	1.16E-60	3.67E-59
intracellular signal transduction (GO:0035556)	356	313	237.94	+	1.32	4.58E-20	4.95E-19
nucleoside monophosphate metabolic process (GO:0009123)	33	29	22.06	+	1.31	8.90E-03	1.72E-02
phospholipid transport (GO:0015914)	33	29	22.06	+	1.31	8.90E-03	1.72E-02
nucleotide-sugar metabolic process (GO:0009225)	33	29	22.06	+	1.31	8.90E-03	1.71E-02
membrane lipid metabolic process (GO:0006643)	107	94	71.52	+	1.31	8.50E-07	3.58E-06
establishment of protein localization (GO:0045184)	592	520	395.68	+	1.31	2.58E-32	4.55E-31
RNA biosynthetic process (GO:0032774)	230	202	153.73	+	1.31	2.75E-13	2.16E-12
negative regulation of mitotic cell cycle phase transition (GO:1901991)	41	36	27.40	+	1.31	4.10E-03	8.56E-03
cell fate commitment (GO:0045165)	41	36	27.40	+	1.31	4.10E-03	8.55E-03
cellular developmental process (GO:0048869)	188	165	125.66	+	1.31	5.06E-11	3.26E-10
regulation of mRNA catabolic process (GO:0061013)	65	57	43.44	+	1.31	1.76E-04	4.72E-04
positive regulation of mRNA metabolic process (GO:1903313)	73	64	48.79	+	1.31	8.46E-05	2.44E-04
ncRNA processing (GO:0034470)	446	391	298.10	+	1.31	3.15E-24	4.35E-23
cell differentiation (GO:0030154)	186	163	124.32	+	1.31	1.11E-10	7.09E-10
ncRNA metabolic process (GO:0034660)	574	503	383.65	+	1.31	1.13E-30	1.83E-29
DNA-templated transcription (GO:0006351)	226	198	151.05	+	1.31	8.60E-13	6.58E-12
intracellular protein transport (GO:0006886)	378	331	252.65	+	1.31	1.62E-20	1.78E-19
tRNA metabolic process (GO:0006399)	248	217	165.76	+	1.31	9.39E-14	7.74E-13
proteinogenic amino acid biosynthetic process (GO:0170038)	136	119	90.90	+	1.31	4.26E-08	2.08E-07
L-amino acid biosynthetic process (GO:0170034)	136	119	90.90	+	1.31	4.26E-08	2.08E-07
regulation of biological quality (GO:0065008)	356	311	237.94	+	1.31	6.89E-19	7.12E-18
developmental process involved in reproduction (GO:0003006)	87	76	58.15	+	1.31	1.78E-05	5.84E-05
macromolecule biosynthetic process (GO:0009059)	2447	2137	1635.52	+	1.31	3.50E-125	3.25E-123
biogenic amine metabolic process (GO:0006576)	71	62	47.45	+	1.31	1.20E-04	3.36E-04
translation (GO:0006412)	418	365	279.38	+	1.31	5.95E-22	7.34E-21
intra-Golgi vesicle-mediated transport (GO:0006891)	55	48	36.76	+	1.31	8.24E-04	1.95E-03
fatty acid catabolic process (GO:0009062)	47	41	31.41	+	1.31	2.75E-03	5.88E-03
amine metabolic process (GO:0009308)	117	102	78.20	+	1.30	5.94E-07	2.54E-06
nucleotide catabolic process (GO:0009166)	101	88	67.51	+	1.30	3.92E-06	1.48E-05
MAPK cascade (GO:0000165)	31	27	20.72	+	1.30	2.02E-02	3.69E-02
RNA metabolic process (GO:0016070)	1518	1322	1014.60	+	1.30	3.11E-75	1.17E-73
peptide biosynthetic process (GO:0043043)	424	369	283.39	+	1.30	1.26E-21	1.52E-20
vesicle organization (GO:0016050)	177	154	118.30	+	1.30	1.02E-09	5.94E-09
carbohydrate derivative transport (GO:1901264)	46	40	30.75	+	1.30	2.66E-03	5.70E-03
purine nucleotide catabolic process (GO:0006195)	99	86	66.17	+	1.30	8.29E-06	2.89E-05
ERAD pathway (GO:0036503)	99	86	66.17	+	1.30	8.29E-06	2.88E-05
alpha-amino acid biosynthetic process (GO:1901607)	190	165	126.99	+	1.30	3.34E-10	2.05E-09
establishment of protein localization to vacuole (GO:0072666)	38	33	25.40	+	1.30	8.76E-03	1.70E-02
protein localization to vacuole (GO:0072665)	38	33	25.40	+	1.30	8.76E-03	1.69E-02
protein maturation (GO:0051604)	462	401	308.79	+	1.30	6.49E-23	8.16E-22
protein modification by small protein conjugation (GO:0032446)	496	430	331.52	+	1.30	3.28E-24	4.49E-23
DNA replication initiation (GO:0006270)	30	26	20.05	+	1.30	1.96E-02	3.60E-02
nuclear transport (GO:0051169)	150	130	100.26	+	1.30	4.24E-08	2.09E-07
nucleocytoplasmic transport (GO:0006913)	150	130	100.26	+	1.30	4.24E-08	2.08E-07
isoprenoid metabolic process (GO:0006720)	127	110	84.88	+	1.30	5.90E-07	2.53E-06
organonitrogen compound biosynthetic process (GO:1901566)	1172	1015	783.34	+	1.30	3.24E-55	9.21E-54
glycoprotein metabolic process (GO:0009100)	97	84	64.83	+	1.30	1.19E-05	4.01E-05
membrane lipid biosynthetic process (GO:0046467)	97	84	64.83	+	1.30	1.19E-05	4.00E-05
amide biosynthetic process (GO:0043604)	485	420	324.16	+	1.30	2.08E-23	2.75E-22
organelle fusion (GO:0048284)	104	90	69.51	+	1.29	5.64E-06	2.04E-05
protein ubiquitination (GO:0016567)	453	392	302.78	+	1.29	8.33E-22	1.01E-20
establishment of protein localization to organelle (GO:0072594)	282	244	188.48	+	1.29	4.41E-14	3.75E-13
nuclear export (GO:0051168)	89	77	59.49	+	1.29	3.72E-05	1.13E-04
mRNA catabolic process (GO:0006402)	111	96	74.19	+	1.29	3.84E-06	1.45E-05
positive regulation of biological process (GO:0048518)	480	415	320.82	+	1.29	6.19E-23	7.84E-22
negative regulation of cell cycle (GO:0045786)	59	51	39.43	+	1.29	8.10E-04	1.94E-03
negative regulation of cell cycle process (GO:0010948)	59	51	39.43	+	1.29	8.10E-04	1.94E-03
lipid homeostasis (GO:0055088)	59	51	39.43	+	1.29	8.10E-04	1.93E-03
negative regulation of cell cycle phase transition (GO:1901988)	59	51	39.43	+	1.29	8.10E-04	1.93E-03
positive regulation of mRNA catabolic process (GO:0061014)	59	51	39.43	+	1.29	8.10E-04	1.93E-03
positive regulation of cellular catabolic process (GO:0031331)	59	51	39.43	+	1.29	8.10E-04	1.92E-03
positive regulation of metabolic process (GO:0009893)	435	376	290.75	+	1.29	7.59E-21	8.74E-20
L-amino acid metabolic process (GO:0170033)	221	191	147.71	+	1.29	3.47E-11	2.26E-10
positive regulation of macromolecule metabolic process (GO:0010604)	433	374	289.41	+	1.29	1.57E-20	1.73E-19
negative regulation of mitotic cell cycle (GO:0045930)	44	38	29.41	+	1.29	5.75E-03	1.17E-02
organophosphate biosynthetic process (GO:0090407)	359	310	239.95	+	1.29	3.81E-17	3.62E-16
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	358	309	239.28	+	1.29	3.72E-17	3.55E-16
ribosome biogenesis (GO:0042254)	445	384	297.43	+	1.29	7.37E-21	8.57E-20
membrane fusion (GO:0061025)	102	88	68.17	+	1.29	1.16E-05	3.92E-05
positive regulation of nitrogen compound metabolic process (GO:0051173)	422	364	282.06	+	1.29	6.78E-20	7.27E-19
positive regulation of cellular process (GO:0048522)	451	389	301.44	+	1.29	5.06E-21	5.93E-20
carboxylic acid biosynthetic process (GO:0046394)	320	276	213.88	+	1.29	2.19E-15	1.96E-14
organic acid biosynthetic process (GO:0016053)	320	276	213.88	+	1.29	2.19E-15	1.94E-14
positive regulation of RNA metabolic process (GO:0051254)	349	301	233.26	+	1.29	1.65E-16	1.52E-15
organic substance biosynthetic process (GO:1901576)	3501	3019	2340.00	+	1.29	1.29E-160	1.80E-158
regulation of organelle organization (GO:0033043)	123	106	82.21	+	1.29	1.77E-06	7.06E-06
tRNA processing (GO:0008033)	130	112	86.89	+	1.29	8.18E-07	3.47E-06
nuclear-transcribed mRNA catabolic process (GO:0000956)	101	87	67.51	+	1.29	1.70E-05	5.63E-05
regulation of cellular component organization (GO:0051128)	137	118	91.57	+	1.29	3.82E-07	1.68E-06
small molecule biosynthetic process (GO:0044283)	447	385	298.77	+	1.29	1.02E-20	1.17E-19
positive regulation of transcription by RNA polymerase II (GO:0045944)	122	105	81.54	+	1.29	1.72E-06	6.87E-06
protein localization to organelle (GO:0033365)	358	308	239.28	+	1.29	1.55E-16	1.44E-15
protein folding (GO:0006457)	365	314	243.96	+	1.29	7.26E-17	6.84E-16
purine ribonucleotide catabolic process (GO:0009154)	93	80	62.16	+	1.29	3.56E-05	1.09E-04
ribonucleotide catabolic process (GO:0009261)	93	80	62.16	+	1.29	3.56E-05	1.09E-04
maturation of LSU-rRNA (GO:0000470)	50	43	33.42	+	1.29	3.78E-03	7.94E-03
monocarboxylic acid catabolic process (GO:0072329)	57	49	38.10	+	1.29	1.69E-03	3.73E-03
cellular biosynthetic process (GO:0044249)	3403	2925	2274.50	+	1.29	4.17E-151	4.84E-149
isoprenoid biosynthetic process (GO:0008299)	85	73	56.81	+	1.28	1.12E-04	3.15E-04
positive regulation of DNA-templated transcription (GO:0045893)	276	237	184.47	+	1.28	7.56E-13	5.86E-12
positive regulation of RNA biosynthetic process (GO:1902680)	276	237	184.47	+	1.28	7.56E-13	5.82E-12
proteinogenic amino acid metabolic process (GO:0170039)	197	169	131.67	+	1.28	1.88E-09	1.06E-08
cellular nitrogen compound biosynthetic process (GO:0044271)	1101	944	735.89	+	1.28	4.90E-47	1.22E-45
amino acid metabolic process (GO:0006520)	469	402	313.47	+	1.28	1.22E-20	1.38E-19
cell cycle checkpoint signaling (GO:0000075)	56	48	37.43	+	1.28	2.49E-03	5.36E-03
organelle membrane fusion (GO:0090174)	98	84	65.50	+	1.28	3.44E-05	1.06E-04
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	63	54	42.11	+	1.28	1.12E-03	2.57E-03
cytoplasmic translation (GO:0002181)	126	108	84.22	+	1.28	2.41E-06	9.42E-06
biosynthetic process (GO:0009058)	3573	3060	2388.12	+	1.28	2.28E-153	2.89E-151
proteolysis (GO:0006508)	924	791	617.58	+	1.28	4.50E-39	9.51E-38
proteolysis involved in protein catabolic process (GO:0051603)	777	665	519.33	+	1.28	5.05E-33	9.14E-32
positive regulation of cellular metabolic process (GO:0031325)	402	344	268.69	+	1.28	1.36E-17	1.34E-16
nucleotide-excision repair (GO:0006289)	97	83	64.83	+	1.28	5.01E-05	1.50E-04
protein catabolic process (GO:0030163)	782	669	522.67	+	1.28	4.77E-33	8.76E-32
RNA 3'-end processing (GO:0031123)	83	71	55.48	+	1.28	1.57E-04	4.36E-04
carboxylic acid catabolic process (GO:0046395)	159	136	106.27	+	1.28	1.12E-07	5.16E-07
organic acid catabolic process (GO:0016054)	159	136	106.27	+	1.28	1.12E-07	5.14E-07
protein-DNA complex organization (GO:0071824)	221	189	147.71	+	1.28	3.95E-10	2.42E-09
glycolytic process (GO:0006096)	89	76	59.49	+	1.28	1.04E-04	2.95E-04
regulation of pH (GO:0006885)	89	76	59.49	+	1.28	1.04E-04	2.95E-04
mitotic cell cycle checkpoint signaling (GO:0007093)	41	35	27.40	+	1.28	1.19E-02	2.26E-02
lipid biosynthetic process (GO:0008610)	409	349	273.37	+	1.28	1.76E-17	1.70E-16
phosphate ion transport (GO:0006817)	34	29	22.72	+	1.28	2.70E-02	4.86E-02
carbohydrate derivative metabolic process (GO:1901135)	584	498	390.33	+	1.28	3.47E-24	4.70E-23
carbohydrate derivative biosynthetic process (GO:1901137)	319	272	213.21	+	1.28	9.31E-14	7.77E-13
organonitrogen compound catabolic process (GO:1901565)	1045	891	698.46	+	1.28	2.08E-42	4.76E-41
organic acid metabolic process (GO:0006082)	752	641	502.62	+	1.28	9.69E-31	1.63E-29
oxoacid metabolic process (GO:0043436)	752	641	502.62	+	1.28	9.69E-31	1.61E-29
carboxylic acid metabolic process (GO:0019752)	752	641	502.62	+	1.28	9.69E-31	1.59E-29
organophosphate metabolic process (GO:0019637)	670	571	447.81	+	1.28	1.80E-27	2.61E-26
branched-chain amino acid metabolic process (GO:0009081)	54	46	36.09	+	1.27	3.47E-03	7.32E-03
regulation of RNA metabolic process (GO:0051252)	1632	1390	1090.80	+	1.27	3.43E-65	1.17E-63
generation of precursor metabolites and energy (GO:0006091)	310	264	207.20	+	1.27	2.74E-13	2.17E-12
regulation of hormone levels (GO:0010817)	101	86	67.51	+	1.27	4.60E-05	1.39E-04
chaperone-mediated protein folding (GO:0061077)	94	80	62.83	+	1.27	9.95E-05	2.83E-04
localization within membrane (GO:0051668)	208	177	139.02	+	1.27	3.29E-09	1.78E-08
protein targeting (GO:0006605)	214	182	143.03	+	1.27	2.21E-09	1.22E-08
mitotic cell cycle (GO:0000278)	354	301	236.61	+	1.27	8.62E-15	7.56E-14
regulation of metabolic process (GO:0019222)	2282	1940	1525.24	+	1.27	1.08E-89	6.04E-88
purine-containing compound catabolic process (GO:0072523)	120	102	80.21	+	1.27	9.55E-06	3.28E-05
diterpenoid metabolic process (GO:0016101)	40	34	26.74	+	1.27	1.73E-02	3.21E-02
regulation of biosynthetic process (GO:0009889)	2036	1730	1360.82	+	1.27	1.31E-79	5.91E-78
regulation of cellular biosynthetic process (GO:0031326)	2036	1730	1360.82	+	1.27	1.31E-79	5.73E-78
small molecule catabolic process (GO:0044282)	246	209	164.42	+	1.27	1.51E-10	9.43E-10
DNA-templated DNA replication (GO:0006261)	126	107	84.22	+	1.27	6.37E-06	2.28E-05
alcohol biosynthetic process (GO:0046165)	53	45	35.42	+	1.27	5.00E-03	1.03E-02
nuclear division (GO:0000280)	86	73	57.48	+	1.27	2.09E-04	5.55E-04
positive regulation of macromolecule biosynthetic process (GO:0010557)	324	275	216.55	+	1.27	2.33E-13	1.88E-12
positive regulation of biosynthetic process (GO:0009891)	324	275	216.55	+	1.27	2.33E-13	1.87E-12
positive regulation of cellular biosynthetic process (GO:0031328)	324	275	216.55	+	1.27	2.33E-13	1.86E-12
DNA-templated transcription elongation (GO:0006354)	33	28	22.06	+	1.27	2.67E-02	4.81E-02
regulation of macromolecule biosynthetic process (GO:0010556)	2013	1708	1345.45	+	1.27	1.89E-77	7.74E-76
regulation of gene expression (GO:0010468)	2009	1704	1342.77	+	1.27	5.43E-77	2.10E-75
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1691	1434	1130.23	+	1.27	1.04E-64	3.45E-63
cell cycle (GO:0007049)	546	463	364.94	+	1.27	1.37E-21	1.63E-20
regulation of cellular metabolic process (GO:0031323)	2229	1890	1489.82	+	1.27	2.45E-85	1.26E-83
vesicle fusion (GO:0006906)	92	78	61.49	+	1.27	1.38E-04	3.86E-04
regulation of protein stability (GO:0031647)	46	39	30.75	+	1.27	1.12E-02	2.14E-02
regulation of primary metabolic process (GO:0080090)	1917	1625	1281.28	+	1.27	3.92E-73	1.44E-71
metal ion transport (GO:0030001)	210	178	140.36	+	1.27	6.19E-09	3.23E-08
regulation of nitrogen compound metabolic process (GO:0051171)	1902	1612	1271.26	+	1.27	2.58E-72	9.24E-71
regulation of response to stimulus (GO:0048583)	118	100	78.87	+	1.27	1.35E-05	4.50E-05
nitrogen compound transport (GO:0071705)	806	683	538.71	+	1.27	4.83E-31	8.20E-30
heterocycle biosynthetic process (GO:0018130)	622	527	415.73	+	1.27	4.13E-24	5.53E-23
regulation of macromolecule metabolic process (GO:0060255)	2226	1886	1487.81	+	1.27	1.29E-84	6.44E-83
alpha-amino acid metabolic process (GO:1901605)	314	266	209.87	+	1.27	9.58E-13	7.22E-12
chromatin organization (GO:0006325)	183	155	122.31	+	1.27	5.97E-08	2.89E-07
protein transmembrane transport (GO:0071806)	98	83	65.50	+	1.27	9.15E-05	2.62E-04
nucleobase-containing compound catabolic process (GO:0034655)	280	237	187.15	+	1.27	1.92E-11	1.28E-10
cellular nitrogen compound metabolic process (GO:0034641)	3056	2586	2042.57	+	1.27	1.32E-115	9.68E-114
protein localization to nucleus (GO:0034504)	78	66	52.13	+	1.27	6.43E-04	1.56E-03
regulation of cell cycle process (GO:0010564)	104	88	69.51	+	1.27	6.06E-05	1.78E-04
sphingolipid metabolic process (GO:0006665)	52	44	34.76	+	1.27	4.97E-03	1.02E-02
positive regulation of protein metabolic process (GO:0051247)	65	55	43.44	+	1.27	2.14E-03	4.62E-03
nucleic acid metabolic process (GO:0090304)	2079	1759	1389.56	+	1.27	8.71E-78	3.68E-76
regulation of DNA-templated transcription (GO:0006355)	1498	1267	1001.23	+	1.27	7.10E-56	2.11E-54
regulation of RNA biosynthetic process (GO:2001141)	1498	1267	1001.23	+	1.27	7.10E-56	2.06E-54
regulation of biological process (GO:0050789)	3326	2812	2223.03	+	1.26	4.33E-125	3.77E-123
biological regulation (GO:0065007)	3690	3119	2466.32	+	1.26	4.61E-139	4.59E-137
organelle organization (GO:0006996)	1415	1195	945.76	+	1.26	5.39E-52	1.47E-50
regulation of cellular process (GO:0050794)	3194	2697	2134.80	+	1.26	2.58E-118	1.99E-116
heterocycle metabolic process (GO:0046483)	2731	2305	1825.34	+	1.26	3.79E-100	2.52E-98
amino acid catabolic process (GO:0009063)	83	70	55.48	+	1.26	4.18E-04	1.05E-03
nucleobase-containing compound metabolic process (GO:0006139)	2543	2144	1699.69	+	1.26	4.26E-92	2.48E-90
nucleoside phosphate catabolic process (GO:1901292)	121	102	80.87	+	1.26	1.77E-05	5.85E-05
export from cell (GO:0140352)	140	118	93.57	+	1.26	5.26E-06	1.91E-05
regulation of cell cycle phase transition (GO:1901987)	89	75	59.49	+	1.26	2.74E-04	7.10E-04
negative regulation of gene expression (GO:0010629)	228	192	152.39	+	1.26	4.67E-09	2.48E-08
negative regulation of RNA metabolic process (GO:0051253)	57	48	38.10	+	1.26	4.53E-03	9.33E-03
import into nucleus (GO:0051170)	76	64	50.80	+	1.26	8.91E-04	2.07E-03
protein import into nucleus (GO:0006606)	76	64	50.80	+	1.26	8.91E-04	2.06E-03
