




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	non_TAGs_low.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Glycine max - REFLIST (55853)	non_TAGs_low.txt (37812)	non_TAGs_low.txt (expected)	non_TAGs_low.txt (over/under)	non_TAGs_low.txt (fold Enrichment)	non_TAGs_low.txt (raw P-value)	non_TAGs_low.txt (FDR)
cysteine-type endopeptidase activity (GO:0004197)	125	67	84.62	-	.79	1.06E-03	2.43E-03
UDP-glucosyltransferase activity (GO:0035251)	148	77	100.19	-	.77	9.28E-05	2.66E-04
phospholipase activity (GO:0004620)	79	41	53.48	-	.77	3.65E-03	7.47E-03
oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen (GO:0016702)	74	38	50.10	-	.76	3.91E-03	7.94E-03
carboxylic ester hydrolase activity (GO:0052689)	233	115	157.74	-	.73	8.36E-09	4.11E-08
metalloendopeptidase activity (GO:0004222)	41	20	27.76	-	.72	1.20E-02	2.24E-02
glucosidase activity (GO:0015926)	85	40	57.54	-	.70	1.00E-04	2.83E-04
enzyme inhibitor activity (GO:0004857)	218	101	147.58	-	.68	8.20E-11	4.91E-10
molecular function inhibitor activity (GO:0140678)	218	101	147.58	-	.68	8.20E-11	4.85E-10
O-methyltransferase activity (GO:0008171)	55	24	37.23	-	.64	2.49E-04	6.50E-04
actin monomer binding (GO:0003785)	10	3	6.77	-	.44	1.64E-02	2.90E-02
glutathione transferase activity (GO:0004364)	84	20	56.87	-	.35	1.89E-16	1.86E-15
phospholipase C activity (GO:0004629)	15	2	10.15	-	.20	2.14E-05	7.45E-05
