




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	small_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Glycine max - REFLIST (55853)	small_families_low_stringency.txt (14397)	small_families_low_stringency.txt (expected)	small_families_low_stringency.txt (over/under)	small_families_low_stringency.txt (fold Enrichment)	small_families_low_stringency.txt (raw P-value)	small_families_low_stringency.txt (FDR)
ligand-gated monoatomic ion channel activity (GO:0015276)	56	1	14.43	-	.07	1.78E-06	7.68E-06
signaling receptor activity (GO:0038023)	112	2	28.87	-	.07	4.43E-12	4.63E-11
ubiquitin-like protein conjugating enzyme activity (GO:0061650)	88	0	22.68	-	 < 0.01	6.06E-12	6.07E-11
phospholipase C activity (GO:0004629)	15	0	3.87	-	 < 0.01	1.67E-02	2.93E-02
voltage-gated channel activity (GO:0022832)	26	0	6.70	-	 < 0.01	9.84E-04	2.43E-03
sterol transporter activity (GO:0015248)	26	0	6.70	-	 < 0.01	9.84E-04	2.42E-03
phosphatidylserine binding (GO:0001786)	26	0	6.70	-	 < 0.01	9.84E-04	2.40E-03
ubiquitin conjugating enzyme activity (GO:0061631)	85	0	21.91	-	 < 0.01	1.60E-11	1.51E-10
chitinase activity (GO:0004568)	36	0	9.28	-	 < 0.01	2.99E-05	1.02E-04
voltage-gated monoatomic ion channel activity (GO:0005244)	26	0	6.70	-	 < 0.01	9.84E-04	2.39E-03
nucleoside diphosphate kinase activity (GO:0004550)	13	0	3.35	-	 < 0.01	2.76E-02	4.62E-02
acidic amino acid transmembrane transporter activity (GO:0015172)	17	0	4.38	-	 < 0.01	1.02E-02	1.88E-02
cyclin-dependent protein kinase activity (GO:0097472)	16	0	4.12	-	 < 0.01	1.77E-02	3.07E-02
long-chain fatty acid-CoA ligase activity (GO:0004467)	23	0	5.93	-	 < 0.01	1.45E-03	3.33E-03
G protein-coupled receptor binding (GO:0001664)	17	0	4.38	-	 < 0.01	1.02E-02	1.88E-02
peptide transmembrane transporter activity (GO:1904680)	18	0	4.64	-	 < 0.01	6.30E-03	1.20E-02
hexokinase activity (GO:0004396)	28	0	7.22	-	 < 0.01	3.36E-04	8.91E-04
hormone binding (GO:0042562)	51	0	13.15	-	 < 0.01	3.88E-07	1.92E-06
microfilament motor activity (GO:0000146)	27	0	6.96	-	 < 0.01	5.56E-04	1.44E-03
ATPase-coupled intramembrane lipid transporter activity (GO:0140326)	27	0	6.96	-	 < 0.01	5.56E-04	1.44E-03
single-stranded DNA helicase activity (GO:0017116)	14	0	3.61	-	 < 0.01	2.79E-02	4.63E-02
water transmembrane transporter activity (GO:0005372)	51	0	13.15	-	 < 0.01	3.88E-07	1.90E-06
cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	16	0	4.12	-	 < 0.01	1.77E-02	3.06E-02
oligopeptide transmembrane transporter activity (GO:0035673)	18	0	4.64	-	 < 0.01	6.30E-03	1.20E-02
MAP kinase kinase kinase activity (GO:0004709)	29	0	7.48	-	 < 0.01	3.58E-04	9.44E-04
cyclin binding (GO:0030332)	13	0	3.35	-	 < 0.01	2.76E-02	4.60E-02
