




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	small_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	small_families_low_stringency.txt (14397)	small_families_low_stringency.txt (expected)	small_families_low_stringency.txt (over/under)	small_families_low_stringency.txt (fold Enrichment)	small_families_low_stringency.txt (raw P-value)	small_families_low_stringency.txt (FDR)
ribosomal small subunit biogenesis (GO:0042274)	142	95	36.60	+	2.60	9.94E-25	1.67E-23
nuclear transport (GO:0051169)	150	100	38.66	+	2.59	9.09E-26	1.65E-24
nucleoside metabolic process (GO:0009116)	27	18	6.96	+	2.59	9.57E-06	2.90E-05
mitochondrial DNA metabolic process (GO:0032042)	9	6	2.32	+	2.59	1.17E-02	2.07E-02
nucleotide-sugar transmembrane transport (GO:0015780)	18	12	4.64	+	2.59	3.15E-04	7.42E-04
chromosome organization involved in meiotic cell cycle (GO:0070192)	12	8	3.09	+	2.59	3.43E-03	6.84E-03
plastid membrane organization (GO:0009668)	12	8	3.09	+	2.59	3.43E-03	6.83E-03
response to wounding (GO:0009611)	30	20	7.73	+	2.59	3.03E-06	9.70E-06
glycosyl compound catabolic process (GO:1901658)	27	18	6.96	+	2.59	9.57E-06	2.89E-05
nucleocytoplasmic transport (GO:0006913)	150	100	38.66	+	2.59	9.09E-26	1.63E-24
mitochondrial genome maintenance (GO:0000002)	9	6	2.32	+	2.59	1.17E-02	2.07E-02
thylakoid membrane organization (GO:0010027)	12	8	3.09	+	2.59	3.43E-03	6.82E-03
nuclear-transcribed mRNA catabolic process (GO:0000956)	101	67	26.03	+	2.57	1.38E-17	1.32E-16
RNA catabolic process (GO:0006401)	133	88	34.28	+	2.57	1.63E-22	2.19E-21
establishment of protein localization to vacuole (GO:0072666)	38	25	9.80	+	2.55	2.56E-07	9.60E-07
protein localization to vacuole (GO:0072665)	38	25	9.80	+	2.55	2.56E-07	9.58E-07
tRNA methylation (GO:0030488)	35	23	9.02	+	2.55	8.00E-07	2.77E-06
spliceosomal complex assembly (GO:0000245)	32	21	8.25	+	2.55	2.51E-06	8.19E-06
DNA integrity checkpoint signaling (GO:0031570)	32	21	8.25	+	2.55	2.51E-06	8.18E-06
vacuolar transport (GO:0007034)	90	59	23.20	+	2.54	2.65E-15	2.04E-14
intra-Golgi vesicle-mediated transport (GO:0006891)	55	36	14.18	+	2.54	7.36E-10	3.47E-09
ribonucleoside triphosphate biosynthetic process (GO:0009201)	49	32	12.63	+	2.53	7.04E-09	3.04E-08
nucleobase-containing compound transport (GO:0015931)	103	67	26.55	+	2.52	6.45E-17	5.87E-16
multivesicular body sorting pathway (GO:0071985)	40	26	10.31	+	2.52	2.11E-07	8.04E-07
ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway (GO:0043162)	20	13	5.16	+	2.52	2.55E-04	6.19E-04
endosome transport via multivesicular body sorting pathway (GO:0032509)	40	26	10.31	+	2.52	2.11E-07	8.02E-07
membrane lipid biosynthetic process (GO:0046467)	97	63	25.00	+	2.52	6.02E-16	5.06E-15
protein localization to mitochondrion (GO:0070585)	77	50	19.85	+	2.52	5.98E-13	3.95E-12
establishment of protein localization to mitochondrion (GO:0072655)	77	50	19.85	+	2.52	5.98E-13	3.93E-12
regulation of defense response (GO:0031347)	31	20	7.99	+	2.50	6.46E-06	1.97E-05
protein-DNA complex assembly (GO:0065004)	62	40	15.98	+	2.50	1.63E-10	8.22E-10
protein localization to nucleus (GO:0034504)	78	50	20.11	+	2.49	1.25E-12	7.98E-12
nucleoside triphosphate biosynthetic process (GO:0009142)	50	32	12.89	+	2.48	1.47E-08	6.21E-08
protein processing (GO:0016485)	58	37	14.95	+	2.47	1.26E-09	5.82E-09
nucleoside monophosphate metabolic process (GO:0009123)	33	21	8.51	+	2.47	5.22E-06	1.61E-05
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	11	7	2.84	+	2.47	9.04E-03	1.64E-02
protein targeting to mitochondrion (GO:0006626)	74	47	19.07	+	2.46	9.54E-12	5.50E-11
RNA biosynthetic process (GO:0032774)	230	146	59.29	+	2.46	2.55E-33	5.83E-32
DNA replication initiation (GO:0006270)	30	19	7.73	+	2.46	1.63E-05	4.78E-05
protein localization to endoplasmic reticulum (GO:0070972)	79	50	20.36	+	2.46	2.54E-12	1.58E-11
import into nucleus (GO:0051170)	76	48	19.59	+	2.45	7.76E-12	4.51E-11
protein import into nucleus (GO:0006606)	76	48	19.59	+	2.45	7.76E-12	4.49E-11
endosomal transport (GO:0016197)	97	61	25.00	+	2.44	1.59E-14	1.17E-13
ceramide metabolic process (GO:0006672)	35	22	9.02	+	2.44	4.19E-06	1.33E-05
protein localization to organelle (GO:0033365)	358	225	92.28	+	2.44	1.83E-49	6.91E-48
DNA-templated transcription (GO:0006351)	226	142	58.26	+	2.44	9.52E-32	2.07E-30
vacuole organization (GO:0007033)	83	52	21.39	+	2.43	1.67E-12	1.06E-11
post-translational protein targeting to membrane, translocation (GO:0031204)	16	10	4.12	+	2.42	2.11E-03	4.38E-03
double-strand break repair via nonhomologous end joining (GO:0006303)	16	10	4.12	+	2.42	2.11E-03	4.37E-03
mismatch repair (GO:0006298)	16	10	4.12	+	2.42	2.11E-03	4.36E-03
tyrosine metabolic process (GO:0006570)	8	5	2.06	+	2.42	3.10E-02	4.99E-02
DNA-templated transcription initiation (GO:0006352)	93	58	23.97	+	2.42	1.18E-13	8.38E-13
autophagy of mitochondrion (GO:0000422)	50	31	12.89	+	2.41	7.29E-08	2.82E-07
ribonucleoprotein complex biogenesis (GO:0022613)	549	340	141.51	+	2.40	1.35E-71	6.74E-70
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	63	39	16.24	+	2.40	1.64E-09	7.47E-09
positive regulation of cellular component organization (GO:0051130)	26	16	6.70	+	2.39	1.27E-04	3.26E-04
UDP-N-acetylglucosamine metabolic process (GO:0006047)	13	8	3.35	+	2.39	6.90E-03	1.27E-02
mitotic DNA damage checkpoint signaling (GO:0044773)	13	8	3.35	+	2.39	6.90E-03	1.27E-02
carbohydrate derivative biosynthetic process (GO:1901137)	319	196	82.23	+	2.38	3.90E-41	1.07E-39
RNA processing (GO:0006396)	882	541	227.35	+	2.38	2.60E-111	2.58E-109
sister chromatid cohesion (GO:0007062)	41	25	10.57	+	2.37	2.09E-06	6.85E-06
nucleoside catabolic process (GO:0009164)	23	14	5.93	+	2.36	3.98E-04	9.24E-04
nucleobase-containing small molecule catabolic process (GO:0034656)	23	14	5.93	+	2.36	3.98E-04	9.22E-04
regulation of mitotic cell cycle phase transition (GO:1901990)	66	40	17.01	+	2.35	2.50E-09	1.12E-08
autophagosome assembly (GO:0000045)	73	44	18.82	+	2.34	8.67E-10	4.05E-09
autophagy (GO:0006914)	98	59	25.26	+	2.34	8.65E-13	5.63E-12
process utilizing autophagic mechanism (GO:0061919)	98	59	25.26	+	2.34	8.65E-13	5.61E-12
cellular response to topologically incorrect protein (GO:0035967)	35	21	9.02	+	2.33	1.95E-05	5.50E-05
response to topologically incorrect protein (GO:0035966)	35	21	9.02	+	2.33	1.95E-05	5.49E-05
response to unfolded protein (GO:0006986)	25	15	6.44	+	2.33	3.08E-04	7.31E-04
endoplasmic reticulum unfolded protein response (GO:0030968)	25	15	6.44	+	2.33	3.08E-04	7.30E-04
inner mitochondrial membrane organization (GO:0007007)	25	15	6.44	+	2.33	3.08E-04	7.29E-04
mitochondrial membrane organization (GO:0007006)	25	15	6.44	+	2.33	3.08E-04	7.28E-04
cellular response to unfolded protein (GO:0034620)	25	15	6.44	+	2.33	3.08E-04	7.26E-04
translational initiation (GO:0006413)	72	43	18.56	+	2.32	1.69E-09	7.65E-09
cytosolic transport (GO:0016482)	37	22	9.54	+	2.31	1.52E-05	4.46E-05
branched-chain amino acid biosynthetic process (GO:0009082)	27	16	6.96	+	2.30	2.37E-04	5.79E-04
rRNA base methylation (GO:0070475)	27	16	6.96	+	2.30	2.37E-04	5.78E-04
negative regulation of translation (GO:0017148)	27	16	6.96	+	2.30	2.37E-04	5.77E-04
protein-RNA complex assembly (GO:0022618)	203	120	52.33	+	2.29	1.08E-23	1.58E-22
ribosome biogenesis (GO:0042254)	445	263	114.71	+	2.29	4.16E-50	1.61E-48
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	44	26	11.34	+	2.29	5.03E-06	1.57E-05
mitochondrion organization (GO:0007005)	161	95	41.50	+	2.29	5.91E-19	6.44E-18
cytochrome complex assembly (GO:0017004)	17	10	4.38	+	2.28	3.95E-03	7.81E-03
ncRNA transcription (GO:0098781)	29	17	7.48	+	2.27	1.82E-04	4.50E-04
regulation of cell cycle phase transition (GO:1901987)	89	52	22.94	+	2.27	7.67E-11	4.03E-10
regulation of protein-containing complex disassembly (GO:0043244)	12	7	3.09	+	2.26	1.69E-02	2.89E-02
purine ribonucleoside monophosphate metabolic process (GO:0009167)	19	11	4.90	+	2.25	2.97E-03	6.02E-03
purine nucleoside monophosphate metabolic process (GO:0009126)	19	11	4.90	+	2.25	2.97E-03	6.01E-03
signal transduction in response to DNA damage (GO:0042770)	19	11	4.90	+	2.25	2.97E-03	6.00E-03
DNA damage checkpoint signaling (GO:0000077)	19	11	4.90	+	2.25	2.97E-03	5.99E-03
purine-containing compound biosynthetic process (GO:0072522)	152	88	39.18	+	2.25	8.13E-17	7.31E-16
protein-RNA complex organization (GO:0071826)	209	121	53.87	+	2.25	1.35E-22	1.90E-21
ribonucleoside monophosphate metabolic process (GO:0009161)	26	15	6.70	+	2.24	5.55E-04	1.25E-03
mitochondrial translation (GO:0032543)	26	15	6.70	+	2.24	5.55E-04	1.25E-03
cytoplasmic microtubule organization (GO:0031122)	33	19	8.51	+	2.23	1.60E-04	3.98E-04
organelle disassembly (GO:1903008)	80	46	20.62	+	2.23	3.10E-09	1.37E-08
regulation of mitotic cell cycle (GO:0007346)	80	46	20.62	+	2.23	3.10E-09	1.37E-08
protein targeting to vacuole (GO:0006623)	28	16	7.22	+	2.22	6.58E-04	1.47E-03
chloroplast fission (GO:0010020)	14	8	3.61	+	2.22	1.25E-02	2.19E-02
organelle fission (GO:0048285)	116	66	29.90	+	2.21	1.99E-12	1.24E-11
protein-containing complex assembly (GO:0065003)	422	240	108.78	+	2.21	7.11E-42	2.07E-40
purine nucleotide biosynthetic process (GO:0006164)	148	84	38.15	+	2.20	1.44E-15	1.14E-14
positive regulation of catalytic activity (GO:0043085)	60	34	15.47	+	2.20	3.97E-07	1.47E-06
nucleotide biosynthetic process (GO:0009165)	190	107	48.98	+	2.18	6.07E-19	6.56E-18
nucleoside phosphate biosynthetic process (GO:1901293)	190	107	48.98	+	2.18	6.07E-19	6.51E-18
organophosphate biosynthetic process (GO:0090407)	359	202	92.54	+	2.18	1.61E-34	3.80E-33
ubiquinone biosynthetic process (GO:0006744)	16	9	4.12	+	2.18	9.24E-03	1.67E-02
IMP metabolic process (GO:0046040)	16	9	4.12	+	2.18	9.24E-03	1.66E-02
macroautophagy (GO:0016236)	89	50	22.94	+	2.18	1.23E-09	5.66E-09
RNA splicing (GO:0008380)	340	191	87.64	+	2.18	1.74E-32	3.91E-31
amide biosynthetic process (GO:0043604)	485	272	125.02	+	2.18	1.00E-45	3.11E-44
maturation of LSU-rRNA (GO:0000470)	50	28	12.89	+	2.17	5.81E-06	1.78E-05
triglyceride metabolic process (GO:0006641)	25	14	6.44	+	2.17	1.84E-03	3.85E-03
acylglycerol metabolic process (GO:0006639)	25	14	6.44	+	2.17	1.84E-03	3.84E-03
neutral lipid metabolic process (GO:0006638)	25	14	6.44	+	2.17	1.84E-03	3.84E-03
heterocycle biosynthetic process (GO:0018130)	622	348	160.33	+	2.17	8.39E-58	3.77E-56
organonitrogen compound biosynthetic process (GO:1901566)	1172	655	302.10	+	2.17	7.06E-108	5.79E-106
nuclear division (GO:0000280)	86	48	22.17	+	2.17	3.47E-09	1.53E-08
peptide biosynthetic process (GO:0043043)	424	236	109.29	+	2.16	5.06E-39	1.28E-37
Golgi to vacuole transport (GO:0006896)	18	10	4.64	+	2.16	1.15E-02	2.04E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	1101	611	283.80	+	2.15	5.71E-99	3.79E-97
Golgi vesicle transport (GO:0048193)	266	147	68.57	+	2.14	1.88E-24	3.05E-23
regulation of proteolysis involved in protein catabolic process (GO:1903050)	29	16	7.48	+	2.14	8.91E-04	1.97E-03
translation (GO:0006412)	418	230	107.75	+	2.13	4.72E-37	1.17E-35
regulation of proteolysis (GO:0030162)	40	22	10.31	+	2.13	8.62E-05	2.25E-04
RNA metabolic process (GO:0016070)	1518	834	391.29	+	2.13	4.74E-132	5.51E-130
small molecule biosynthetic process (GO:0044283)	447	245	115.22	+	2.13	4.73E-39	1.22E-37
monocarboxylic acid biosynthetic process (GO:0072330)	75	41	19.33	+	2.12	1.67E-07	6.40E-07
negative regulation of protein metabolic process (GO:0051248)	33	18	8.51	+	2.12	4.58E-04	1.05E-03
positive regulation of molecular function (GO:0044093)	66	36	17.01	+	2.12	6.91E-07	2.43E-06
pigment metabolic process (GO:0042440)	44	24	11.34	+	2.12	7.82E-05	2.05E-04
phospholipid biosynthetic process (GO:0008654)	143	78	36.86	+	2.12	3.21E-13	2.17E-12
protein insertion into mitochondrial inner membrane (GO:0045039)	22	12	5.67	+	2.12	5.19E-03	9.76E-03
regulation of GTPase activity (GO:0043087)	46	25	11.86	+	2.11	5.33E-05	1.43E-04
carbohydrate derivative transport (GO:1901264)	46	25	11.86	+	2.11	5.33E-05	1.43E-04
amino acid biosynthetic process (GO:0008652)	173	94	44.59	+	2.11	1.52E-15	1.21E-14
nucleobase-containing compound biosynthetic process (GO:0034654)	519	281	133.78	+	2.10	4.64E-43	1.41E-41
gene expression (GO:0010467)	2016	1086	519.66	+	2.09	1.31E-164	2.28E-162
regulation of cell cycle process (GO:0010564)	104	56	26.81	+	2.09	1.31E-09	5.99E-09
mRNA splicing, via spliceosome (GO:0000398)	304	163	78.36	+	2.08	5.60E-25	9.52E-24
regulation of protein catabolic process (GO:0042176)	28	15	7.22	+	2.08	1.80E-03	3.77E-03
transcription by RNA polymerase I (GO:0006360)	28	15	7.22	+	2.08	1.80E-03	3.76E-03
Golgi organization (GO:0007030)	56	30	14.43	+	2.08	9.72E-06	2.93E-05
negative regulation of cellular component organization (GO:0051129)	43	23	11.08	+	2.08	1.41E-04	3.52E-04
negative regulation of organelle organization (GO:0010639)	43	23	11.08	+	2.08	1.41E-04	3.51E-04
protein targeting (GO:0006605)	214	114	55.16	+	2.07	1.35E-17	1.30E-16
aromatic amino acid family biosynthetic process (GO:0009073)	47	25	12.11	+	2.06	6.99E-05	1.86E-04
alpha-amino acid biosynthetic process (GO:1901607)	190	101	48.98	+	2.06	1.06E-15	8.62E-15
establishment of protein localization to extracellular region (GO:0035592)	17	9	4.38	+	2.05	2.15E-02	3.53E-02
protein secretion (GO:0009306)	17	9	4.38	+	2.05	2.15E-02	3.52E-02
protein localization to extracellular region (GO:0071692)	17	9	4.38	+	2.05	2.15E-02	3.52E-02
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	121	64	31.19	+	2.05	2.15E-10	1.08E-09
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	312	165	80.42	+	2.05	1.69E-24	2.81E-23
RNA splicing, via transesterification reactions (GO:0000375)	312	165	80.42	+	2.05	1.69E-24	2.78E-23
heme metabolic process (GO:0042168)	19	10	4.90	+	2.04	1.46E-02	2.53E-02
heme biosynthetic process (GO:0006783)	19	10	4.90	+	2.04	1.46E-02	2.53E-02
monocarboxylic acid catabolic process (GO:0072329)	57	30	14.69	+	2.04	2.25E-05	6.23E-05
mRNA metabolic process (GO:0016071)	536	282	138.16	+	2.04	3.43E-40	9.20E-39
regulation of catabolic process (GO:0009894)	118	62	30.42	+	2.04	5.70E-10	2.70E-09
chromosome segregation (GO:0007059)	139	73	35.83	+	2.04	1.81E-11	1.03E-10
carboxylic acid biosynthetic process (GO:0046394)	320	168	82.49	+	2.04	2.98E-24	4.67E-23
organic acid biosynthetic process (GO:0016053)	320	168	82.49	+	2.04	2.98E-24	4.62E-23
nucleic acid metabolic process (GO:0090304)	2079	1088	535.90	+	2.03	1.27E-152	1.77E-150
regulation of RNA stability (GO:0043487)	67	35	17.27	+	2.03	3.98E-06	1.27E-05
mRNA processing (GO:0006397)	358	187	92.28	+	2.03	1.40E-26	2.74E-25
triglyceride biosynthetic process (GO:0019432)	23	12	5.93	+	2.02	7.11E-03	1.30E-02
glycerolipid biosynthetic process (GO:0045017)	144	75	37.12	+	2.02	1.93E-11	1.09E-10
glycerophospholipid biosynthetic process (GO:0046474)	121	63	31.19	+	2.02	8.41E-10	3.95E-09
regulation of organelle organization (GO:0033043)	123	64	31.71	+	2.02	6.00E-10	2.83E-09
mitochondrial gene expression (GO:0140053)	50	26	12.89	+	2.02	7.23E-05	1.92E-04
intracellular transport (GO:0046907)	653	338	168.32	+	2.01	5.67E-46	1.84E-44
cellular nitrogen compound metabolic process (GO:0034641)	3056	1579	787.73	+	2.00	1.57E-217	2.19E-214
cytoplasmic translational initiation (GO:0002183)	31	16	7.99	+	2.00	2.98E-03	5.99E-03
NADP metabolic process (GO:0006739)	39	20	10.05	+	1.99	7.02E-04	1.56E-03
vesicle-mediated transport to the plasma membrane (GO:0098876)	43	22	11.08	+	1.98	3.64E-04	8.54E-04
nucleobase-containing compound metabolic process (GO:0006139)	2543	1300	655.50	+	1.98	2.66E-172	6.18E-170
negative regulation of gene expression (GO:0010629)	228	116	58.77	+	1.97	7.56E-16	6.24E-15
establishment of localization in cell (GO:0051649)	696	354	179.41	+	1.97	7.80E-46	2.47E-44
regulation of mRNA catabolic process (GO:0061013)	65	33	16.75	+	1.97	2.20E-05	6.12E-05
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	326	165	84.03	+	1.96	7.56E-22	9.67E-21
regulation of cellular catabolic process (GO:0031329)	87	44	22.43	+	1.96	8.41E-07	2.91E-06
heterocycle metabolic process (GO:0046483)	2731	1380	703.96	+	1.96	2.00E-177	5.58E-175
peptide metabolic process (GO:0006518)	542	273	139.71	+	1.95	1.01E-34	2.43E-33
protein-DNA complex organization (GO:0071824)	221	111	56.97	+	1.95	7.76E-15	5.75E-14
cellular component assembly (GO:0022607)	673	337	173.48	+	1.94	7.76E-42	2.16E-40
regulation of proteasomal protein catabolic process (GO:0061136)	26	13	6.70	+	1.94	1.12E-02	1.99E-02
regulation of mRNA stability (GO:0043488)	64	32	16.50	+	1.94	3.83E-05	1.05E-04
regulation of hydrolase activity (GO:0051336)	64	32	16.50	+	1.94	3.83E-05	1.05E-04
protein modification by small protein removal (GO:0070646)	128	64	32.99	+	1.94	5.51E-09	2.39E-08
amide metabolic process (GO:0043603)	646	323	166.52	+	1.94	6.27E-40	1.65E-38
positive regulation of GTPase activity (GO:0043547)	42	21	10.83	+	1.94	1.08E-03	2.36E-03
protein-containing complex localization (GO:0031503)	24	12	6.19	+	1.94	1.01E-02	1.80E-02
activation of GTPase activity (GO:0090630)	34	17	8.76	+	1.94	2.60E-03	5.28E-03
branched-chain amino acid metabolic process (GO:0009081)	54	27	13.92	+	1.94	1.35E-04	3.38E-04
pyrimidine-containing compound metabolic process (GO:0072527)	48	24	12.37	+	1.94	3.67E-04	8.60E-04
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	148	74	38.15	+	1.94	3.14E-10	1.52E-09
aromatic compound biosynthetic process (GO:0019438)	686	342	176.83	+	1.93	7.22E-42	2.06E-40
macromolecule biosynthetic process (GO:0009059)	2447	1218	630.75	+	1.93	3.00E-149	3.80E-147
proteinogenic amino acid metabolic process (GO:0170039)	197	98	50.78	+	1.93	5.77E-13	3.85E-12
negative regulation of biosynthetic process (GO:0009890)	280	139	72.17	+	1.93	1.56E-17	1.47E-16
negative regulation of cellular biosynthetic process (GO:0031327)	280	139	72.17	+	1.93	1.56E-17	1.46E-16
organic cyclic compound biosynthetic process (GO:1901362)	727	359	187.40	+	1.92	1.23E-42	3.66E-41
cellular aromatic compound metabolic process (GO:0006725)	2809	1383	724.06	+	1.91	4.37E-165	8.69E-163
fatty acid biosynthetic process (GO:0006633)	61	30	15.72	+	1.91	9.53E-05	2.47E-04
negative regulation of RNA metabolic process (GO:0051253)	57	28	14.69	+	1.91	1.89E-04	4.66E-04
aromatic compound catabolic process (GO:0019439)	322	158	83.00	+	1.90	2.81E-19	3.13E-18
alpha-amino acid metabolic process (GO:1901605)	314	154	80.94	+	1.90	9.98E-19	1.04E-17
negative regulation of macromolecule biosynthetic process (GO:0010558)	276	135	71.14	+	1.90	2.12E-16	1.87E-15
cellular biosynthetic process (GO:0044249)	3403	1664	877.18	+	1.90	1.07E-196	4.98E-194
cellular nitrogen compound catabolic process (GO:0044270)	305	149	78.62	+	1.90	6.44E-18	6.32E-17
heterocycle catabolic process (GO:0046700)	305	149	78.62	+	1.90	6.44E-18	6.28E-17
plastid organization (GO:0009657)	84	41	21.65	+	1.89	7.34E-06	2.23E-05
aromatic amino acid metabolic process (GO:0009072)	74	36	19.07	+	1.89	2.49E-05	6.86E-05
organic substance biosynthetic process (GO:1901576)	3501	1703	902.44	+	1.89	2.49E-198	1.74E-195
organic cyclic compound metabolic process (GO:1901360)	2899	1410	747.26	+	1.89	1.75E-162	2.71E-160
organic cyclic compound catabolic process (GO:1901361)	329	160	84.80	+	1.89	6.40E-19	6.81E-18
amino acid metabolic process (GO:0006520)	469	228	120.89	+	1.89	1.82E-26	3.48E-25
nucleobase-containing compound catabolic process (GO:0034655)	280	136	72.17	+	1.88	3.67E-16	3.12E-15
regulation of amide metabolic process (GO:0034248)	66	32	17.01	+	1.88	9.68E-05	2.51E-04
regulation of translation (GO:0006417)	66	32	17.01	+	1.88	9.68E-05	2.50E-04
carbohydrate derivative metabolic process (GO:1901135)	584	283	150.54	+	1.88	3.86E-32	8.55E-31
DNA replication (GO:0006260)	201	97	51.81	+	1.87	7.20E-12	4.20E-11
ribose phosphate biosynthetic process (GO:0046390)	141	68	36.34	+	1.87	1.06E-08	4.51E-08
purine ribonucleotide biosynthetic process (GO:0009152)	108	52	27.84	+	1.87	6.93E-07	2.43E-06
post-Golgi vesicle-mediated transport (GO:0006892)	54	26	13.92	+	1.87	4.59E-04	1.05E-03
cellular component biogenesis (GO:0044085)	1174	565	302.62	+	1.87	8.54E-62	4.10E-60
protein-containing complex organization (GO:0043933)	689	331	177.60	+	1.86	1.81E-36	4.41E-35
regulation of ubiquitin-dependent protein catabolic process (GO:2000058)	25	12	6.44	+	1.86	1.94E-02	3.21E-02
negative regulation of biological process (GO:0048519)	429	205	110.58	+	1.85	9.98E-23	1.42E-21
negative regulation of cellular process (GO:0048523)	425	203	109.55	+	1.85	1.91E-22	2.51E-21
glucose 6-phosphate metabolic process (GO:0051156)	44	21	11.34	+	1.85	1.66E-03	3.48E-03
positive regulation of protein metabolic process (GO:0051247)	65	31	16.75	+	1.85	1.62E-04	4.02E-04
biosynthetic process (GO:0009058)	3573	1703	921.00	+	1.85	1.59E-186	5.53E-184
mRNA modification (GO:0016556)	42	20	10.83	+	1.85	2.30E-03	4.73E-03
ribosomal large subunit biogenesis (GO:0042273)	143	68	36.86	+	1.84	2.39E-08	9.93E-08
fatty acid beta-oxidation (GO:0006635)	40	19	10.31	+	1.84	3.22E-03	6.44E-03
regulation of cellular component organization (GO:0051128)	137	65	35.31	+	1.84	6.56E-08	2.57E-07
organelle fusion (GO:0048284)	104	49	26.81	+	1.83	2.77E-06	8.97E-06
DNA metabolic process (GO:0006259)	586	276	151.05	+	1.83	6.84E-29	1.44E-27
negative regulation of metabolic process (GO:0009892)	324	152	83.52	+	1.82	2.46E-16	2.13E-15
negative regulation of cellular metabolic process (GO:0031324)	324	152	83.52	+	1.82	2.46E-16	2.12E-15
dicarboxylic acid metabolic process (GO:0043648)	94	44	24.23	+	1.82	1.42E-05	4.20E-05
fatty acid metabolic process (GO:0006631)	154	72	39.70	+	1.81	2.69E-08	1.11E-07
vesicle fusion (GO:0006906)	92	43	23.71	+	1.81	2.00E-05	5.59E-05
lipoprotein biosynthetic process (GO:0042158)	105	49	27.07	+	1.81	5.05E-06	1.57E-05
lipoprotein metabolic process (GO:0042157)	105	49	27.07	+	1.81	5.05E-06	1.57E-05
protein lipidation (GO:0006497)	105	49	27.07	+	1.81	5.05E-06	1.56E-05
alcohol metabolic process (GO:0006066)	105	49	27.07	+	1.81	5.05E-06	1.56E-05
chloroplast organization (GO:0009658)	75	35	19.33	+	1.81	9.72E-05	2.51E-04
negative regulation of macromolecule metabolic process (GO:0010605)	318	148	81.97	+	1.81	1.29E-15	1.04E-14
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	28	13	7.22	+	1.80	1.71E-02	2.92E-02
endomembrane system organization (GO:0010256)	138	64	35.57	+	1.80	2.31E-07	8.73E-07
regulation of response to stress (GO:0080134)	54	25	13.92	+	1.80	1.49E-03	3.16E-03
nucleobase metabolic process (GO:0009112)	39	18	10.05	+	1.79	5.65E-03	1.05E-02
membrane fusion (GO:0061025)	102	47	26.29	+	1.79	1.13E-05	3.36E-05
pigment biosynthetic process (GO:0046148)	37	17	9.54	+	1.78	7.83E-03	1.43E-02
establishment of protein localization to membrane (GO:0090150)	133	61	34.28	+	1.78	7.07E-07	2.46E-06
transcription by RNA polymerase III (GO:0006383)	48	22	12.37	+	1.78	2.63E-03	5.34E-03
positive regulation of catabolic process (GO:0009896)	83	38	21.39	+	1.78	7.94E-05	2.08E-04
positive regulation of mRNA catabolic process (GO:0061014)	59	27	15.21	+	1.78	8.99E-04	1.98E-03
positive regulation of cellular catabolic process (GO:0031331)	59	27	15.21	+	1.78	8.99E-04	1.98E-03
nucleobase-containing small molecule metabolic process (GO:0055086)	464	212	119.60	+	1.77	1.64E-20	1.96E-19
proteasomal protein catabolic process (GO:0010498)	419	191	108.00	+	1.77	2.28E-18	2.30E-17
cellular localization (GO:0051641)	1118	509	288.18	+	1.77	5.94E-47	1.97E-45
generation of precursor metabolites and energy (GO:0006091)	310	141	79.91	+	1.76	6.69E-14	4.76E-13
nucleotide-sugar metabolic process (GO:0009225)	33	15	8.51	+	1.76	1.54E-02	2.65E-02
phosphatidylinositol biosynthetic process (GO:0006661)	88	40	22.68	+	1.76	7.16E-05	1.90E-04
L-amino acid metabolic process (GO:0170033)	221	100	56.97	+	1.76	3.74E-10	1.79E-09
cytoplasmic translation (GO:0002181)	126	57	32.48	+	1.76	2.96E-06	9.52E-06
ribonucleotide biosynthetic process (GO:0009260)	133	60	34.28	+	1.75	1.36E-06	4.55E-06
nucleoside phosphate metabolic process (GO:0006753)	391	176	100.79	+	1.75	2.19E-16	1.92E-15
establishment of protein localization (GO:0045184)	592	266	152.60	+	1.74	5.64E-24	8.36E-23
mRNA destabilization (GO:0061157)	58	26	14.95	+	1.74	2.24E-03	4.62E-03
RNA destabilization (GO:0050779)	58	26	14.95	+	1.74	2.24E-03	4.61E-03
protein localization to cytoskeleton (GO:0044380)	29	13	7.48	+	1.74	3.08E-02	4.96E-02
ubiquitin-dependent protein catabolic process (GO:0006511)	550	246	141.77	+	1.74	6.50E-22	8.39E-21
fatty acid catabolic process (GO:0009062)	47	21	12.11	+	1.73	6.63E-03	1.22E-02
positive regulation of hydrolase activity (GO:0051345)	47	21	12.11	+	1.73	6.63E-03	1.22E-02
