




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	large_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Glycine max - REFLIST (55853)	large_families_low_stringency.txt (31045)	large_families_low_stringency.txt (expected)	large_families_low_stringency.txt (over/under)	large_families_low_stringency.txt (fold Enrichment)	large_families_low_stringency.txt (raw P-value)	large_families_low_stringency.txt (FDR)
proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)	34	2	18.90	-	.11	9.48E-10	4.05E-09
proton channel activity (GO:0015252)	35	2	19.45	-	.10	4.46E-10	2.03E-09
DNA endonuclease activity (GO:0004520)	20	1	11.12	-	.09	2.32E-06	7.29E-06
ubiquitin ligase-substrate adaptor activity (GO:1990756)	5	0	2.78	-	 < 0.01	1.73E-02	2.97E-02
inositol phosphate phosphatase activity (GO:0052745)	5	0	2.78	-	 < 0.01	1.73E-02	2.96E-02
DNA N-glycosylase activity (GO:0019104)	13	0	7.23	-	 < 0.01	2.61E-05	7.25E-05
carbohydrate binding (GO:0030246)	12	0	6.67	-	 < 0.01	5.89E-05	1.54E-04
small GTPase binding (GO:0031267)	11	0	6.11	-	 < 0.01	1.33E-04	3.30E-04
amino acid binding (GO:0016597)	5	0	2.78	-	 < 0.01	1.73E-02	2.95E-02
phosphatidylcholine binding (GO:0031210)	5	0	2.78	-	 < 0.01	1.73E-02	2.94E-02
thiosulfate sulfurtransferase activity (GO:0004792)	20	0	11.12	-	 < 0.01	8.89E-08	3.23E-07
5'-nucleotidase activity (GO:0008253)	9	0	5.00	-	 < 0.01	6.72E-04	1.51E-03
tRNA-specific adenosine deaminase activity (GO:0008251)	5	0	2.78	-	 < 0.01	1.73E-02	2.93E-02
DNA replication origin binding (GO:0003688)	13	0	7.23	-	 < 0.01	2.61E-05	7.21E-05
adenosine deaminase activity (GO:0004000)	9	0	5.00	-	 < 0.01	6.72E-04	1.50E-03
tRNA methyltransferase activity (GO:0008175)	13	0	7.23	-	 < 0.01	2.61E-05	7.17E-05
rRNA (guanine) methyltransferase activity (GO:0016435)	6	0	3.34	-	 < 0.01	7.68E-03	1.44E-02
rRNA (adenine) methyltransferase activity (GO:0016433)	8	0	4.45	-	 < 0.01	1.51E-03	3.22E-03
protein kinase A binding (GO:0051018)	6	0	3.34	-	 < 0.01	7.68E-03	1.44E-02
microtubule plus-end binding (GO:0051010)	6	0	3.34	-	 < 0.01	7.68E-03	1.43E-02
sulfurtransferase activity (GO:0016783)	26	0	14.45	-	 < 0.01	6.81E-10	3.04E-09
protein kinase A regulatory subunit binding (GO:0034237)	6	0	3.34	-	 < 0.01	7.68E-03	1.43E-02
hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amides (GO:0016812)	7	0	3.89	-	 < 0.01	3.41E-03	6.92E-03
structural constituent of nuclear pore (GO:0017056)	20	0	11.12	-	 < 0.01	8.89E-08	3.21E-07
monosaccharide binding (GO:0048029)	7	0	3.89	-	 < 0.01	3.41E-03	6.89E-03
nucleoside transmembrane transporter activity (GO:0005337)	9	0	5.00	-	 < 0.01	6.72E-04	1.49E-03
myosin binding (GO:0017022)	6	0	3.34	-	 < 0.01	7.68E-03	1.42E-02
SUMO ligase activity (GO:0061665)	10	0	5.56	-	 < 0.01	2.99E-04	7.15E-04
NADH dehydrogenase activity (GO:0003954)	26	0	14.45	-	 < 0.01	6.81E-10	3.01E-09
peptide alpha-N-acetyltransferase activity (GO:0004596)	7	0	3.89	-	 < 0.01	3.41E-03	6.86E-03
