




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	large_families_low_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	large_families_low_stringency.txt (31045)	large_families_low_stringency.txt (expected)	large_families_low_stringency.txt (over/under)	large_families_low_stringency.txt (fold Enrichment)	large_families_low_stringency.txt (raw P-value)	large_families_low_stringency.txt (FDR)
monoatomic cation transmembrane transport (GO:0098655)	173	131	96.16	+	1.36	5.36E-08	2.77E-07
inorganic ion homeostasis (GO:0098771)	140	106	77.82	+	1.36	9.08E-07	3.78E-06
regulation of protein modification process (GO:0031399)	107	81	59.47	+	1.36	2.22E-05	7.44E-05
homeostatic process (GO:0042592)	374	283	207.88	+	1.36	8.28E-16	8.95E-15
regulation of intracellular pH (GO:0051453)	45	34	25.01	+	1.36	6.70E-03	1.37E-02
regulation of cellular pH (GO:0030641)	45	34	25.01	+	1.36	6.70E-03	1.36E-02
intracellular chemical homeostasis (GO:0055082)	200	151	111.17	+	1.36	7.37E-09	4.32E-08
response to heat (GO:0009408)	167	126	92.82	+	1.36	1.22E-07	5.90E-07
regulation of primary metabolic process (GO:0080090)	1917	1444	1065.53	+	1.36	4.05E-74	2.26E-72
organophosphate catabolic process (GO:0046434)	154	116	85.60	+	1.36	5.21E-07	2.23E-06
regulation of cellular metabolic process (GO:0031323)	2229	1677	1238.95	+	1.35	1.43E-85	1.25E-83
biological regulation (GO:0065007)	3690	2774	2051.03	+	1.35	3.13E-143	8.71E-141
macromolecule modification (GO:0043412)	2558	1919	1421.82	+	1.35	2.57E-96	2.56E-94
positive regulation of macromolecule biosynthetic process (GO:0010557)	324	243	180.09	+	1.35	5.36E-13	4.76E-12
export from cell (GO:0140352)	140	105	77.82	+	1.35	2.23E-06	8.72E-06
protein stabilization (GO:0050821)	40	30	22.23	+	1.35	1.60E-02	3.04E-02
positive regulation of biosynthetic process (GO:0009891)	324	243	180.09	+	1.35	5.36E-13	4.73E-12
positive regulation of cellular biosynthetic process (GO:0031328)	324	243	180.09	+	1.35	5.36E-13	4.70E-12
regulation of protein-containing complex assembly (GO:0043254)	36	27	20.01	+	1.35	1.90E-02	3.44E-02
response to cold (GO:0009409)	36	27	20.01	+	1.35	1.90E-02	3.44E-02
regulation of biological process (GO:0050789)	3326	2490	1848.70	+	1.35	2.74E-124	5.46E-122
purine nucleotide catabolic process (GO:0006195)	99	74	55.03	+	1.34	1.02E-04	3.13E-04
regulation of macromolecule metabolic process (GO:0060255)	2226	1663	1237.29	+	1.34	6.93E-81	4.39E-79
monoatomic ion transmembrane transport (GO:0034220)	181	135	100.61	+	1.34	1.67E-07	7.88E-07
intracellular monoatomic cation homeostasis (GO:0030003)	177	132	98.38	+	1.34	1.93E-07	9.06E-07
intracellular monoatomic ion homeostasis (GO:0006873)	177	132	98.38	+	1.34	1.93E-07	9.03E-07
response to temperature stimulus (GO:0009266)	179	133	99.49	+	1.34	3.25E-07	1.44E-06
regulation of metabolic process (GO:0019222)	2282	1695	1268.41	+	1.34	3.93E-79	2.38E-77
positive regulation of RNA metabolic process (GO:0051254)	349	258	193.99	+	1.33	1.75E-12	1.49E-11
glucose metabolic process (GO:0006006)	84	62	46.69	+	1.33	8.67E-04	2.16E-03
regulation of phosphorus metabolic process (GO:0051174)	110	81	61.14	+	1.32	1.08E-04	3.29E-04
regulation of phosphate metabolic process (GO:0019220)	110	81	61.14	+	1.32	1.08E-04	3.28E-04
protein ubiquitination (GO:0016567)	453	333	251.79	+	1.32	3.45E-15	3.57E-14
nucleotide catabolic process (GO:0009166)	101	74	56.14	+	1.32	2.83E-04	7.98E-04
response to nitrogen compound (GO:1901698)	119	87	66.14	+	1.32	9.35E-05	2.88E-04
cellular modified amino acid metabolic process (GO:0006575)	163	119	90.60	+	1.31	5.58E-06	2.08E-05
microtubule-based process (GO:0007017)	309	225	171.75	+	1.31	5.45E-10	3.62E-09
terpenoid biosynthetic process (GO:0016114)	55	40	30.57	+	1.31	1.38E-02	2.63E-02
cortical cytoskeleton organization (GO:0030865)	44	32	24.46	+	1.31	2.28E-02	4.08E-02
maintenance of location (GO:0051235)	87	63	48.36	+	1.30	1.60E-03	3.77E-03
lipid oxidation (GO:0034440)	90	65	50.03	+	1.30	1.37E-03	3.28E-03
response to organonitrogen compound (GO:0010243)	115	83	63.92	+	1.30	3.21E-04	8.93E-04
telomere maintenance (GO:0000723)	79	57	43.91	+	1.30	3.04E-03	6.81E-03
telomere organization (GO:0032200)	79	57	43.91	+	1.30	3.04E-03	6.80E-03
response to oxidative stress (GO:0006979)	122	88	67.81	+	1.30	2.34E-04	6.73E-04
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	358	258	198.99	+	1.30	1.49E-10	1.06E-09
amine metabolic process (GO:0009308)	117	84	65.03	+	1.29	3.69E-04	1.02E-03
organophosphate ester transport (GO:0015748)	67	48	37.24	+	1.29	9.32E-03	1.83E-02
cellular response to stimulus (GO:0051716)	1524	1088	847.09	+	1.28	9.93E-38	2.83E-36
positive regulation of transcription by RNA polymerase II (GO:0045944)	122	87	67.81	+	1.28	4.80E-04	1.31E-03
chaperone-mediated protein folding (GO:0061077)	94	67	52.25	+	1.28	2.41E-03	5.45E-03
mitotic cell cycle process (GO:1903047)	282	201	156.75	+	1.28	7.07E-08	3.62E-07
ribosomal large subunit assembly (GO:0000027)	52	37	28.90	+	1.28	2.53E-02	4.48E-02
secretion by cell (GO:0032940)	120	85	66.70	+	1.27	8.55E-04	2.14E-03
secretion (GO:0046903)	120	85	66.70	+	1.27	8.55E-04	2.14E-03
actin cytoskeleton organization (GO:0030036)	113	80	62.81	+	1.27	1.18E-03	2.86E-03
transition metal ion transport (GO:0000041)	58	41	32.24	+	1.27	2.39E-02	4.27E-02
actin filament-based process (GO:0030029)	119	84	66.14	+	1.27	8.54E-04	2.14E-03
nucleoside phosphate catabolic process (GO:1901292)	121	85	67.26	+	1.26	1.26E-03	3.03E-03
response to stress (GO:0006950)	1373	962	763.16	+	1.26	8.92E-29	1.83E-27
DNA biosynthetic process (GO:0071897)	80	56	44.47	+	1.26	9.46E-03	1.85E-02
cytoskeleton organization (GO:0007010)	369	258	205.10	+	1.26	2.02E-08	1.14E-07
protein folding (GO:0006457)	365	255	202.88	+	1.26	2.36E-08	1.30E-07
cellular homeostasis (GO:0019725)	244	170	135.62	+	1.25	7.43E-06	2.72E-05
purine-containing compound catabolic process (GO:0072523)	120	83	66.70	+	1.24	3.09E-03	6.90E-03
microtubule cytoskeleton organization (GO:0000226)	229	158	127.29	+	1.24	4.34E-05	1.39E-04
protein modification by small protein conjugation (GO:0032446)	496	342	275.69	+	1.24	1.26E-09	7.82E-09
'de novo' protein folding (GO:0006458)	77	53	42.80	+	1.24	2.13E-02	3.82E-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	422	290	234.56	+	1.24	4.03E-08	2.14E-07
supramolecular fiber organization (GO:0097435)	166	114	92.27	+	1.24	7.22E-04	1.84E-03
positive regulation of cellular metabolic process (GO:0031325)	402	276	223.45	+	1.24	8.12E-08	4.10E-07
regulation of catalytic activity (GO:0050790)	204	140	113.39	+	1.23	1.70E-04	4.96E-04
organelle localization (GO:0051640)	156	107	86.71	+	1.23	1.18E-03	2.86E-03
cellular lipid catabolic process (GO:0044242)	120	82	66.70	+	1.23	5.58E-03	1.17E-02
lipid catabolic process (GO:0016042)	120	82	66.70	+	1.23	5.58E-03	1.16E-02
transport (GO:0006810)	2394	1635	1330.67	+	1.23	1.65E-38	4.90E-37
protein metabolic process (GO:0019538)	3650	2490	2028.79	+	1.23	2.26E-58	1.17E-56
reproductive process (GO:0022414)	220	150	122.28	+	1.23	1.72E-04	5.00E-04
reproduction (GO:0000003)	220	150	122.28	+	1.23	1.72E-04	4.99E-04
carbohydrate derivative catabolic process (GO:1901136)	138	94	76.71	+	1.23	3.40E-03	7.43E-03
regulation of molecular function (GO:0065009)	210	143	116.73	+	1.23	2.77E-04	7.84E-04
mitotic cell cycle (GO:0000278)	354	241	196.77	+	1.22	1.62E-06	6.53E-06
hexose metabolic process (GO:0019318)	109	74	60.59	+	1.22	1.18E-02	2.27E-02
positive regulation of cellular process (GO:0048522)	451	306	250.68	+	1.22	1.12E-07	5.44E-07
ERAD pathway (GO:0036503)	99	67	55.03	+	1.22	1.52E-02	2.88E-02
localization (GO:0051179)	2791	1887	1551.33	+	1.22	2.55E-40	8.09E-39
positive regulation of metabolic process (GO:0009893)	435	294	241.79	+	1.22	3.27E-07	1.45E-06
positive regulation of macromolecule metabolic process (GO:0010604)	433	292	240.68	+	1.21	5.11E-07	2.19E-06
establishment of localization (GO:0051234)	2545	1711	1414.60	+	1.21	1.79E-34	4.63E-33
isoprenoid metabolic process (GO:0006720)	127	85	70.59	+	1.20	1.20E-02	2.31E-02
positive regulation of biological process (GO:0048518)	480	320	266.80	+	1.20	7.32E-07	3.08E-06
phosphatidylinositol metabolic process (GO:0046488)	143	95	79.48	+	1.20	8.93E-03	1.76E-02
biological_process (GO:0008150)	15251	10093	8477.03	+	1.19	7.81E-213	5.45E-210
organic hydroxy compound metabolic process (GO:1901615)	251	166	139.51	+	1.19	7.19E-04	1.84E-03
regulation of response to stimulus (GO:0048583)	118	78	65.59	+	1.19	2.56E-02	4.53E-02
monosaccharide metabolic process (GO:0005996)	141	93	78.37	+	1.19	1.37E-02	2.62E-02
protein polyubiquitination (GO:0000209)	138	91	76.71	+	1.19	1.61E-02	3.04E-02
chromosome organization (GO:0051276)	304	199	168.97	+	1.18	5.00E-04	1.34E-03
small molecule catabolic process (GO:0044282)	246	161	136.74	+	1.18	1.97E-03	4.58E-03
sulfur compound metabolic process (GO:0006790)	244	159	135.62	+	1.17	2.90E-03	6.51E-03
protein modification by small protein conjugation or removal (GO:0070647)	624	403	346.84	+	1.16	5.39E-06	2.01E-05
organonitrogen compound metabolic process (GO:1901564)	4706	3030	2615.76	+	1.16	1.64E-37	4.56E-36
organic substance transport (GO:0071702)	923	590	513.03	+	1.15	2.53E-07	1.16E-06
post-translational protein modification (GO:0043687)	638	407	354.62	+	1.15	2.50E-05	8.38E-05
protein maturation (GO:0051604)	462	294	256.80	+	1.14	4.91E-04	1.32E-03
lipid metabolic process (GO:0006629)	783	490	435.22	+	1.13	6.67E-05	2.09E-04
cell cycle (GO:0007049)	546	341	303.49	+	1.12	1.16E-03	2.82E-03
cellular process (GO:0009987)	10779	6726	5991.34	+	1.12	3.65E-57	1.81E-55
monocarboxylic acid metabolic process (GO:0032787)	332	205	184.54	+	1.11	2.32E-02	4.14E-02
organic substance catabolic process (GO:1901575)	1474	895	819.30	+	1.09	5.96E-05	1.88E-04
macromolecule metabolic process (GO:0043170)	5907	3579	3283.31	+	1.09	2.10E-16	2.32E-15
metabolic process (GO:0008152)	8527	5163	4739.60	+	1.09	8.48E-24	1.39E-22
nitrogen compound transport (GO:0071705)	806	487	448.00	+	1.09	5.34E-03	1.12E-02
organic substance metabolic process (GO:0071704)	8044	4860	4471.13	+	1.09	2.94E-21	4.18E-20
proteolysis involved in protein catabolic process (GO:0051603)	777	468	431.88	+	1.08	8.83E-03	1.74E-02
primary metabolic process (GO:0044238)	7504	4513	4170.98	+	1.08	1.15E-17	1.35E-16
organonitrogen compound catabolic process (GO:1901565)	1045	626	580.85	+	1.08	4.66E-03	9.85E-03
protein catabolic process (GO:0030163)	782	468	434.66	+	1.08	1.67E-02	3.14E-02
catabolic process (GO:0009056)	1616	965	898.23	+	1.07	7.24E-04	1.85E-03
cellular metabolic process (GO:0044237)	6671	3920	3707.97	+	1.06	2.57E-08	1.40E-07
nitrogen compound metabolic process (GO:0006807)	6706	3885	3727.42	+	1.04	3.67E-05	1.20E-04
small molecule metabolic process (GO:0044281)	1328	692	738.15	-	.94	1.01E-02	1.98E-02
Unclassified (UNCLASSIFIED)	40602	20952	22567.97	-	.93	7.81E-213	1.09E-209
cellular localization (GO:0051641)	1118	569	621.42	-	.92	1.56E-03	3.66E-03
DNA repair (GO:0006281)	403	200	224.00	-	.89	1.79E-02	3.28E-02
nucleotide metabolic process (GO:0009117)	365	181	202.88	-	.89	2.30E-02	4.10E-02
nucleobase-containing small molecule metabolic process (GO:0055086)	464	228	257.91	-	.88	5.59E-03	1.16E-02
nucleoside phosphate metabolic process (GO:0006753)	391	192	217.33	-	.88	1.06E-02	2.06E-02
organic cyclic compound catabolic process (GO:1901361)	329	161	182.87	-	.88	1.66E-02	3.13E-02
amino acid metabolic process (GO:0006520)	469	228	260.69	-	.87	2.40E-03	5.43E-03
nucleobase-containing compound catabolic process (GO:0034655)	280	136	155.63	-	.87	1.87E-02	3.39E-02
cellular nitrogen compound catabolic process (GO:0044270)	305	148	169.53	-	.87	1.51E-02	2.88E-02
heterocycle catabolic process (GO:0046700)	305	148	169.53	-	.87	1.51E-02	2.88E-02
aromatic compound catabolic process (GO:0019439)	322	156	178.98	-	.87	1.13E-02	2.18E-02
negative regulation of biosynthetic process (GO:0009890)	280	135	155.63	-	.87	1.34E-02	2.58E-02
negative regulation of cellular biosynthetic process (GO:0031327)	280	135	155.63	-	.87	1.34E-02	2.57E-02
alpha-amino acid metabolic process (GO:1901605)	314	151	174.53	-	.87	8.70E-03	1.71E-02
DNA damage response (GO:0006974)	417	200	231.78	-	.86	1.81E-03	4.23E-03
negative regulation of biological process (GO:0048519)	429	205	238.45	-	.86	1.26E-03	3.04E-03
negative regulation of cellular process (GO:0048523)	425	203	236.23	-	.86	1.21E-03	2.92E-03
protein-containing complex organization (GO:0043933)	689	329	382.97	-	.86	3.56E-05	1.16E-04
biosynthetic process (GO:0009058)	3573	1700	1986.00	-	.86	4.02E-23	6.23E-22
cellular component biogenesis (GO:0044085)	1174	557	652.55	-	.85	1.61E-08	9.23E-08
negative regulation of gene expression (GO:0010629)	228	107	126.73	-	.84	9.13E-03	1.79E-02
generation of precursor metabolites and energy (GO:0006091)	310	145	172.31	-	.84	1.93E-03	4.52E-03
organic cyclic compound metabolic process (GO:1901360)	2899	1353	1611.36	-	.84	5.54E-23	8.49E-22
protein-DNA complex organization (GO:0071824)	221	103	122.84	-	.84	8.05E-03	1.59E-02
organic substance biosynthetic process (GO:1901576)	3501	1630	1945.98	-	.84	1.99E-28	3.90E-27
cellular biosynthetic process (GO:0044249)	3403	1574	1891.50	-	.83	2.43E-29	5.14E-28
carbohydrate derivative metabolic process (GO:1901135)	584	270	324.61	-	.83	5.82E-06	2.16E-05
cellular aromatic compound metabolic process (GO:0006725)	2809	1294	1561.34	-	.83	3.25E-25	5.60E-24
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	326	150	181.20	-	.83	5.19E-04	1.38E-03
macromolecule biosynthetic process (GO:0009059)	2447	1118	1360.13	-	.82	1.28E-23	2.05E-22
DNA metabolic process (GO:0006259)	586	267	325.72	-	.82	1.16E-06	4.71E-06
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	121	55	67.26	-	.82	2.77E-02	4.89E-02
amide metabolic process (GO:0043603)	646	293	359.07	-	.82	1.68E-07	7.89E-07
establishment of localization in cell (GO:0051649)	696	315	386.86	-	.81	4.53E-08	2.40E-07
peptide metabolic process (GO:0006518)	542	243	301.26	-	.81	5.35E-07	2.28E-06
regulation of organelle organization (GO:0033043)	123	55	68.37	-	.80	1.79E-02	3.28E-02
intracellular transport (GO:0046907)	653	291	362.96	-	.80	1.63E-08	9.34E-08
heterocycle metabolic process (GO:0046483)	2731	1215	1517.98	-	.80	1.02E-32	2.45E-31
cellular component assembly (GO:0022607)	673	299	374.08	-	.80	5.40E-09	3.19E-08
organic cyclic compound biosynthetic process (GO:1901362)	727	322	404.09	-	.80	9.90E-10	6.25E-09
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	312	138	173.42	-	.80	6.00E-05	1.89E-04
RNA splicing, via transesterification reactions (GO:0000375)	312	138	173.42	-	.80	6.00E-05	1.88E-04
aromatic compound biosynthetic process (GO:0019438)	686	302	381.30	-	.79	1.10E-09	6.91E-09
nucleobase-containing compound metabolic process (GO:0006139)	2543	1118	1413.49	-	.79	2.79E-33	6.83E-32
mRNA processing (GO:0006397)	358	157	198.99	-	.79	8.77E-06	3.18E-05
mRNA metabolic process (GO:0016071)	536	235	297.93	-	.79	5.33E-08	2.76E-07
protein targeting (GO:0006605)	214	93	118.95	-	.78	4.17E-04	1.14E-03
carboxylic acid biosynthetic process (GO:0046394)	320	139	177.87	-	.78	1.30E-05	4.59E-05
organic acid biosynthetic process (GO:0016053)	320	139	177.87	-	.78	1.30E-05	4.58E-05
mRNA splicing, via spliceosome (GO:0000398)	304	132	168.97	-	.78	2.22E-05	7.46E-05
cellular nitrogen compound metabolic process (GO:0034641)	3056	1323	1698.63	-	.78	1.62E-44	5.37E-43
ribose phosphate biosynthetic process (GO:0046390)	141	61	78.37	-	.78	3.78E-03	8.13E-03
alpha-amino acid biosynthetic process (GO:1901607)	190	82	105.61	-	.78	7.26E-04	1.85E-03
Golgi vesicle transport (GO:0048193)	266	114	147.85	-	.77	3.19E-05	1.05E-04
nucleic acid metabolic process (GO:0090304)	2079	890	1155.58	-	.77	1.29E-32	3.04E-31
glycerolipid biosynthetic process (GO:0045017)	144	61	80.04	-	.76	1.79E-03	4.20E-03
amino acid biosynthetic process (GO:0008652)	173	73	96.16	-	.76	5.27E-04	1.40E-03
glycerophospholipid biosynthetic process (GO:0046474)	121	51	67.26	-	.76	3.28E-03	7.21E-03
chromosome segregation (GO:0007059)	139	58	77.26	-	.75	1.12E-03	2.72E-03
gene expression (GO:0010467)	2016	837	1120.56	-	.75	5.21E-38	1.51E-36
RNA splicing (GO:0008380)	340	140	188.98	-	.74	9.38E-08	4.63E-07
RNA metabolic process (GO:0016070)	1518	623	843.76	-	.74	1.36E-30	2.97E-29
positive regulation of molecular function (GO:0044093)	66	27	36.69	-	.74	1.83E-02	3.35E-02
purine ribonucleotide biosynthetic process (GO:0009152)	108	44	60.03	-	.73	2.50E-03	5.62E-03
small molecule biosynthetic process (GO:0044283)	447	181	248.46	-	.73	1.53E-10	1.08E-09
translational initiation (GO:0006413)	72	29	40.02	-	.72	1.22E-02	2.34E-02
positive regulation of catalytic activity (GO:0043085)	60	24	33.35	-	.72	1.87E-02	3.40E-02
monocarboxylic acid biosynthetic process (GO:0072330)	75	30	41.69	-	.72	7.32E-03	1.48E-02
phospholipid biosynthetic process (GO:0008654)	143	57	79.48	-	.72	1.89E-04	5.46E-04
translation (GO:0006412)	418	166	232.34	-	.71	6.97E-11	5.19E-10
peptide biosynthetic process (GO:0043043)	424	166	235.67	-	.70	1.20E-11	9.48E-11
nucleobase-containing compound biosynthetic process (GO:0034654)	519	203	288.48	-	.70	5.36E-14	5.11E-13
amide biosynthetic process (GO:0043604)	485	188	269.58	-	.70	9.05E-14	8.41E-13
organonitrogen compound biosynthetic process (GO:1901566)	1172	451	651.44	-	.69	2.16E-32	5.01E-31
regulation of cell cycle process (GO:0010564)	104	40	57.81	-	.69	5.02E-04	1.34E-03
cellular nitrogen compound biosynthetic process (GO:0044271)	1101	423	611.97	-	.69	8.74E-31	1.93E-29
protein-containing complex assembly (GO:0065003)	422	162	234.56	-	.69	1.27E-12	1.09E-11
macroautophagy (GO:0016236)	89	34	49.47	-	.69	1.24E-03	2.99E-03
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	63	24	35.02	-	.69	7.22E-03	1.47E-02
protein-RNA complex organization (GO:0071826)	209	79	116.17	-	.68	2.74E-07	1.23E-06
protein-RNA complex assembly (GO:0022618)	203	76	112.83	-	.67	2.62E-07	1.17E-06
ribosome biogenesis (GO:0042254)	445	165	247.35	-	.67	4.28E-15	4.38E-14
heterocycle biosynthetic process (GO:0018130)	622	229	345.73	-	.66	3.73E-21	5.20E-20
organelle disassembly (GO:1903008)	80	29	44.47	-	.65	6.42E-04	1.70E-03
mitochondrial gene expression (GO:0140053)	50	18	27.79	-	.65	6.42E-03	1.32E-02
organophosphate biosynthetic process (GO:0090407)	359	129	199.54	-	.65	6.64E-14	6.25E-13
organelle fission (GO:0048285)	116	41	64.48	-	.64	1.35E-05	4.72E-05
nucleotide biosynthetic process (GO:0009165)	190	67	105.61	-	.63	1.87E-08	1.06E-07
nucleoside phosphate biosynthetic process (GO:1901293)	190	67	105.61	-	.63	1.87E-08	1.06E-07
regulation of mitotic cell cycle (GO:0007346)	80	28	44.47	-	.63	2.66E-04	7.56E-04
mitochondrion organization (GO:0007005)	161	56	89.49	-	.63	1.14E-07	5.56E-07
autophagy (GO:0006914)	98	34	54.47	-	.62	3.79E-05	1.23E-04
process utilizing autophagic mechanism (GO:0061919)	98	34	54.47	-	.62	3.79E-05	1.22E-04
ncRNA transcription (GO:0098781)	29	10	16.12	-	.62	2.50E-02	4.44E-02
ribonucleoprotein complex biogenesis (GO:0022613)	549	189	305.15	-	.62	1.66E-23	2.64E-22
DNA-templated transcription initiation (GO:0006352)	93	32	51.69	-	.62	5.70E-05	1.81E-04
ceramide metabolic process (GO:0006672)	35	12	19.45	-	.62	1.60E-02	3.04E-02
protein localization to endoplasmic reticulum (GO:0070972)	79	27	43.91	-	.61	1.54E-04	4.55E-04
sister chromatid cohesion (GO:0007062)	41	14	22.79	-	.61	7.00E-03	1.42E-02
autophagy of mitochondrion (GO:0000422)	50	17	27.79	-	.61	2.54E-03	5.70E-03
RNA processing (GO:0006396)	882	298	490.25	-	.61	2.59E-39	7.84E-38
purine nucleotide biosynthetic process (GO:0006164)	148	50	82.26	-	.61	1.17E-07	5.67E-07
nuclear division (GO:0000280)	86	29	47.80	-	.61	4.89E-05	1.56E-04
regulation of cell cycle phase transition (GO:1901987)	89	30	49.47	-	.61	3.93E-05	1.26E-04
DNA-templated transcription (GO:0006351)	226	76	125.62	-	.61	3.80E-11	2.90E-10
response to wounding (GO:0009611)	30	10	16.68	-	.60	1.65E-02	3.11E-02
protein localization to organelle (GO:0033365)	358	119	198.99	-	.60	1.64E-17	1.91E-16
RNA biosynthetic process (GO:0032774)	230	76	127.84	-	.59	5.76E-12	4.64E-11
endosomal transport (GO:0016197)	97	32	53.92	-	.59	8.34E-06	3.04E-05
import into nucleus (GO:0051170)	76	25	42.24	-	.59	1.07E-04	3.27E-04
protein import into nucleus (GO:0006606)	76	25	42.24	-	.59	1.07E-04	3.27E-04
purine-containing compound biosynthetic process (GO:0072522)	152	50	84.49	-	.59	2.54E-08	1.39E-07
autophagosome assembly (GO:0000045)	73	24	40.58	-	.59	1.28E-04	3.83E-04
intra-Golgi vesicle-mediated transport (GO:0006891)	55	18	30.57	-	.59	9.36E-04	2.29E-03
multivesicular body sorting pathway (GO:0071985)	40	13	22.23	-	.58	3.84E-03	8.23E-03
endosome transport via multivesicular body sorting pathway (GO:0032509)	40	13	22.23	-	.58	3.84E-03	8.22E-03
protein targeting to mitochondrion (GO:0006626)	74	24	41.13	-	.58	8.57E-05	2.67E-04
retrograde transport, endosome to Golgi (GO:0042147)	31	10	17.23	-	.58	1.07E-02	2.08E-02
protein-DNA complex assembly (GO:0065004)	62	20	34.46	-	.58	2.77E-04	7.85E-04
protein targeting to vacuole (GO:0006623)	28	9	15.56	-	.58	1.36E-02	2.61E-02
protein localization to nucleus (GO:0034504)	78	25	43.36	-	.58	3.18E-05	1.04E-04
nucleobase-containing compound transport (GO:0015931)	103	33	57.25	-	.58	2.05E-06	8.03E-06
inner mitochondrial membrane organization (GO:0007007)	25	8	13.90	-	.58	2.50E-02	4.43E-02
mitochondrial membrane organization (GO:0007006)	25	8	13.90	-	.58	2.50E-02	4.43E-02
regulation of mitotic cell cycle phase transition (GO:1901990)	66	21	36.69	-	.57	1.54E-04	4.54E-04
nuclear-transcribed mRNA catabolic process (GO:0000956)	101	32	56.14	-	.57	1.63E-06	6.55E-06
RNA catabolic process (GO:0006401)	133	42	73.93	-	.57	3.37E-08	1.82E-07
vacuole organization (GO:0007033)	83	26	46.13	-	.56	1.13E-05	4.01E-05
protein localization to mitochondrion (GO:0070585)	77	24	42.80	-	.56	1.69E-05	5.78E-05
establishment of protein localization to mitochondrion (GO:0072655)	77	24	42.80	-	.56	1.69E-05	5.76E-05
carbohydrate derivative biosynthetic process (GO:1901137)	319	99	177.31	-	.56	1.08E-18	1.34E-17
ribonucleoside monophosphate metabolic process (GO:0009161)	26	8	14.45	-	.55	1.62E-02	3.06E-02
tricarboxylic acid cycle (GO:0006099)	39	12	21.68	-	.55	2.01E-03	4.68E-03
mitochondrial translation (GO:0032543)	26	8	14.45	-	.55	1.62E-02	3.05E-02
aspartate family amino acid biosynthetic process (GO:0009067)	43	13	23.90	-	.54	1.04E-03	2.55E-03
alcohol biosynthetic process (GO:0046165)	53	16	29.46	-	.54	2.51E-04	7.20E-04
post-translational protein targeting to endoplasmic reticulum membrane (GO:0006620)	20	6	11.12	-	.54	2.45E-02	4.36E-02
DNA replication initiation (GO:0006270)	30	9	16.68	-	.54	5.48E-03	1.15E-02
mRNA catabolic process (GO:0006402)	111	33	61.70	-	.53	4.58E-08	2.41E-07
rRNA methylation (GO:0031167)	37	11	20.57	-	.53	2.39E-03	5.40E-03
late endosome to vacuole transport (GO:0045324)	44	13	24.46	-	.53	6.66E-04	1.76E-03
nuclear transport (GO:0051169)	150	44	83.38	-	.53	9.44E-11	6.92E-10
nucleocytoplasmic transport (GO:0006913)	150	44	83.38	-	.53	9.44E-11	6.89E-10
protein processing (GO:0016485)	58	17	32.24	-	.53	8.92E-05	2.77E-04
vacuolar transport (GO:0007034)	90	26	50.03	-	.52	3.55E-07	1.57E-06
ribosomal small subunit biogenesis (GO:0042274)	142	41	78.93	-	.52	1.50E-10	1.06E-09
membrane lipid biosynthetic process (GO:0046467)	97	28	53.92	-	.52	1.63E-07	7.79E-07
sphingolipid biosynthetic process (GO:0030148)	42	12	23.35	-	.51	5.04E-04	1.35E-03
protein transmembrane transport (GO:0071806)	98	28	54.47	-	.51	1.05E-07	5.18E-07
establishment of protein localization to organelle (GO:0072594)	282	80	156.75	-	.51	2.40E-20	3.15E-19
spliceosomal complex assembly (GO:0000245)	32	9	17.79	-	.51	2.12E-03	4.91E-03
cell cycle DNA replication (GO:0044786)	25	7	13.90	-	.50	7.66E-03	1.55E-02
nuclear DNA replication (GO:0033260)	25	7	13.90	-	.50	7.66E-03	1.55E-02
rRNA metabolic process (GO:0016072)	318	89	176.76	-	.50	2.76E-23	4.32E-22
glycoprotein metabolic process (GO:0009100)	97	27	53.92	-	.50	4.82E-08	2.52E-07
rRNA processing (GO:0006364)	287	79	159.52	-	.50	7.08E-22	1.05E-20
glycosyl compound metabolic process (GO:1901657)	33	9	18.34	-	.49	1.30E-03	3.13E-03
nuclear export (GO:0051168)	89	24	49.47	-	.49	7.51E-08	3.82E-07
protein import into mitochondrial matrix (GO:0030150)	45	12	25.01	-	.48	1.20E-04	3.61E-04
purine ribonucleoside monophosphate metabolic process (GO:0009167)	19	5	10.56	-	.47	1.83E-02	3.35E-02
purine nucleoside monophosphate metabolic process (GO:0009126)	19	5	10.56	-	.47	1.83E-02	3.34E-02
purine nucleobase metabolic process (GO:0006144)	19	5	10.56	-	.47	1.83E-02	3.34E-02
DNA-templated DNA replication (GO:0006261)	126	33	70.04	-	.47	2.85E-11	2.18E-10
membrane lipid metabolic process (GO:0006643)	107	28	59.47	-	.47	9.48E-10	6.01E-09
DNA strand elongation involved in DNA replication (GO:0006271)	23	6	12.78	-	.47	5.51E-03	1.15E-02
ncRNA processing (GO:0034470)	446	116	247.90	-	.47	6.86E-37	1.88E-35
