




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	small_families_high_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	small_families_high_stringency.txt (22994)	small_families_high_stringency.txt (expected)	small_families_high_stringency.txt (over/under)	small_families_high_stringency.txt (fold Enrichment)	small_families_high_stringency.txt (raw P-value)	small_families_high_stringency.txt (FDR)
aspartate family amino acid metabolic process (GO:0009066)	57	44	23.47	+	1.88	4.11E-08	2.17E-07
cellular response to topologically incorrect protein (GO:0035967)	35	27	14.41	+	1.87	1.90E-05	6.80E-05
response to topologically incorrect protein (GO:0035966)	35	27	14.41	+	1.87	1.90E-05	6.79E-05
ceramide metabolic process (GO:0006672)	35	27	14.41	+	1.87	1.90E-05	6.77E-05
RNA 3'-end processing (GO:0031123)	83	64	34.17	+	1.87	3.16E-11	2.59E-10
root development (GO:0048364)	13	10	5.35	+	1.87	1.09E-02	2.16E-02
tRNA wobble uridine modification (GO:0002098)	13	10	5.35	+	1.87	1.09E-02	2.16E-02
protein K11-linked ubiquitination (GO:0070979)	13	10	5.35	+	1.87	1.09E-02	2.16E-02
fatty acid catabolic process (GO:0009062)	47	36	19.35	+	1.86	1.56E-06	6.59E-06
RNA modification (GO:0009451)	375	287	154.38	+	1.86	2.72E-44	1.15E-42
cytochrome complex assembly (GO:0017004)	17	13	7.00	+	1.86	4.98E-03	1.06E-02
lysine biosynthetic process (GO:0009085)	17	13	7.00	+	1.86	4.98E-03	1.06E-02
maturation of 5.8S rRNA (GO:0000460)	51	39	21.00	+	1.86	4.34E-07	2.02E-06
sphingolipid biosynthetic process (GO:0030148)	42	32	17.29	+	1.85	5.15E-06	2.00E-05
nuclear transport (GO:0051169)	150	114	61.75	+	1.85	7.66E-18	1.15E-16
maturation of LSU-rRNA (GO:0000470)	50	38	20.58	+	1.85	7.77E-07	3.47E-06
negative regulation of catalytic activity (GO:0043086)	50	38	20.58	+	1.85	7.77E-07	3.46E-06
DNA replication checkpoint signaling (GO:0000076)	25	19	10.29	+	1.85	7.22E-04	1.89E-03
nucleocytoplasmic transport (GO:0006913)	150	114	61.75	+	1.85	7.66E-18	1.14E-16
negative regulation of molecular function (GO:0044092)	50	38	20.58	+	1.85	7.77E-07	3.45E-06
branched-chain amino acid metabolic process (GO:0009081)	54	41	22.23	+	1.84	2.51E-07	1.20E-06
cytoplasmic microtubule organization (GO:0031122)	33	25	13.59	+	1.84	6.49E-05	2.08E-04
pseudouridine synthesis (GO:0001522)	37	28	15.23	+	1.84	3.03E-05	1.04E-04
tRNA modification (GO:0006400)	102	77	41.99	+	1.83	2.23E-12	2.06E-11
spindle assembly (GO:0051225)	77	58	31.70	+	1.83	1.58E-09	1.07E-08
transcription by RNA polymerase I (GO:0006360)	28	21	11.53	+	1.82	3.67E-04	1.01E-03
membrane lipid metabolic process (GO:0006643)	107	80	44.05	+	1.82	3.27E-12	2.90E-11
lipid homeostasis (GO:0055088)	59	44	24.29	+	1.81	3.53E-07	1.66E-06
regulation of catabolic process (GO:0009894)	118	88	48.58	+	1.81	2.60E-13	2.73E-12
establishment of protein localization to organelle (GO:0072594)	282	210	116.10	+	1.81	6.63E-30	2.15E-28
regulation of defense response (GO:0031347)	31	23	12.76	+	1.80	3.27E-04	9.20E-04
transition metal ion transport (GO:0000041)	58	43	23.88	+	1.80	5.99E-07	2.70E-06
iron-sulfur cluster assembly (GO:0016226)	27	20	11.12	+	1.80	6.58E-04	1.73E-03
negative regulation of translation (GO:0017148)	27	20	11.12	+	1.80	6.58E-04	1.73E-03
signal peptide processing (GO:0006465)	23	17	9.47	+	1.80	2.21E-03	5.13E-03
mRNA modification (GO:0016556)	42	31	17.29	+	1.79	2.48E-05	8.63E-05
purine nucleobase metabolic process (GO:0006144)	19	14	7.82	+	1.79	4.81E-03	1.05E-02
intracellular protein transmembrane transport (GO:0065002)	38	28	15.64	+	1.79	8.58E-05	2.69E-04
vacuole organization (GO:0007033)	83	61	34.17	+	1.79	3.51E-09	2.18E-08
RNA processing (GO:0006396)	882	647	363.11	+	1.78	1.26E-84	9.27E-83
response to wounding (GO:0009611)	30	22	12.35	+	1.78	5.60E-04	1.49E-03
chloroplast organization (GO:0009658)	75	55	30.88	+	1.78	2.22E-08	1.22E-07
RNA metabolic process (GO:0016070)	1518	1112	624.94	+	1.78	2.46E-145	1.71E-142
ribosomal small subunit biogenesis (GO:0042274)	142	104	58.46	+	1.78	1.29E-14	1.48E-13
endosomal transport (GO:0016197)	97	71	39.93	+	1.78	2.62E-10	1.98E-09
regulation of RNA stability (GO:0043487)	67	49	27.58	+	1.78	1.44E-07	7.16E-07
positive regulation of cellular component organization (GO:0051130)	26	19	10.70	+	1.78	1.17E-03	2.92E-03
glycosyl compound metabolic process (GO:1901657)	33	24	13.59	+	1.77	2.94E-04	8.35E-04
plastid organization (GO:0009657)	84	61	34.58	+	1.76	9.25E-09	5.40E-08
protein stabilization (GO:0050821)	40	29	16.47	+	1.76	7.48E-05	2.38E-04
protein processing (GO:0016485)	58	42	23.88	+	1.76	1.65E-06	6.97E-06
membrane lipid biosynthetic process (GO:0046467)	97	70	39.93	+	1.75	1.14E-09	7.76E-09
aerobic respiration (GO:0009060)	104	75	42.82	+	1.75	1.89E-10	1.46E-09
cellular respiration (GO:0045333)	107	77	44.05	+	1.75	1.54E-10	1.20E-09
regulation of mRNA stability (GO:0043488)	64	46	26.35	+	1.75	1.20E-06	5.24E-06
nuclear chromosome segregation (GO:0098813)	67	48	27.58	+	1.74	5.94E-07	2.69E-06
DNA synthesis involved in DNA repair (GO:0000731)	14	10	5.76	+	1.74	2.83E-02	5.03E-02
ribonucleoprotein complex biogenesis (GO:0022613)	549	392	226.02	+	1.73	7.77E-47	3.49E-45
regulation of mitotic cell cycle (GO:0007346)	80	57	32.94	+	1.73	7.04E-08	3.61E-07
protein localization to organelle (GO:0033365)	358	255	147.38	+	1.73	1.07E-30	3.65E-29
protein-DNA complex assembly (GO:0065004)	62	44	25.52	+	1.72	3.22E-06	1.30E-05
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	24	17	9.88	+	1.72	5.67E-03	1.20E-02
cotranslational protein targeting to membrane (GO:0006613)	24	17	9.88	+	1.72	5.67E-03	1.20E-02
regulation of cell cycle phase transition (GO:1901987)	89	63	36.64	+	1.72	2.76E-08	1.49E-07
regulation of mRNA catabolic process (GO:0061013)	65	46	26.76	+	1.72	1.69E-06	7.05E-06
Golgi vesicle transport (GO:0048193)	266	188	109.51	+	1.72	2.37E-22	5.33E-21
regulation of meiotic cell cycle (GO:0051445)	17	12	7.00	+	1.71	2.34E-02	4.22E-02
regulation of programmed cell death (GO:0043067)	17	12	7.00	+	1.71	2.34E-02	4.21E-02
protein targeting (GO:0006605)	214	151	88.10	+	1.71	4.01E-18	6.20E-17
cytosolic transport (GO:0016482)	37	26	15.23	+	1.71	6.00E-04	1.59E-03
DNA-templated transcription initiation (GO:0006352)	93	65	38.29	+	1.70	3.16E-08	1.69E-07
autophagosome assembly (GO:0000045)	73	51	30.05	+	1.70	1.00E-06	4.40E-06
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	63	44	25.94	+	1.70	4.76E-06	1.85E-05
aspartate family amino acid biosynthetic process (GO:0009067)	43	30	17.70	+	1.69	2.53E-04	7.26E-04
amide biosynthetic process (GO:0043604)	485	336	199.67	+	1.68	4.90E-36	1.85E-34
protein quality control for misfolded or incompletely synthesized proteins (GO:0006515)	26	18	10.70	+	1.68	4.66E-03	1.04E-02
tricarboxylic acid cycle (GO:0006099)	39	27	16.06	+	1.68	4.92E-04	1.32E-03
ribosome biogenesis (GO:0042254)	445	308	183.20	+	1.68	4.62E-33	1.65E-31
RNA biosynthetic process (GO:0032774)	230	159	94.69	+	1.68	1.20E-17	1.77E-16
liposaccharide metabolic process (GO:1903509)	55	38	22.64	+	1.68	4.54E-05	1.50E-04
glycolipid metabolic process (GO:0006664)	55	38	22.64	+	1.68	4.54E-05	1.49E-04
glycolipid biosynthetic process (GO:0009247)	55	38	22.64	+	1.68	4.54E-05	1.49E-04
mRNA destabilization (GO:0061157)	58	40	23.88	+	1.68	2.33E-05	8.22E-05
RNA destabilization (GO:0050779)	58	40	23.88	+	1.68	2.33E-05	8.20E-05
mitochondrial respiratory chain complex assembly (GO:0033108)	32	22	13.17	+	1.67	1.94E-03	4.62E-03
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	326	224	134.21	+	1.67	1.12E-23	2.73E-22
DNA-templated transcription (GO:0006351)	226	155	93.04	+	1.67	1.27E-16	1.69E-15
regulation of response to stress (GO:0080134)	54	37	22.23	+	1.66	7.26E-05	2.31E-04
mitochondrial transmembrane transport (GO:1990542)	95	65	39.11	+	1.66	9.55E-08	4.82E-07
regulation of dephosphorylation (GO:0035303)	19	13	7.82	+	1.66	1.93E-02	3.57E-02
purine-containing compound biosynthetic process (GO:0072522)	152	104	62.58	+	1.66	1.34E-11	1.16E-10
mitotic DNA integrity checkpoint signaling (GO:0044774)	19	13	7.82	+	1.66	1.93E-02	3.56E-02
purine nucleoside triphosphate biosynthetic process (GO:0009145)	41	28	16.88	+	1.66	6.52E-04	1.73E-03
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	41	28	16.88	+	1.66	6.52E-04	1.72E-03
regulation of cell cycle process (GO:0010564)	104	71	42.82	+	1.66	3.37E-08	1.79E-07
nucleic acid metabolic process (GO:0090304)	2079	1419	855.90	+	1.66	4.38E-142	2.04E-139
vesicle budding from membrane (GO:0006900)	69	47	28.41	+	1.65	7.09E-06	2.70E-05
mitotic spindle assembly (GO:0090307)	25	17	10.29	+	1.65	7.78E-03	1.58E-02
response to unfolded protein (GO:0006986)	25	17	10.29	+	1.65	7.78E-03	1.58E-02
endoplasmic reticulum unfolded protein response (GO:0030968)	25	17	10.29	+	1.65	7.78E-03	1.58E-02
cellular response to unfolded protein (GO:0034620)	25	17	10.29	+	1.65	7.78E-03	1.58E-02
alcohol biosynthetic process (GO:0046165)	53	36	21.82	+	1.65	1.16E-04	3.55E-04
positive regulation of mRNA catabolic process (GO:0061014)	59	40	24.29	+	1.65	4.93E-05	1.61E-04
positive regulation of cellular catabolic process (GO:0031331)	59	40	24.29	+	1.65	4.93E-05	1.60E-04
retrograde transport, endosome to Golgi (GO:0042147)	31	21	12.76	+	1.65	3.20E-03	7.35E-03
purine nucleotide biosynthetic process (GO:0006164)	148	100	60.93	+	1.64	1.32E-10	1.04E-09
mRNA catabolic process (GO:0006402)	111	75	45.70	+	1.64	3.09E-08	1.66E-07
fatty acid metabolic process (GO:0006631)	154	104	63.40	+	1.64	5.72E-11	4.67E-10
GPI anchor biosynthetic process (GO:0006506)	40	27	16.47	+	1.64	1.04E-03	2.62E-03
GPI anchor metabolic process (GO:0006505)	40	27	16.47	+	1.64	1.04E-03	2.62E-03
autophagy (GO:0006914)	98	66	40.35	+	1.64	2.58E-07	1.23E-06
process utilizing autophagic mechanism (GO:0061919)	98	66	40.35	+	1.64	2.58E-07	1.23E-06
gene expression (GO:0010467)	2016	1350	829.96	+	1.63	5.85E-125	7.41E-123
RNA catabolic process (GO:0006401)	133	89	54.75	+	1.63	2.65E-09	1.74E-08
nucleoside metabolic process (GO:0009116)	27	18	11.12	+	1.62	9.86E-03	1.97E-02
ATP biosynthetic process (GO:0006754)	39	26	16.06	+	1.62	1.67E-03	4.07E-03
NADP metabolic process (GO:0006739)	39	26	16.06	+	1.62	1.67E-03	4.06E-03
proton motive force-driven ATP synthesis (GO:0015986)	39	26	16.06	+	1.62	1.67E-03	4.05E-03
glycosyl compound catabolic process (GO:1901658)	27	18	11.12	+	1.62	9.86E-03	1.97E-02
peptide biosynthetic process (GO:0043043)	424	282	174.56	+	1.62	5.96E-26	1.70E-24
RNA splicing (GO:0008380)	340	226	139.97	+	1.61	6.36E-21	1.20E-19
energy derivation by oxidation of organic compounds (GO:0015980)	116	77	47.76	+	1.61	6.53E-08	3.38E-07
Golgi organization (GO:0007030)	56	37	23.05	+	1.60	1.97E-04	5.77E-04
translation (GO:0006412)	418	276	172.09	+	1.60	1.23E-24	3.30E-23
xylan biosynthetic process (GO:0045492)	47	31	19.35	+	1.60	8.88E-04	2.26E-03
protein localization to endoplasmic reticulum (GO:0070972)	79	52	32.52	+	1.60	1.58E-05	5.74E-05
proteasomal protein catabolic process (GO:0010498)	419	275	172.50	+	1.59	4.72E-24	1.20E-22
spliceosomal complex assembly (GO:0000245)	32	21	13.17	+	1.59	6.40E-03	1.34E-02
DNA integrity checkpoint signaling (GO:0031570)	32	21	13.17	+	1.59	6.40E-03	1.34E-02
nucleobase-containing compound metabolic process (GO:0006139)	2543	1666	1046.92	+	1.59	3.17E-141	1.10E-138
mitochondrial translation (GO:0032543)	26	17	10.70	+	1.59	1.57E-02	2.96E-02
nuclear-transcribed mRNA catabolic process (GO:0000956)	101	66	41.58	+	1.59	1.26E-06	5.47E-06
SCF-dependent proteasomal ubiquitin-dependent protein catabolic process (GO:0031146)	121	79	49.81	+	1.59	1.29E-07	6.46E-07
ubiquitin-dependent protein catabolic process (GO:0006511)	550	359	226.43	+	1.59	3.38E-30	1.12E-28
cellular nitrogen compound metabolic process (GO:0034641)	3056	1990	1258.12	+	1.58	1.25E-165	1.74E-162
negative regulation of cellular component organization (GO:0051129)	43	28	17.70	+	1.58	1.74E-03	4.17E-03
negative regulation of organelle organization (GO:0010639)	43	28	17.70	+	1.58	1.74E-03	4.16E-03
protein-containing complex assembly (GO:0065003)	422	274	173.73	+	1.58	8.92E-23	2.04E-21
mitochondrial transport (GO:0006839)	114	74	46.93	+	1.58	4.48E-07	2.08E-06
nucleotide biosynthetic process (GO:0009165)	190	123	78.22	+	1.57	6.31E-11	5.08E-10
nucleoside phosphate biosynthetic process (GO:1901293)	190	123	78.22	+	1.57	6.31E-11	5.05E-10
tetrapyrrole metabolic process (GO:0033013)	34	22	14.00	+	1.57	7.95E-03	1.61E-02
establishment of organelle localization (GO:0051656)	62	40	25.52	+	1.57	2.47E-04	7.13E-04
organonitrogen compound biosynthetic process (GO:1901566)	1172	756	482.50	+	1.57	2.96E-59	1.65E-57
mRNA splicing, via spliceosome (GO:0000398)	304	196	125.15	+	1.57	3.42E-16	4.34E-15
positive regulation of mRNA metabolic process (GO:1903313)	73	47	30.05	+	1.56	7.03E-05	2.24E-04
tissue development (GO:0009888)	70	45	28.82	+	1.56	1.28E-04	3.91E-04
protein localization to nucleus (GO:0034504)	78	50	32.11	+	1.56	6.87E-05	2.20E-04
macroautophagy (GO:0016236)	89	57	36.64	+	1.56	1.91E-05	6.77E-05
heterocycle metabolic process (GO:0046483)	2731	1749	1124.32	+	1.56	1.95E-134	4.53E-132
protein-RNA complex assembly (GO:0022618)	203	130	83.57	+	1.56	6.07E-11	4.92E-10
regulation of multicellular organismal development (GO:2000026)	25	16	10.29	+	1.55	2.48E-02	4.45E-02
mRNA processing (GO:0006397)	358	229	147.38	+	1.55	4.45E-18	6.82E-17
carbohydrate derivative biosynthetic process (GO:1901137)	319	204	131.33	+	1.55	2.67E-16	3.48E-15
mRNA 3'-end processing (GO:0031124)	36	23	14.82	+	1.55	6.52E-03	1.36E-02
positive regulation of catabolic process (GO:0009896)	83	53	34.17	+	1.55	4.41E-05	1.47E-04
lipoprotein biosynthetic process (GO:0042158)	105	67	43.23	+	1.55	3.53E-06	1.42E-05
lipoprotein metabolic process (GO:0042157)	105	67	43.23	+	1.55	3.53E-06	1.41E-05
protein lipidation (GO:0006497)	105	67	43.23	+	1.55	3.53E-06	1.41E-05
modification-dependent macromolecule catabolic process (GO:0043632)	580	370	238.78	+	1.55	3.56E-28	1.10E-26
nucleoside monophosphate metabolic process (GO:0009123)	33	21	13.59	+	1.55	1.22E-02	2.37E-02
photosynthesis (GO:0015979)	66	42	27.17	+	1.55	2.50E-04	7.21E-04
endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	148	94	60.93	+	1.54	5.34E-08	2.78E-07
organophosphate biosynthetic process (GO:0090407)	359	228	147.80	+	1.54	1.43E-17	2.06E-16
cellular nitrogen compound biosynthetic process (GO:0044271)	1101	699	453.27	+	1.54	4.04E-51	2.08E-49
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	312	198	128.45	+	1.54	2.38E-15	2.84E-14
RNA splicing, via transesterification reactions (GO:0000375)	312	198	128.45	+	1.54	2.38E-15	2.81E-14
macromolecule biosynthetic process (GO:0009059)	2447	1550	1007.40	+	1.54	7.59E-113	8.81E-111
modification-dependent protein catabolic process (GO:0019941)	567	359	233.43	+	1.54	1.87E-26	5.44E-25
organic cyclic compound metabolic process (GO:1901360)	2899	1835	1193.48	+	1.54	6.21E-134	1.24E-131
import into nucleus (GO:0051170)	76	48	31.29	+	1.53	1.51E-04	4.53E-04
establishment of protein localization to vacuole (GO:0072666)	38	24	15.64	+	1.53	7.69E-03	1.57E-02
protein localization to vacuole (GO:0072665)	38	24	15.64	+	1.53	7.69E-03	1.56E-02
protein import into nucleus (GO:0006606)	76	48	31.29	+	1.53	1.51E-04	4.52E-04
cellular aromatic compound metabolic process (GO:0006725)	2809	1772	1156.43	+	1.53	5.26E-127	8.15E-125
cellular response to oxidative stress (GO:0034599)	46	29	18.94	+	1.53	3.89E-03	8.77E-03
regulation of GTPase activity (GO:0043087)	46	29	18.94	+	1.53	3.89E-03	8.76E-03
regulation of protein stability (GO:0031647)	46	29	18.94	+	1.53	3.89E-03	8.75E-03
protein localization to cell periphery (GO:1990778)	35	22	14.41	+	1.53	1.49E-02	2.82E-02
protein-RNA complex organization (GO:0071826)	209	131	86.04	+	1.52	4.90E-10	3.54E-09
porphyrin-containing compound metabolic process (GO:0006778)	32	20	13.17	+	1.52	1.85E-02	3.44E-02
mRNA metabolic process (GO:0016071)	536	335	220.66	+	1.52	2.66E-23	6.27E-22
establishment of localization in cell (GO:0051649)	696	432	286.53	+	1.51	8.55E-29	2.71E-27
mitochondrial gene expression (GO:0140053)	50	31	20.58	+	1.51	3.66E-03	8.35E-03
autophagy of mitochondrion (GO:0000422)	50	31	20.58	+	1.51	3.66E-03	8.33E-03
organic hydroxy compound biosynthetic process (GO:1901617)	118	73	48.58	+	1.50	8.10E-06	3.06E-05
cellular component assembly (GO:0022607)	673	416	277.07	+	1.50	2.45E-27	7.43E-26
regulation of organelle organization (GO:0033043)	123	76	50.64	+	1.50	5.23E-06	2.03E-05
activation of GTPase activity (GO:0090630)	34	21	14.00	+	1.50	2.20E-02	3.99E-02
aromatic amino acid family biosynthetic process (GO:0009073)	47	29	19.35	+	1.50	4.76E-03	1.05E-02
cellular component biogenesis (GO:0044085)	1174	724	483.32	+	1.50	3.85E-46	1.68E-44
positive regulation of catalytic activity (GO:0043085)	60	37	24.70	+	1.50	1.51E-03	3.70E-03
endomembrane system organization (GO:0010256)	138	85	56.81	+	1.50	1.46E-06	6.18E-06
phospholipid biosynthetic process (GO:0008654)	143	88	58.87	+	1.49	1.37E-06	5.89E-06
regulation of multicellular organismal process (GO:0051239)	39	24	16.06	+	1.49	1.36E-02	2.59E-02
organic substance biosynthetic process (GO:1901576)	3501	2151	1441.32	+	1.49	4.31E-137	1.20E-134
cellular biosynthetic process (GO:0044249)	3403	2082	1400.97	+	1.49	8.15E-130	1.42E-127
isoprenoid biosynthetic process (GO:0008299)	85	52	34.99	+	1.49	2.35E-04	6.80E-04
lipid biosynthetic process (GO:0008610)	409	250	168.38	+	1.48	4.46E-16	5.60E-15
intracellular transport (GO:0046907)	653	399	268.83	+	1.48	7.44E-25	2.03E-23
heterocycle biosynthetic process (GO:0018130)	622	380	256.07	+	1.48	9.73E-24	2.42E-22
amide metabolic process (GO:0043603)	646	394	265.95	+	1.48	2.34E-24	6.04E-23
mitochondrion organization (GO:0007005)	161	98	66.28	+	1.48	5.06E-07	2.33E-06
small molecule biosynthetic process (GO:0044283)	447	271	184.02	+	1.47	1.03E-16	1.41E-15
localization within membrane (GO:0051668)	208	126	85.63	+	1.47	1.76E-08	9.81E-08
pyrimidine-containing compound metabolic process (GO:0072527)	48	29	19.76	+	1.47	7.97E-03	1.61E-02
protein acylation (GO:0043543)	58	35	23.88	+	1.47	4.61E-03	1.03E-02
glycerophospholipid biosynthetic process (GO:0046474)	121	73	49.81	+	1.47	2.59E-05	9.01E-05
biosynthetic process (GO:0009058)	3573	2155	1470.96	+	1.47	3.84E-125	5.35E-123
organelle assembly (GO:0070925)	287	173	118.15	+	1.46	7.55E-11	6.01E-10
regulation of mRNA metabolic process (GO:1903311)	118	71	48.58	+	1.46	4.64E-05	1.52E-04
negative regulation of gene expression (GO:0010629)	228	137	93.86	+	1.46	1.01E-08	5.86E-08
regulation of proteolysis (GO:0030162)	40	24	16.47	+	1.46	2.32E-02	4.19E-02
monocarboxylic acid biosynthetic process (GO:0072330)	75	45	30.88	+	1.46	1.36E-03	3.36E-03
peptide metabolic process (GO:0006518)	542	325	223.13	+	1.46	1.05E-18	1.76E-17
nucleobase-containing compound biosynthetic process (GO:0034654)	519	310	213.67	+	1.45	1.57E-17	2.23E-16
protein-DNA complex organization (GO:0071824)	221	132	90.98	+	1.45	3.07E-08	1.65E-07
DNA replication (GO:0006260)	201	120	82.75	+	1.45	1.23E-07	6.20E-07
carboxylic acid biosynthetic process (GO:0046394)	320	191	131.74	+	1.45	2.46E-11	2.08E-10
organic acid biosynthetic process (GO:0016053)	320	191	131.74	+	1.45	2.46E-11	2.07E-10
mitochondrial RNA metabolic process (GO:0000959)	47	28	19.35	+	1.45	1.16E-02	2.29E-02
cell cycle process (GO:0022402)	430	256	177.03	+	1.45	1.84E-14	2.10E-13
positive regulation of GTPase activity (GO:0043547)	42	25	17.29	+	1.45	1.83E-02	3.41E-02
establishment of protein localization to membrane (GO:0090150)	133	79	54.75	+	1.44	2.81E-05	9.72E-05
regulation of DNA metabolic process (GO:0051052)	59	35	24.29	+	1.44	5.29E-03	1.12E-02
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	44	26	18.11	+	1.44	2.06E-02	3.78E-02
protein palmitoylation (GO:0018345)	44	26	18.11	+	1.44	2.06E-02	3.77E-02
regulatory ncRNA-mediated gene silencing (GO:0031047)	44	26	18.11	+	1.44	2.06E-02	3.77E-02
positive regulation of molecular function (GO:0044093)	66	39	27.17	+	1.44	3.77E-03	8.54E-03
amino acid biosynthetic process (GO:0008652)	173	102	71.22	+	1.43	2.78E-06	1.14E-05
cellular localization (GO:0051641)	1118	658	460.27	+	1.43	3.37E-33	1.24E-31
lipid localization (GO:0010876)	102	60	41.99	+	1.43	3.80E-04	1.04E-03
vesicle organization (GO:0016050)	177	104	72.87	+	1.43	2.56E-06	1.05E-05
organelle disassembly (GO:1903008)	80	47	32.94	+	1.43	1.96E-03	4.65E-03
spindle organization (GO:0007051)	109	64	44.87	+	1.43	2.75E-04	7.87E-04
protein polyubiquitination (GO:0000209)	138	81	56.81	+	1.43	4.00E-05	1.34E-04
negative regulation of biosynthetic process (GO:0009890)	280	164	115.27	+	1.42	5.21E-09	3.16E-08
negative regulation of cellular biosynthetic process (GO:0031327)	280	164	115.27	+	1.42	5.21E-09	3.14E-08
negative regulation of nitrogen compound metabolic process (GO:0051172)	123	72	50.64	+	1.42	1.07E-04	3.30E-04
dicarboxylic acid metabolic process (GO:0043648)	94	55	38.70	+	1.42	7.42E-04	1.94E-03
carboxylic acid catabolic process (GO:0046395)	159	93	65.46	+	1.42	1.14E-05	4.18E-05
organic acid catabolic process (GO:0016054)	159	93	65.46	+	1.42	1.14E-05	4.17E-05
regulation of cellular component organization (GO:0051128)	137	80	56.40	+	1.42	5.55E-05	1.79E-04
transcription by RNA polymerase III (GO:0006383)	48	28	19.76	+	1.42	1.85E-02	3.43E-02
secretion by cell (GO:0032940)	120	70	49.40	+	1.42	1.80E-04	5.34E-04
secretion (GO:0046903)	120	70	49.40	+	1.42	1.80E-04	5.32E-04
negative regulation of metabolic process (GO:0009892)	324	189	133.39	+	1.42	4.83E-10	3.53E-09
negative regulation of cellular metabolic process (GO:0031324)	324	189	133.39	+	1.42	4.83E-10	3.51E-09
negative regulation of cellular process (GO:0048523)	425	247	174.97	+	1.41	1.92E-12	1.79E-11
non-membrane-bounded organelle assembly (GO:0140694)	205	119	84.40	+	1.41	1.53E-06	6.47E-06
negative regulation of biological process (GO:0048519)	429	249	176.61	+	1.41	1.76E-12	1.64E-11
negative regulation of macromolecule biosynthetic process (GO:0010558)	276	160	113.63	+	1.41	1.88E-08	1.03E-07
vesicle-mediated transport (GO:0016192)	751	435	309.18	+	1.41	1.86E-20	3.36E-19
glycerolipid biosynthetic process (GO:0045017)	144	83	59.28	+	1.40	8.41E-05	2.65E-04
organic cyclic compound biosynthetic process (GO:1901362)	727	419	299.30	+	1.40	3.32E-19	5.79E-18
amino acid metabolic process (GO:0006520)	469	270	193.08	+	1.40	9.94E-13	9.90E-12
negative regulation of macromolecule metabolic process (GO:0010605)	318	183	130.92	+	1.40	4.20E-09	2.56E-08
establishment of protein localization (GO:0045184)	592	340	243.72	+	1.40	1.25E-15	1.56E-14
purine ribonucleotide biosynthetic process (GO:0009152)	108	62	44.46	+	1.39	8.02E-04	2.09E-03
alpha-amino acid biosynthetic process (GO:1901607)	190	109	78.22	+	1.39	7.97E-06	3.02E-05
ribonucleoside triphosphate biosynthetic process (GO:0009201)	49	28	20.17	+	1.39	2.86E-02	5.09E-02
protein-containing complex organization (GO:0043933)	689	393	283.65	+	1.39	4.25E-17	5.98E-16
protein modification by small protein removal (GO:0070646)	128	73	52.70	+	1.39	3.05E-04	8.63E-04
proteolysis (GO:0006508)	924	526	380.40	+	1.38	3.43E-22	7.14E-21
ribosomal large subunit biogenesis (GO:0042273)	143	81	58.87	+	1.38	2.29E-04	6.65E-04
macromolecule localization (GO:0033036)	934	529	384.52	+	1.38	1.12E-21	2.27E-20
DNA damage response (GO:0006974)	417	235	171.67	+	1.37	4.40E-10	3.23E-09
biogenic amine metabolic process (GO:0006576)	71	40	29.23	+	1.37	1.10E-02	2.18E-02
macromolecule catabolic process (GO:0009057)	999	562	411.28	+	1.37	3.94E-22	8.08E-21
regulation of hydrolase activity (GO:0051336)	64	36	26.35	+	1.37	1.57E-02	2.96E-02
alpha-amino acid metabolic process (GO:1901605)	314	176	129.27	+	1.36	1.36E-07	6.79E-07
protein catabolic process (GO:0030163)	782	438	321.94	+	1.36	4.41E-17	6.15E-16
DNA metabolic process (GO:0006259)	586	328	241.25	+	1.36	5.01E-13	5.06E-12
proteolysis involved in protein catabolic process (GO:0051603)	777	434	319.88	+	1.36	1.23E-16	1.64E-15
fatty acid biosynthetic process (GO:0006633)	61	34	25.11	+	1.35	2.62E-02	4.69E-02
methylation (GO:0032259)	201	112	82.75	+	1.35	3.80E-05	1.28E-04
DNA repair (GO:0006281)	403	224	165.91	+	1.35	5.61E-09	3.37E-08
cellular component organization or biogenesis (GO:0071840)	2519	1400	1037.04	+	1.35	3.78E-50	1.88E-48
vesicle fusion (GO:0006906)	92	51	37.88	+	1.35	7.68E-03	1.57E-02
regulation of catalytic activity (GO:0050790)	204	113	83.98	+	1.35	4.45E-05	1.48E-04
ribose phosphate biosynthetic process (GO:0046390)	141	78	58.05	+	1.34	7.85E-04	2.05E-03
aromatic compound biosynthetic process (GO:0019438)	686	379	282.42	+	1.34	8.57E-14	9.18E-13
post-transcriptional regulation of gene expression (GO:0010608)	158	87	65.05	+	1.34	4.70E-04	1.26E-03
protein localization to membrane (GO:0072657)	171	94	70.40	+	1.34	3.19E-04	9.01E-04
