




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	large_families_high_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Molecular Function	Glycine max - REFLIST (55853)	large_families_high_stringency.txt (21135)	large_families_high_stringency.txt (expected)	large_families_high_stringency.txt (over/under)	large_families_high_stringency.txt (fold Enrichment)	large_families_high_stringency.txt (raw P-value)	large_families_high_stringency.txt (FDR)
DNA replication origin binding (GO:0003688)	13	0	4.92	-	 < 0.01	2.82E-03	5.98E-03
adenosine deaminase activity (GO:0004000)	9	0	3.41	-	 < 0.01	1.64E-02	2.95E-02
DNA helicase activity (GO:0003678)	44	0	16.65	-	 < 0.01	1.18E-09	6.04E-09
single-stranded DNA helicase activity (GO:0017116)	14	0	5.30	-	 < 0.01	1.62E-03	3.56E-03
pre-mRNA binding (GO:0036002)	23	0	8.70	-	 < 0.01	3.20E-05	9.59E-05
rRNA (adenine) methyltransferase activity (GO:0016433)	8	0	3.03	-	 < 0.01	2.82E-02	4.76E-02
protein tyrosine phosphatase activity (GO:0004725)	9	0	3.41	-	 < 0.01	1.64E-02	2.94E-02
sulfurtransferase activity (GO:0016783)	26	0	9.84	-	 < 0.01	5.55E-06	1.85E-05
snRNA binding (GO:0017069)	30	0	11.35	-	 < 0.01	1.05E-06	3.83E-06
3'-5' DNA helicase activity (GO:0043138)	19	0	7.19	-	 < 0.01	1.65E-04	4.24E-04
structural constituent of nuclear pore (GO:0017056)	20	0	7.57	-	 < 0.01	9.42E-05	2.57E-04
nucleoside transmembrane transporter activity (GO:0005337)	9	0	3.41	-	 < 0.01	1.64E-02	2.93E-02
RNA polymerase III activity (GO:0001056)	21	0	7.95	-	 < 0.01	5.49E-05	1.60E-04
RNA polymerase II activity (GO:0001055)	25	0	9.46	-	 < 0.01	9.75E-06	3.17E-05
TBP-class protein binding (GO:0017025)	14	0	5.30	-	 < 0.01	1.62E-03	3.54E-03
SUMO ligase activity (GO:0061665)	10	0	3.78	-	 < 0.01	1.70E-02	3.02E-02
voltage-gated monoatomic cation channel activity (GO:0022843)	10	0	3.78	-	 < 0.01	1.70E-02	3.01E-02
NADH dehydrogenase activity (GO:0003954)	26	0	9.84	-	 < 0.01	5.55E-06	1.84E-05
