




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	PANTHER version 19.0 Released 2024-06-20
Analyzed List:	large_families_high_stringency.txt (Glycine max)
Reference List:	Glycine max (all genes in database)
Test Type:	FISHER
Correction:	FDR
PANTHER GO-Slim Biological Process	Glycine max - REFLIST (55853)	large_families_high_stringency.txt (21135)	large_families_high_stringency.txt (expected)	large_families_high_stringency.txt (over/under)	large_families_high_stringency.txt (fold Enrichment)	large_families_high_stringency.txt (raw P-value)	large_families_high_stringency.txt (FDR)
regulation of nucleobase-containing compound metabolic process (GO:0019219)	1691	938	639.88	+	1.47	3.23E-50	1.25E-48
microtubule-based movement (GO:0007018)	58	32	21.95	+	1.46	9.43E-03	2.09E-02
carbohydrate derivative catabolic process (GO:1901136)	138	76	52.22	+	1.46	4.54E-05	1.79E-04
regulation of gene expression (GO:0010468)	2009	1105	760.21	+	1.45	1.23E-56	8.99E-55
regulation of macromolecule biosynthetic process (GO:0010556)	2013	1105	761.73	+	1.45	4.94E-56	3.44E-54
regulation of kinase activity (GO:0043549)	82	45	31.03	+	1.45	1.95E-03	5.09E-03
regulation of protein kinase activity (GO:0045859)	82	45	31.03	+	1.45	1.95E-03	5.08E-03
response to temperature stimulus (GO:0009266)	179	98	67.73	+	1.45	4.50E-06	2.03E-05
epigenetic regulation of gene expression (GO:0040029)	75	41	28.38	+	1.44	3.93E-03	9.51E-03
regulation of biosynthetic process (GO:0009889)	2036	1112	770.43	+	1.44	6.32E-55	4.19E-53
regulation of cellular biosynthetic process (GO:0031326)	2036	1112	770.43	+	1.44	6.32E-55	4.00E-53
multicellular organismal process (GO:0032501)	218	119	82.49	+	1.44	5.48E-07	2.88E-06
biological regulation (GO:0065007)	3690	2014	1396.31	+	1.44	6.09E-101	9.43E-99
sulfur compound metabolic process (GO:0006790)	244	133	92.33	+	1.44	1.36E-07	7.94E-07
inorganic ion homeostasis (GO:0098771)	140	76	52.98	+	1.43	7.88E-05	2.82E-04
ATP metabolic process (GO:0046034)	129	70	48.81	+	1.43	1.73E-04	5.50E-04
chaperone-mediated protein folding (GO:0061077)	94	51	35.57	+	1.43	1.32E-03	3.55E-03
regulation of nitrogen compound metabolic process (GO:0051171)	1902	1031	719.72	+	1.43	5.46E-49	2.00E-47
cellular response to stimulus (GO:0051716)	1524	825	576.69	+	1.43	6.01E-39	1.90E-37
cellular homeostasis (GO:0019725)	244	132	92.33	+	1.43	2.80E-07	1.58E-06
receptor-mediated endocytosis (GO:0006898)	76	41	28.76	+	1.43	4.42E-03	1.06E-02
regulation of primary metabolic process (GO:0080090)	1917	1031	725.40	+	1.42	6.48E-47	2.26E-45
regulation of macromolecule metabolic process (GO:0060255)	2226	1197	842.33	+	1.42	1.71E-54	1.04E-52
pyridine-containing compound metabolic process (GO:0072524)	162	87	61.30	+	1.42	4.43E-05	1.75E-04
monoatomic cation homeostasis (GO:0055080)	231	124	87.41	+	1.42	1.14E-06	5.67E-06
nucleotide-excision repair (GO:0006289)	97	52	36.71	+	1.42	1.62E-03	4.27E-03
regulation of transferase activity (GO:0051338)	84	45	31.79	+	1.42	4.57E-03	1.09E-02
purine ribonucleoside triphosphate metabolic process (GO:0009205)	131	70	49.57	+	1.41	2.91E-04	9.09E-04
regulation of cellular metabolic process (GO:0031323)	2229	1190	843.46	+	1.41	5.53E-52	2.49E-50
nucleoside triphosphate metabolic process (GO:0009141)	147	78	55.63	+	1.40	2.25E-04	7.09E-04
maintenance of location (GO:0051235)	87	46	32.92	+	1.40	5.37E-03	1.26E-02
multicellular organism development (GO:0007275)	210	111	79.46	+	1.40	1.18E-05	5.02E-05
regulation of metabolic process (GO:0019222)	2282	1206	863.52	+	1.40	8.55E-50	3.22E-48
cytoskeleton organization (GO:0007010)	369	195	139.63	+	1.40	4.73E-09	3.49E-08
microtubule cytoskeleton organization involved in mitosis (GO:1902850)	55	29	20.81	+	1.39	2.59E-02	4.96E-02
mitotic spindle organization (GO:0007052)	55	29	20.81	+	1.39	2.59E-02	4.95E-02
positive regulation of transcription by RNA polymerase II (GO:0045944)	122	64	46.17	+	1.39	1.04E-03	2.88E-03
phosphatidylinositol metabolic process (GO:0046488)	143	75	54.11	+	1.39	5.07E-04	1.53E-03
macromolecule modification (GO:0043412)	2558	1340	967.96	+	1.38	1.37E-52	6.39E-51
ribonucleotide metabolic process (GO:0009259)	258	135	97.63	+	1.38	2.31E-06	1.09E-05
purine nucleoside triphosphate metabolic process (GO:0009144)	134	70	50.71	+	1.38	8.95E-04	2.55E-03
cellular response to heat (GO:0034605)	85	44	32.16	+	1.37	9.79E-03	2.17E-02
regulation of pH (GO:0006885)	89	46	33.68	+	1.37	8.45E-03	1.90E-02
organelle localization (GO:0051640)	156	80	59.03	+	1.36	6.67E-04	1.95E-03
small molecule catabolic process (GO:0044282)	246	125	93.09	+	1.34	4.01E-05	1.59E-04
purine ribonucleotide metabolic process (GO:0009150)	233	118	88.17	+	1.34	7.94E-05	2.84E-04
phospholipid metabolic process (GO:0006644)	244	123	92.33	+	1.33	6.72E-05	2.43E-04
positive regulation of DNA-templated transcription (GO:0045893)	276	138	104.44	+	1.32	4.83E-05	1.89E-04
positive regulation of RNA biosynthetic process (GO:1902680)	276	138	104.44	+	1.32	4.83E-05	1.89E-04
protein metabolic process (GO:0019538)	3650	1821	1381.17	+	1.32	6.83E-53	3.40E-51
monoatomic cation transport (GO:0006812)	256	127	96.87	+	1.31	1.31E-04	4.42E-04
export from cell (GO:0140352)	140	69	52.98	+	1.30	6.63E-03	1.53E-02
post-embryonic development (GO:0009791)	126	62	47.68	+	1.30	9.87E-03	2.16E-02
mitotic cell cycle (GO:0000278)	354	174	133.96	+	1.30	1.66E-05	6.97E-05
chemical homeostasis (GO:0048878)	330	162	124.87	+	1.30	3.08E-05	1.24E-04
sterol metabolic process (GO:0016125)	100	49	37.84	+	1.29	2.32E-02	4.49E-02
ribose phosphate metabolic process (GO:0019693)	276	135	104.44	+	1.29	1.81E-04	5.75E-04
microtubule-based process (GO:0007017)	309	151	116.93	+	1.29	7.76E-05	2.79E-04
response to stress (GO:0006950)	1373	668	519.55	+	1.29	1.85E-16	3.00E-15
monoatomic ion transmembrane transport (GO:0034220)	181	88	68.49	+	1.28	3.43E-03	8.35E-03
monoatomic cation transmembrane transport (GO:0098655)	173	84	65.46	+	1.28	4.57E-03	1.09E-02
transport (GO:0006810)	2394	1162	905.90	+	1.28	1.50E-27	3.61E-26
positive regulation of macromolecule biosynthetic process (GO:0010557)	324	157	122.60	+	1.28	1.12E-04	3.85E-04
positive regulation of biosynthetic process (GO:0009891)	324	157	122.60	+	1.28	1.12E-04	3.84E-04
positive regulation of cellular biosynthetic process (GO:0031328)	324	157	122.60	+	1.28	1.12E-04	3.83E-04
cellular lipid catabolic process (GO:0044242)	120	58	45.41	+	1.28	2.33E-02	4.50E-02
lipid catabolic process (GO:0016042)	120	58	45.41	+	1.28	2.33E-02	4.49E-02
organonitrogen compound metabolic process (GO:1901564)	4706	2274	1780.77	+	1.28	8.91E-53	4.28E-51
monoatomic ion transport (GO:0006811)	272	131	102.93	+	1.27	5.47E-04	1.62E-03
L-amino acid metabolic process (GO:0170033)	221	106	83.63	+	1.27	2.19E-03	5.70E-03
localization (GO:0051179)	2791	1335	1056.13	+	1.26	2.81E-28	6.87E-27
metal ion transport (GO:0030001)	210	100	79.46	+	1.26	4.25E-03	1.02E-02
mitotic cell cycle process (GO:1903047)	282	134	106.71	+	1.26	1.07E-03	2.96E-03
biological_process (GO:0008150)	15251	7170	5771.04	+	1.24	8.11E-163	1.13E-159
establishment of localization (GO:0051234)	2545	1193	963.04	+	1.24	2.06E-21	3.98E-20
reproductive process (GO:0022414)	220	103	83.25	+	1.24	6.56E-03	1.52E-02
reproduction (GO:0000003)	220	103	83.25	+	1.24	6.56E-03	1.52E-02
cellular component disassembly (GO:0022411)	167	78	63.19	+	1.23	2.03E-02	3.97E-02
protein folding (GO:0006457)	365	170	138.12	+	1.23	6.37E-04	1.87E-03
positive regulation of RNA metabolic process (GO:0051254)	349	162	132.06	+	1.23	1.07E-03	2.96E-03
organic substance transport (GO:0071702)	923	428	349.27	+	1.23	1.06E-07	6.42E-07
protein ubiquitination (GO:0016567)	453	210	171.42	+	1.23	2.13E-04	6.74E-04
intracellular protein transport (GO:0006886)	378	175	143.04	+	1.22	7.86E-04	2.26E-03
homeostatic process (GO:0042592)	374	172	141.52	+	1.22	1.31E-03	3.52E-03
inorganic ion transmembrane transport (GO:0098660)	255	116	96.49	+	1.20	1.38E-02	2.94E-02
inorganic cation transmembrane transport (GO:0098662)	231	105	87.41	+	1.20	2.06E-02	4.01E-02
organic hydroxy compound metabolic process (GO:1901615)	251	114	94.98	+	1.20	1.56E-02	3.28E-02
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	358	162	135.47	+	1.20	4.41E-03	1.06E-02
cellular process (GO:0009987)	10779	4870	4078.82	+	1.19	1.96E-67	1.82E-65
chromosome organization (GO:0051276)	304	137	115.03	+	1.19	1.07E-02	2.32E-02
positive regulation of nitrogen compound metabolic process (GO:0051173)	422	190	159.69	+	1.19	2.49E-03	6.38E-03
nitrogen compound transport (GO:0071705)	806	361	304.99	+	1.18	5.57E-05	2.14E-04
monocarboxylic acid metabolic process (GO:0032787)	332	147	125.63	+	1.17	1.70E-02	3.39E-02
lipid metabolic process (GO:0006629)	783	346	296.29	+	1.17	2.72E-04	8.52E-04
positive regulation of metabolic process (GO:0009893)	435	192	164.61	+	1.17	7.32E-03	1.68E-02
positive regulation of macromolecule metabolic process (GO:0010604)	433	190	163.85	+	1.16	9.70E-03	2.15E-02
positive regulation of cellular metabolic process (GO:0031325)	402	176	152.12	+	1.16	1.52E-02	3.21E-02
positive regulation of cellular process (GO:0048522)	451	197	170.66	+	1.15	1.12E-02	2.42E-02
cell cycle (GO:0007049)	546	238	206.61	+	1.15	5.94E-03	1.39E-02
cellular lipid metabolic process (GO:0044255)	660	286	249.75	+	1.15	3.64E-03	8.85E-03
positive regulation of biological process (GO:0048518)	480	208	181.63	+	1.15	1.39E-02	2.95E-02
organic acid metabolic process (GO:0006082)	752	325	284.56	+	1.14	2.44E-03	6.31E-03
oxoacid metabolic process (GO:0043436)	752	325	284.56	+	1.14	2.44E-03	6.30E-03
carboxylic acid metabolic process (GO:0019752)	752	325	284.56	+	1.14	2.44E-03	6.29E-03
organic substance catabolic process (GO:1901575)	1474	637	557.77	+	1.14	1.90E-05	7.87E-05
organophosphate metabolic process (GO:0019637)	670	289	253.53	+	1.14	5.00E-03	1.19E-02
small molecule metabolic process (GO:0044281)	1328	569	502.52	+	1.13	1.56E-04	5.21E-04
metabolic process (GO:0008152)	8527	3642	3226.65	+	1.13	1.33E-23	2.73E-22
organic substance metabolic process (GO:0071704)	8044	3427	3043.88	+	1.13	3.04E-21	5.73E-20
cellular metabolic process (GO:0044237)	6671	2822	2524.33	+	1.12	1.79E-15	2.58E-14
catabolic process (GO:0009056)	1616	680	611.50	+	1.11	3.99E-04	1.21E-03
primary metabolic process (GO:0044238)	7504	3134	2839.54	+	1.10	7.06E-14	9.37E-13
organonitrogen compound catabolic process (GO:1901565)	1045	436	395.43	+	1.10	9.97E-03	2.18E-02
macromolecule metabolic process (GO:0043170)	5907	2406	2235.23	+	1.08	1.41E-06	6.84E-06
nitrogen compound metabolic process (GO:0006807)	6706	2711	2537.58	+	1.07	3.64E-06	1.66E-05
Unclassified (UNCLASSIFIED)	40602	13965	15363.96	-	.91	8.11E-163	5.65E-160
amide metabolic process (GO:0043603)	646	216	244.45	-	.88	2.01E-02	3.92E-02
biosynthetic process (GO:0009058)	3573	1186	1352.04	-	.88	2.55E-09	1.96E-08
establishment of localization in cell (GO:0051649)	696	227	263.37	-	.86	4.08E-03	9.86E-03
mRNA metabolic process (GO:0016071)	536	174	202.82	-	.86	1.07E-02	2.32E-02
cellular biosynthetic process (GO:0044249)	3403	1098	1287.71	-	.85	3.08E-12	3.28E-11
organic substance biosynthetic process (GO:1901576)	3501	1121	1324.79	-	.85	1.31E-13	1.68E-12
modification-dependent protein catabolic process (GO:0019941)	567	180	214.56	-	.84	2.65E-03	6.73E-03
mRNA processing (GO:0006397)	358	113	135.47	-	.83	1.39E-02	2.95E-02
nucleobase-containing compound biosynthetic process (GO:0034654)	519	162	196.39	-	.82	1.69E-03	4.45E-03
cellular component biogenesis (GO:0044085)	1174	365	444.25	-	.82	1.11E-06	5.51E-06
modification-dependent macromolecule catabolic process (GO:0043632)	580	180	219.47	-	.82	6.63E-04	1.94E-03
DNA metabolic process (GO:0006259)	586	180	221.74	-	.81	3.17E-04	9.82E-04
RNA splicing (GO:0008380)	340	103	128.66	-	.80	4.17E-03	1.00E-02
macromolecule biosynthetic process (GO:0009059)	2447	738	925.95	-	.80	4.82E-16	7.54E-15
protein-RNA complex organization (GO:0071826)	209	63	79.09	-	.80	2.21E-02	4.30E-02
heterocycle biosynthetic process (GO:0018130)	622	185	235.37	-	.79	2.57E-05	1.05E-04
cellular component assembly (GO:0022607)	673	200	254.67	-	.79	1.04E-05	4.45E-05
ubiquitin-dependent protein catabolic process (GO:0006511)	550	163	208.12	-	.78	5.63E-05	2.15E-04
protein-RNA complex assembly (GO:0022618)	203	60	76.82	-	.78	1.65E-02	3.34E-02
cellular nitrogen compound biosynthetic process (GO:0044271)	1101	318	416.62	-	.76	3.13E-10	2.72E-09
proteasomal protein catabolic process (GO:0010498)	419	121	158.55	-	.76	1.19E-04	4.01E-04
DNA repair (GO:0006281)	403	116	152.50	-	.76	1.61E-04	5.29E-04
organonitrogen compound biosynthetic process (GO:1901566)	1172	336	443.49	-	.76	2.86E-11	2.81E-10
cellular aromatic compound metabolic process (GO:0006725)	2809	799	1062.94	-	.75	7.22E-27	1.65E-25
organic cyclic compound metabolic process (GO:1901360)	2899	819	1096.99	-	.75	9.13E-29	2.40E-27
fatty acid metabolic process (GO:0006631)	154	43	58.27	-	.74	1.23E-02	2.64E-02
DNA damage response (GO:0006974)	417	116	157.79	-	.74	1.94E-05	7.99E-05
translation (GO:0006412)	418	115	158.17	-	.73	9.87E-06	4.22E-05
organophosphate biosynthetic process (GO:0090407)	359	98	135.85	-	.72	3.11E-05	1.25E-04
heterocycle metabolic process (GO:0046483)	2731	741	1033.42	-	.72	1.25E-33	3.54E-32
peptide biosynthetic process (GO:0043043)	424	115	160.44	-	.72	3.46E-06	1.58E-05
RNA catabolic process (GO:0006401)	133	36	50.33	-	.72	1.19E-02	2.56E-02
mRNA catabolic process (GO:0006402)	111	30	42.00	-	.71	1.86E-02	3.69E-02
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	326	87	123.36	-	.71	2.68E-05	1.09E-04
carbohydrate derivative biosynthetic process (GO:1901137)	319	85	120.71	-	.70	2.84E-05	1.15E-04
gene expression (GO:0010467)	2016	532	762.86	-	.70	2.29E-28	5.80E-27
Golgi vesicle transport (GO:0048193)	266	70	100.66	-	.70	8.01E-05	2.86E-04
cellular nitrogen compound metabolic process (GO:0034641)	3056	804	1156.40	-	.70	1.46E-43	4.96E-42
DNA-templated transcription (GO:0006351)	226	59	85.52	-	.69	2.52E-04	7.93E-04
protein-containing complex assembly (GO:0065003)	422	110	159.69	-	.69	3.21E-07	1.80E-06
RNA biosynthetic process (GO:0032774)	230	59	87.03	-	.68	9.78E-05	3.39E-04
nucleobase-containing compound metabolic process (GO:0006139)	2543	650	962.28	-	.68	5.60E-41	1.82E-39
mitochondrion organization (GO:0007005)	161	40	60.92	-	.66	5.91E-04	1.74E-03
nucleotide biosynthetic process (GO:0009165)	190	47	71.90	-	.65	1.64E-04	5.39E-04
nucleoside phosphate biosynthetic process (GO:1901293)	190	47	71.90	-	.65	1.64E-04	5.38E-04
amide biosynthetic process (GO:0043604)	485	119	183.53	-	.65	5.61E-10	4.77E-09
regulation of catabolic process (GO:0009894)	118	28	44.65	-	.63	1.60E-03	4.26E-03
DNA-templated transcription initiation (GO:0006352)	93	22	35.19	-	.63	5.11E-03	1.20E-02
ribosome biogenesis (GO:0042254)	445	104	168.39	-	.62	9.18E-11	8.36E-10
autophagosome assembly (GO:0000045)	73	17	27.62	-	.62	1.08E-02	2.34E-02
aspartate family amino acid metabolic process (GO:0009066)	57	13	21.57	-	.60	1.98E-02	3.89E-02
endosomal transport (GO:0016197)	97	22	36.71	-	.60	2.20E-03	5.70E-03
protein-DNA complex assembly (GO:0065004)	62	14	23.46	-	.60	1.26E-02	2.70E-02
nucleic acid metabolic process (GO:0090304)	2079	463	786.70	-	.59	5.64E-54	3.03E-52
regulation of cell cycle process (GO:0010564)	104	23	39.35	-	.58	7.72E-04	2.22E-03
maturation of LSU-rRNA (GO:0000470)	50	11	18.92	-	.58	1.98E-02	3.90E-02
negative regulation of catalytic activity (GO:0043086)	50	11	18.92	-	.58	1.98E-02	3.89E-02
negative regulation of molecular function (GO:0044092)	50	11	18.92	-	.58	1.98E-02	3.89E-02
protein targeting (GO:0006605)	214	47	80.98	-	.58	8.74E-07	4.40E-06
liposaccharide metabolic process (GO:1903509)	55	12	20.81	-	.58	1.72E-02	3.42E-02
glycolipid metabolic process (GO:0006664)	55	12	20.81	-	.58	1.72E-02	3.41E-02
glycolipid biosynthetic process (GO:0009247)	55	12	20.81	-	.58	1.72E-02	3.41E-02
ribonucleoprotein complex biogenesis (GO:0022613)	549	119	207.74	-	.57	4.29E-16	6.79E-15
protein localization to organelle (GO:0033365)	358	77	135.47	-	.57	3.50E-11	3.39E-10
fatty acid catabolic process (GO:0009062)	47	10	17.78	-	.56	2.30E-02	4.45E-02
translational initiation (GO:0006413)	72	15	27.25	-	.55	2.29E-03	5.94E-03
vacuole organization (GO:0007033)	83	17	31.41	-	.54	9.19E-04	2.61E-03
ribonucleoside triphosphate biosynthetic process (GO:0009201)	49	10	18.54	-	.54	1.18E-02	2.54E-02
regulation of response to stress (GO:0080134)	54	11	20.43	-	.54	7.39E-03	1.70E-02
purine nucleotide biosynthetic process (GO:0006164)	148	30	56.00	-	.54	5.46E-06	2.42E-05
nucleoside triphosphate biosynthetic process (GO:0009142)	50	10	18.92	-	.53	8.42E-03	1.90E-02
regulation of mitotic cell cycle (GO:0007346)	80	16	30.27	-	.53	7.48E-04	2.17E-03
intra-Golgi vesicle-mediated transport (GO:0006891)	55	11	20.81	-	.53	5.32E-03	1.25E-02
purine-containing compound biosynthetic process (GO:0072522)	152	30	57.52	-	.52	2.06E-06	9.82E-06
ribosomal small subunit biogenesis (GO:0042274)	142	28	53.73	-	.52	5.08E-06	2.27E-05
membrane lipid biosynthetic process (GO:0046467)	97	19	36.71	-	.52	1.39E-04	4.65E-04
regulation of cellular catabolic process (GO:0031329)	87	17	32.92	-	.52	3.42E-04	1.04E-03
nuclear chromosome segregation (GO:0098813)	67	13	25.35	-	.51	1.49E-03	3.98E-03
nuclear transport (GO:0051169)	150	29	56.76	-	.51	1.18E-06	5.83E-06
nucleocytoplasmic transport (GO:0006913)	150	29	56.76	-	.51	1.18E-06	5.80E-06
regulation of cell cycle phase transition (GO:1901987)	89	17	33.68	-	.50	1.72E-04	5.50E-04
protein processing (GO:0016485)	58	11	21.95	-	.50	2.63E-03	6.74E-03
RNA processing (GO:0006396)	882	166	333.75	-	.50	6.90E-35	2.00E-33
lipid homeostasis (GO:0055088)	59	11	22.33	-	.49	1.85E-03	4.87E-03
RNA metabolic process (GO:0016070)	1518	283	574.42	-	.49	1.30E-60	1.13E-58
cytoplasmic microtubule organization (GO:0031122)	33	6	12.49	-	.48	1.94E-02	3.83E-02
negative regulation of protein metabolic process (GO:0051248)	33	6	12.49	-	.48	1.94E-02	3.82E-02
energy derivation by oxidation of organic compounds (GO:0015980)	116	21	43.89	-	.48	5.07E-06	2.27E-05
membrane lipid metabolic process (GO:0006643)	107	19	40.49	-	.47	8.55E-06	3.70E-05
establishment of protein localization to organelle (GO:0072594)	282	50	106.71	-	.47	2.49E-13	2.96E-12
tetrapyrrole metabolic process (GO:0033013)	34	6	12.87	-	.47	1.99E-02	3.90E-02
monocarboxylic acid catabolic process (GO:0072329)	57	10	21.57	-	.46	1.44E-03	3.85E-03
sphingolipid biosynthetic process (GO:0030148)	42	7	15.89	-	.44	3.86E-03	9.36E-03
branched-chain amino acid metabolic process (GO:0009081)	54	9	20.43	-	.44	1.06E-03	2.94E-03
plastid organization (GO:0009657)	84	14	31.79	-	.44	3.76E-05	1.49E-04
glycoprotein metabolic process (GO:0009100)	97	16	36.71	-	.44	7.49E-06	3.25E-05
late endosome to vacuole transport via multivesicular body sorting pathway (GO:0032511)	31	5	11.73	-	.43	1.47E-02	3.10E-02
mitotic spindle assembly (GO:0090307)	25	4	9.46	-	.42	2.35E-02	4.53E-02
protein localization to chloroplast (GO:0072598)	25	4	9.46	-	.42	2.35E-02	4.53E-02
response to unfolded protein (GO:0006986)	25	4	9.46	-	.42	2.35E-02	4.52E-02
endoplasmic reticulum unfolded protein response (GO:0030968)	25	4	9.46	-	.42	2.35E-02	4.51E-02
cellular response to unfolded protein (GO:0034620)	25	4	9.46	-	.42	2.35E-02	4.51E-02
chloroplast organization (GO:0009658)	75	12	28.38	-	.42	6.24E-05	2.27E-04
intracellular protein transmembrane transport (GO:0065002)	38	6	14.38	-	.42	4.13E-03	9.96E-03
spindle assembly (GO:0051225)	77	12	29.14	-	.41	2.80E-05	1.14E-04
vacuolar transport (GO:0007034)	90	14	34.06	-	.41	5.51E-06	2.44E-05
carbohydrate derivative transport (GO:1901264)	46	7	17.41	-	.40	1.18E-03	3.22E-03
chromosome segregation (GO:0007059)	139	21	52.60	-	.40	6.12E-09	4.47E-08
iron-sulfur cluster assembly (GO:0016226)	27	4	10.22	-	.39	1.56E-02	3.28E-02
maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000463)	28	4	10.60	-	.38	1.02E-02	2.22E-02
mRNA modification (GO:0016556)	42	6	15.89	-	.38	1.21E-03	3.29E-03
ncRNA transcription (GO:0098781)	29	4	10.97	-	.36	6.68E-03	1.54E-02
maturation of 5.8S rRNA (GO:0000460)	51	7	19.30	-	.36	2.30E-04	7.24E-04
regulation of mitotic cell cycle phase transition (GO:1901990)	66	9	24.97	-	.36	1.94E-05	7.99E-05
rRNA methylation (GO:0031167)	37	5	14.00	-	.36	1.87E-03	4.89E-03
sphingolipid metabolic process (GO:0006665)	52	7	19.68	-	.36	1.51E-04	5.06E-04
protein glycosylation (GO:0006486)	75	10	28.38	-	.35	3.74E-06	1.70E-05
macromolecule glycosylation (GO:0043413)	75	10	28.38	-	.35	3.74E-06	1.69E-05
glycoprotein biosynthetic process (GO:0009101)	76	10	28.76	-	.35	2.48E-06	1.16E-05
post-Golgi vesicle-mediated transport (GO:0006892)	54	7	20.43	-	.34	1.03E-04	3.57E-04
maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000462)	63	8	23.84	-	.34	1.25E-05	5.29E-05
multivesicular body sorting pathway (GO:0071985)	40	5	15.14	-	.33	5.21E-04	1.57E-03
endosome transport via multivesicular body sorting pathway (GO:0032509)	40	5	15.14	-	.33	5.21E-04	1.56E-03
fatty acid beta-oxidation (GO:0006635)	40	5	15.14	-	.33	5.21E-04	1.56E-03
protein targeting to ER (GO:0045047)	49	6	18.54	-	.32	9.55E-05	3.34E-04
establishment of protein localization to endoplasmic reticulum (GO:0072599)	49	6	18.54	-	.32	9.55E-05	3.33E-04
organelle fission (GO:0048285)	116	14	43.89	-	.32	9.77E-10	7.92E-09
RNA 3'-end processing (GO:0031123)	83	10	31.41	-	.32	2.99E-07	1.68E-06
DNA replication checkpoint signaling (GO:0000076)	25	3	9.46	-	.32	6.60E-03	1.52E-02
rRNA metabolic process (GO:0016072)	318	38	120.33	-	.32	4.99E-25	1.10E-23
rRNA processing (GO:0006364)	287	34	108.60	-	.31	6.00E-23	1.21E-21
glycosylation (GO:0070085)	85	10	32.16	-	.31	1.22E-07	7.19E-07
aerobic respiration (GO:0009060)	104	12	39.35	-	.30	2.91E-09	2.22E-08
cellular response to topologically incorrect protein (GO:0035967)	35	4	13.24	-	.30	7.49E-04	2.17E-03
response to topologically incorrect protein (GO:0035966)	35	4	13.24	-	.30	7.49E-04	2.17E-03
late endosome to vacuole transport (GO:0045324)	44	5	16.65	-	.30	1.36E-04	4.57E-04
protein N-linked glycosylation (GO:0006487)	62	7	23.46	-	.30	4.71E-06	2.12E-05
nuclear export (GO:0051168)	89	10	33.68	-	.30	3.31E-08	2.15E-07
cellular respiration (GO:0045333)	107	12	40.49	-	.30	1.26E-09	1.01E-08
amide transport (GO:0042886)	18	2	6.81	-	.29	2.56E-02	4.90E-02
ncRNA processing (GO:0034470)	446	47	168.77	-	.28	7.16E-39	2.22E-37
protein transmembrane transport (GO:0071806)	98	10	37.08	-	.27	9.13E-10	7.44E-09
tRNA processing (GO:0008033)	130	13	49.19	-	.26	1.07E-12	1.19E-11
maturation of SSU-rRNA (GO:0030490)	80	8	30.27	-	.26	4.01E-08	2.53E-07
tRNA modification (GO:0006400)	102	10	38.60	-	.26	2.28E-10	2.02E-09
sister chromatid cohesion (GO:0007062)	41	4	15.51	-	.26	7.63E-05	2.75E-04
macromolecule methylation (GO:0043414)	124	12	46.92	-	.26	2.28E-12	2.48E-11
ncRNA metabolic process (GO:0034660)	574	55	217.20	-	.25	7.57E-54	3.91E-52
protein targeting to mitochondrion (GO:0006626)	74	7	28.00	-	.25	4.98E-08	3.10E-07
DNA integrity checkpoint signaling (GO:0031570)	32	3	12.11	-	.25	4.23E-04	1.28E-03
RNA methylation (GO:0001510)	86	8	32.54	-	.25	3.95E-09	2.93E-08
protein localization to mitochondrion (GO:0070585)	77	7	29.14	-	.24	2.01E-08	1.35E-07
establishment of protein localization to mitochondrion (GO:0072655)	77	7	29.14	-	.24	2.01E-08	1.34E-07
tRNA metabolic process (GO:0006399)	248	22	93.84	-	.23	3.02E-25	6.80E-24
RNA modification (GO:0009451)	375	33	141.90	-	.23	8.38E-38	2.54E-36
rRNA modification (GO:0000154)	60	5	22.70	-	.22	3.23E-07	1.80E-06
Golgi to plasma membrane transport (GO:0006893)	36	3	13.62	-	.22	9.81E-05	3.39E-04
mitotic nuclear division (GO:0140014)	50	4	18.92	-	.21	2.70E-06	1.26E-05
mitotic sister chromatid segregation (GO:0000070)	50	4	18.92	-	.21	2.70E-06	1.25E-05
sister chromatid segregation (GO:0000819)	52	4	19.68	-	.20	1.04E-06	5.19E-06
vesicle-mediated transport to the plasma membrane (GO:0098876)	43	3	16.27	-	.18	5.32E-06	2.37E-05
nucleobase-containing compound transport (GO:0015931)	103	7	38.98	-	.18	4.90E-13	5.74E-12
transcription initiation at RNA polymerase II promoter (GO:0006367)	54	3	20.43	-	.15	5.68E-08	3.49E-07
cell cycle checkpoint signaling (GO:0000075)	56	3	21.19	-	.14	3.56E-08	2.27E-07
ATP biosynthetic process (GO:0006754)	39	2	14.76	-	.14	3.40E-06	1.56E-05
proton motive force-driven ATP synthesis (GO:0015986)	39	2	14.76	-	.14	3.40E-06	1.56E-05
negative regulation of cell cycle (GO:0045786)	59	3	22.33	-	.13	7.27E-09	5.17E-08
negative regulation of cell cycle process (GO:0010948)	59	3	22.33	-	.13	7.27E-09	5.14E-08
negative regulation of cell cycle phase transition (GO:1901988)	59	3	22.33	-	.13	7.27E-09	5.12E-08
purine nucleoside triphosphate biosynthetic process (GO:0009145)	41	2	15.51	-	.13	2.09E-06	9.90E-06
purine ribonucleoside triphosphate biosynthetic process (GO:0009206)	41	2	15.51	-	.13	2.09E-06	9.87E-06
nuclear division (GO:0000280)	86	4	32.54	-	.12	7.56E-13	8.71E-12
