Gene1	Gene2	Gene1_name	Gene2_name	Family_ID	Chromosome	Genes_Apart	Distance_bp	Strand1	Strand2	Same_Orientation
KRG98601	KRG98602	GLYMA_18G083800	GLYMA_18G083900	33	18	1	5186	-	-	True
KRG98601	KRG98604	GLYMA_18G083800	GLYMA_18G084000	33	18	2	10339	-	-	True
KRG98601	KRG98610	GLYMA_18G083800	GLYMA_18G084300	33	18	5	49242	-	-	True
KRG98601	KRG98611	GLYMA_18G083800	GLYMA_18G084400	33	18	6	66618	-	-	True
KRG98602	KRG98604	GLYMA_18G083900	GLYMA_18G084000	33	18	1	5153	-	-	True
KRG98602	KRG98610	GLYMA_18G083900	GLYMA_18G084300	33	18	4	44056	-	-	True
KRG98602	KRG98611	GLYMA_18G083900	GLYMA_18G084400	33	18	5	61432	-	-	True
KRG98604	KRG98610	GLYMA_18G084000	GLYMA_18G084300	33	18	3	38903	-	-	True
KRG98604	KRG98611	GLYMA_18G084000	GLYMA_18G084400	33	18	4	56279	-	-	True
KRG98610	KRG98611	GLYMA_18G084300	GLYMA_18G084400	33	18	1	17376	-	-	True
KRG98632	KRG98633	GLYMA_18G086200	GLYMA_18G086300	33	18	1	28105	+	+	True
KRG98632	KRG98634	GLYMA_18G086200	GLYMA_18G0864002	33	18	2	36015	+	+	True
KRG98632	KRG98635	GLYMA_18G086200	GLYMA_18G0864001	33	18	3	36735	+	+	True
KRG98632	KRG98637	GLYMA_18G086200	GLYMA_18G086600	33	18	5	74870	+	+	True
KRG98632	KRG98640	GLYMA_18G086200	GLYMA_18G086900	33	18	8	95389	+	+	True
KRG98632	KRG98641	GLYMA_18G086200	GLYMA_18G087000	33	18	9	107391	+	+	True
KRG98633	KRG98634	GLYMA_18G086300	GLYMA_18G0864002	33	18	1	7910	+	+	True
KRG98633	KRG98635	GLYMA_18G086300	GLYMA_18G0864001	33	18	2	8630	+	+	True
KRG98633	KRG98637	GLYMA_18G086300	GLYMA_18G086600	33	18	4	46765	+	+	True
KRG98633	KRG98640	GLYMA_18G086300	GLYMA_18G086900	33	18	7	67284	+	+	True
KRG98633	KRG98641	GLYMA_18G086300	GLYMA_18G087000	33	18	8	79286	+	+	True
KRG98634	KRG98635	GLYMA_18G0864002	GLYMA_18G0864001	33	18	1	720	+	+	True
KRG98634	KRG98637	GLYMA_18G0864002	GLYMA_18G086600	33	18	3	38855	+	+	True
KRG98634	KRG98640	GLYMA_18G0864002	GLYMA_18G086900	33	18	6	59374	+	+	True
KRG98634	KRG98641	GLYMA_18G0864002	GLYMA_18G087000	33	18	7	71376	+	+	True
KRG98634	KRG98644	GLYMA_18G0864002	GLYMA_18G087300	33	18	10	80741	+	+	True
KRG98635	KRG98637	GLYMA_18G0864001	GLYMA_18G086600	33	18	2	38135	+	+	True
KRG98635	KRG98640	GLYMA_18G0864001	GLYMA_18G086900	33	18	5	58654	+	+	True
KRG98635	KRG98641	GLYMA_18G0864001	GLYMA_18G087000	33	18	6	70656	+	+	True
KRG98635	KRG98644	GLYMA_18G0864001	GLYMA_18G087300	33	18	9	80021	+	+	True
KRG98635	KRG98645	GLYMA_18G0864001	GLYMA_18G087400	33	18	10	89662	+	+	True
KRG98637	KRG98640	GLYMA_18G086600	GLYMA_18G086900	33	18	3	20519	+	+	True
KRG98637	KRG98641	GLYMA_18G086600	GLYMA_18G087000	33	18	4	32521	+	+	True
KRG98637	KRG98644	GLYMA_18G086600	GLYMA_18G087300	33	18	7	41886	+	+	True
KRG98637	KRG98645	GLYMA_18G086600	GLYMA_18G087400	33	18	8	51527	+	+	True
KRG98640	KRG98641	GLYMA_18G086900	GLYMA_18G087000	33	18	1	12002	+	+	True
KRG98640	KRG98644	GLYMA_18G086900	GLYMA_18G087300	33	18	4	21367	+	+	True
KRG98640	KRG98645	GLYMA_18G086900	GLYMA_18G087400	33	18	5	31008	+	+	True
KRG98640	KRG98648	GLYMA_18G086900	GLYMA_18G087700	33	18	8	51139	+	+	True
KRG98640	KRG98649	GLYMA_18G086900	GLYMA_18G087800	33	18	9	68304	+	+	True
KRG98640	KRG98650	GLYMA_18G086900	GLYMA_18G087900	33	18	10	81269	+	+	True
KRG98641	KRG98644	GLYMA_18G087000	GLYMA_18G087300	33	18	3	9365	+	+	True
KRG98641	KRG98645	GLYMA_18G087000	GLYMA_18G087400	33	18	4	19006	+	+	True
KRG98641	KRG98648	GLYMA_18G087000	GLYMA_18G087700	33	18	7	39137	+	+	True
KRG98641	KRG98649	GLYMA_18G087000	GLYMA_18G087800	33	18	8	56302	+	+	True
KRG98641	KRG98650	GLYMA_18G087000	GLYMA_18G087900	33	18	9	69267	+	+	True
KRG98641	KRG98651	GLYMA_18G087000	GLYMA_18G088000	33	18	10	87429	+	+	True
KRG98644	KRG98645	GLYMA_18G087300	GLYMA_18G087400	33	18	1	9641	+	+	True
KRG98644	KRG98648	GLYMA_18G087300	GLYMA_18G087700	33	18	4	29772	+	+	True
KRG98644	KRG98649	GLYMA_18G087300	GLYMA_18G087800	33	18	5	46937	+	+	True
KRG98644	KRG98650	GLYMA_18G087300	GLYMA_18G087900	33	18	6	59902	+	+	True
KRG98644	KRG98651	GLYMA_18G087300	GLYMA_18G088000	33	18	7	78064	+	+	True
KRG98644	KRG98654	GLYMA_18G087300	GLYMA_18G088300	33	18	10	105406	+	+	True
KRG98645	KRG98648	GLYMA_18G087400	GLYMA_18G087700	33	18	3	20131	+	+	True
KRG98645	KRG98649	GLYMA_18G087400	GLYMA_18G087800	33	18	4	37296	+	+	True
KRG98645	KRG98650	GLYMA_18G087400	GLYMA_18G087900	33	18	5	50261	+	+	True
KRG98645	KRG98651	GLYMA_18G087400	GLYMA_18G088000	33	18	6	68423	+	+	True
KRG98645	KRG98654	GLYMA_18G087400	GLYMA_18G088300	33	18	9	95765	+	+	True
KRG98645	KRG98656	GLYMA_18G087400	GLYMA_18G088400	33	18	10	114299	+	+	True
KRG98648	KRG98649	GLYMA_18G087700	GLYMA_18G087800	33	18	1	17165	+	+	True
KRG98648	KRG98650	GLYMA_18G087700	GLYMA_18G087900	33	18	2	30130	+	+	True
KRG98648	KRG98651	GLYMA_18G087700	GLYMA_18G088000	33	18	3	48292	+	+	True
KRG98648	KRG98654	GLYMA_18G087700	GLYMA_18G088300	33	18	6	75634	+	+	True
KRG98648	KRG98656	GLYMA_18G087700	GLYMA_18G088400	33	18	7	94168	+	+	True
KRG98648	KRG98657	GLYMA_18G087700	GLYMA_18G088500	33	18	8	101455	+	+	True
KRG98648	KRG98659	GLYMA_18G087700	GLYMA_18G088700	33	18	10	125525	+	+	True
KRG98649	KRG98650	GLYMA_18G087800	GLYMA_18G087900	33	18	1	12965	+	+	True
KRG98649	KRG98651	GLYMA_18G087800	GLYMA_18G088000	33	18	2	31127	+	+	True
KRG98649	KRG98654	GLYMA_18G087800	GLYMA_18G088300	33	18	5	58469	+	+	True
KRG98649	KRG98656	GLYMA_18G087800	GLYMA_18G088400	33	18	6	77003	+	+	True
KRG98649	KRG98657	GLYMA_18G087800	GLYMA_18G088500	33	18	7	84290	+	+	True
KRG98649	KRG98659	GLYMA_18G087800	GLYMA_18G088700	33	18	9	108360	+	+	True
KRG98650	KRG98651	GLYMA_18G087900	GLYMA_18G088000	33	18	1	18162	+	+	True
KRG98650	KRG98654	GLYMA_18G087900	GLYMA_18G088300	33	18	4	45504	+	+	True
KRG98650	KRG98656	GLYMA_18G087900	GLYMA_18G088400	33	18	5	64038	+	+	True
KRG98650	KRG98657	GLYMA_18G087900	GLYMA_18G088500	33	18	6	71325	+	+	True
KRG98650	KRG98659	GLYMA_18G087900	GLYMA_18G088700	33	18	8	95395	+	+	True
KRG98651	KRG98654	GLYMA_18G088000	GLYMA_18G088300	33	18	3	27342	+	+	True
KRG98651	KRG98656	GLYMA_18G088000	GLYMA_18G088400	33	18	4	45876	+	+	True
KRG98651	KRG98657	GLYMA_18G088000	GLYMA_18G088500	33	18	5	53163	+	+	True
KRG98651	KRG98659	GLYMA_18G088000	GLYMA_18G088700	33	18	7	77233	+	+	True
KRG98654	KRG98656	GLYMA_18G088300	GLYMA_18G088400	33	18	1	18534	+	+	True
KRG98654	KRG98657	GLYMA_18G088300	GLYMA_18G088500	33	18	2	25821	+	+	True
KRG98654	KRG98659	GLYMA_18G088300	GLYMA_18G088700	33	18	4	49891	+	+	True
KRG98656	KRG98657	GLYMA_18G088400	GLYMA_18G088500	33	18	1	7287	+	+	True
KRG98656	KRG98659	GLYMA_18G088400	GLYMA_18G088700	33	18	3	31357	+	+	True
KRG98657	KRG98659	GLYMA_18G088500	GLYMA_18G088700	33	18	2	24070	+	+	True
KRG98700	KRG98701	GLYMA_18G091700	GLYMA_18G091800	33	18	1	4326	+	+	True
KRG98889	KRG98890	GLYMA_18G105100	GLYMA_18G105200	33	18	1	13711	+	+	True
KRG98889	KRG98891	GLYMA_18G105100	GLYMA_18G105300	33	18	2	16106	+	+	True
KRG98890	KRG98891	GLYMA_18G105200	GLYMA_18G105300	33	18	1	2395	+	+	True
KRG89694	KRG89705	GLYMA_20G041300	GLYMA_20G042400	33	20	9	373348	-	-	True
KRG89705	KRG89708	GLYMA_20G042400	GLYMA_20G042700	33	20	3	58171	-	+	False
KRH23521	KRH23522	GLYMA_13G361800	GLYMA_13G361900	34	13	1	1259	+	-	False
KRH23521	KRH23526	GLYMA_13G361800	GLYMA_13G362000	34	13	2	11327	+	-	False
KRH23522	KRH23526	GLYMA_13G361900	GLYMA_13G362000	34	13	1	10068	-	-	True
KRH09795	KRH09796	GLYMA_15G011800	GLYMA_15G011900	34	15	1	10723	+	+	True
KRH09795	KRH09797	GLYMA_15G011800	GLYMA_15G012000	34	15	2	32449	+	+	True
KRH09796	KRH09797	GLYMA_15G011900	GLYMA_15G012000	34	15	1	21726	+	+	True
KRH02447	KRH02448	GLYMA_17G039200	GLYMA_17G039300	34	17	1	14862	+	-	False
KRH05086	KRH05088	GLYMA_17G206100	GLYMA_17G206300	34	17	2	118031	-	-	True
KRG95752	KRG95761	GLYMA_19G169200	GLYMA_19G169300	34	19	1	29022	-	-	True
KRG95752	KRG95762	GLYMA_19G169200	GLYMA_19G169400	34	19	2	34291	-	-	True
KRG95761	KRG95762	GLYMA_19G169300	GLYMA_19G169400	34	19	1	5269	-	-	True
KRH67471	KRH67473	GLYMA_03G168000	GLYMA_03G168100	34	3	1	10543	-	-	True
KRH67471	KRH67476	GLYMA_03G168000	GLYMA_03G168200	34	3	2	22754	-	-	True
KRH67473	KRH67476	GLYMA_03G168100	GLYMA_03G168200	34	3	1	12211	-	-	True
KRH67874	KRH67875	GLYMA_03G192500	GLYMA_03G192600	34	3	1	3906	-	-	True
KRH67874	KRH67876	GLYMA_03G192500	GLYMA_03G1927002	34	3	2	12046	-	-	True
KRH67874	KRH67877	GLYMA_03G192500	GLYMA_03G1927001	34	3	3	18297	-	-	True
KRH67874	KRH67878	GLYMA_03G192500	GLYMA_03G192800	34	3	4	25789	-	-	True
KRH67875	KRH67876	GLYMA_03G192600	GLYMA_03G1927002	34	3	1	8140	-	-	True
KRH67875	KRH67877	GLYMA_03G192600	GLYMA_03G1927001	34	3	2	14391	-	-	True
KRH67875	KRH67878	GLYMA_03G192600	GLYMA_03G192800	34	3	3	21883	-	-	True
KRH67876	KRH67877	GLYMA_03G1927002	GLYMA_03G1927001	34	3	1	6251	-	-	True
KRH67876	KRH67878	GLYMA_03G1927002	GLYMA_03G192800	34	3	2	13743	-	-	True
KRH67877	KRH67878	GLYMA_03G1927001	GLYMA_03G192800	34	3	1	7492	-	-	True
KRH47215	KRH47220	GLYMA_07G015800	GLYMA_07G016200	34	7	4	47059	-	-	True
KRH50641	KRH50642	GLYMA_07G233900	GLYMA_07G234000	34	7	1	9779	+	-	False
KRH70820	KRH70821	GLYMA_02G1121002	GLYMA_02G1121001	35	2	1	4780	-	-	True
KRH59457	KRH59476	GLYMA_05G184500	GLYMA_05G185400	35	5	9	90010	-	+	False
KRH43323	KRH43340	GLYMA_08G142400	GLYMA_08G143400	35	8	9	98304	-	+	False
KRH08599	KRH08607	GLYMA_16G160200	GLYMA_16G160700	36	16	4	16675	+	+	True
KRH08625	KRH08627	GLYMA_16G161900	GLYMA_16G162000	36	16	1	4218	+	+	True
KRH08625	KRH08628	GLYMA_16G161900	GLYMA_16G162100	36	16	2	10151	+	+	True
KRH08625	KRH08635	GLYMA_16G161900	GLYMA_16G162700	36	16	8	48524	+	-	False
KRH08625	KRH08636	GLYMA_16G161900	GLYMA_16G162800	36	16	9	58293	+	-	False
KRH08627	KRH08628	GLYMA_16G162000	GLYMA_16G162100	36	16	1	5933	+	+	True
KRH08627	KRH08635	GLYMA_16G162000	GLYMA_16G162700	36	16	7	44306	+	-	False
KRH08627	KRH08636	GLYMA_16G162000	GLYMA_16G162800	36	16	8	54075	+	-	False
KRH08627	KRH08639	GLYMA_16G162000	GLYMA_16G163100	36	16	10	67425	+	-	False
KRH08628	KRH08635	GLYMA_16G162100	GLYMA_16G162700	36	16	6	38373	+	-	False
KRH08628	KRH08636	GLYMA_16G162100	GLYMA_16G162800	36	16	7	48142	+	-	False
KRH08628	KRH08639	GLYMA_16G162100	GLYMA_16G163100	36	16	9	61492	+	-	False
KRH08635	KRH08636	GLYMA_16G162700	GLYMA_16G162800	36	16	1	9769	-	-	True
KRH08635	KRH08639	GLYMA_16G162700	GLYMA_16G163100	36	16	3	23119	-	-	True
KRH08636	KRH08639	GLYMA_16G162800	GLYMA_16G163100	36	16	2	13350	-	-	True
KRH09082	KRH09084	GLYMA_16G194800	GLYMA_16G195000	36	16	1	6561	-	-	True
KRH09082	KRH09085	GLYMA_16G194800	GLYMA_16G195100	36	16	2	11309	-	-	True
KRH09082	KRH09095	GLYMA_16G194800	GLYMA_16G195700	36	16	7	48393	-	+	False
KRH09082	KRH09097	GLYMA_16G194800	GLYMA_16G195900	36	16	9	57691	-	+	False
KRH09084	KRH09085	GLYMA_16G195000	GLYMA_16G195100	36	16	1	4748	-	-	True
KRH09084	KRH09095	GLYMA_16G195000	GLYMA_16G195700	36	16	6	41832	-	+	False
KRH09084	KRH09097	GLYMA_16G195000	GLYMA_16G195900	36	16	8	51130	-	+	False
KRH09085	KRH09095	GLYMA_16G195100	GLYMA_16G195700	36	16	5	37084	-	+	False
KRH09085	KRH09097	GLYMA_16G195100	GLYMA_16G195900	36	16	7	46382	-	+	False
KRH09095	KRH09097	GLYMA_16G195700	GLYMA_16G195900	36	16	2	9298	+	+	True
KRH48603	KRH48615	GLYMA_07G100300	GLYMA_07G101300	36	7	8	94748	+	+	True
KRH48615	KRH48630	GLYMA_07G101300	GLYMA_07G101900	36	7	6	92524	+	-	False
KRH48615	KRH48631	GLYMA_07G101300	GLYMA_07G102000	36	7	7	112727	+	+	True
KRH48630	KRH48631	GLYMA_07G101900	GLYMA_07G102000	36	7	1	20203	-	+	False
KRH39054	KRH39056	GLYMA_09G174800	GLYMA_09G175000	36	9	2	8034	+	+	True
KRH39054	KRH39057	GLYMA_09G174800	GLYMA_09G175100	36	9	3	19490	+	+	True
KRH39054	KRH39058	GLYMA_09G174800	GLYMA_09G175200	36	9	4	32737	+	+	True
KRH39054	KRH39059	GLYMA_09G174800	GLYMA_09G175300	36	9	5	36789	+	+	True
KRH39054	KRH39060	GLYMA_09G174800	GLYMA_09G175400	36	9	6	37397	+	+	True
KRH39054	KRH39063	GLYMA_09G174800	GLYMA_09G175700	36	9	8	48599	+	+	True
KRH39054	KRH39064	GLYMA_09G174800	GLYMA_09G175800	36	9	9	69172	+	+	True
KRH39056	KRH39057	GLYMA_09G175000	GLYMA_09G175100	36	9	1	11456	+	+	True
KRH39056	KRH39058	GLYMA_09G175000	GLYMA_09G175200	36	9	2	24703	+	+	True
KRH39056	KRH39059	GLYMA_09G175000	GLYMA_09G175300	36	9	3	28755	+	+	True
KRH39056	KRH39060	GLYMA_09G175000	GLYMA_09G175400	36	9	4	29363	+	+	True
KRH39056	KRH39063	GLYMA_09G175000	GLYMA_09G175700	36	9	6	40565	+	+	True
KRH39056	KRH39064	GLYMA_09G175000	GLYMA_09G175800	36	9	7	61138	+	+	True
KRH39056	KRH39066	GLYMA_09G175000	GLYMA_09G176000	36	9	9	118440	+	+	True
KRH39057	KRH39058	GLYMA_09G175100	GLYMA_09G175200	36	9	1	13247	+	+	True
KRH39057	KRH39059	GLYMA_09G175100	GLYMA_09G175300	36	9	2	17299	+	+	True
KRH39057	KRH39060	GLYMA_09G175100	GLYMA_09G175400	36	9	3	17907	+	+	True
KRH39057	KRH39063	GLYMA_09G175100	GLYMA_09G175700	36	9	5	29109	+	+	True
KRH39057	KRH39064	GLYMA_09G175100	GLYMA_09G175800	36	9	6	49682	+	+	True
KRH39057	KRH39066	GLYMA_09G175100	GLYMA_09G176000	36	9	8	106984	+	+	True
KRH39058	KRH39059	GLYMA_09G175200	GLYMA_09G175300	36	9	1	4052	+	+	True
KRH39058	KRH39060	GLYMA_09G175200	GLYMA_09G175400	36	9	2	4660	+	+	True
KRH39058	KRH39063	GLYMA_09G175200	GLYMA_09G175700	36	9	4	15862	+	+	True
KRH39058	KRH39064	GLYMA_09G175200	GLYMA_09G175800	36	9	5	36435	+	+	True
KRH39058	KRH39066	GLYMA_09G175200	GLYMA_09G176000	36	9	7	93737	+	+	True
KRH39059	KRH39060	GLYMA_09G175300	GLYMA_09G175400	36	9	1	608	+	+	True
KRH39059	KRH39063	GLYMA_09G175300	GLYMA_09G175700	36	9	3	11810	+	+	True
KRH39059	KRH39064	GLYMA_09G175300	GLYMA_09G175800	36	9	4	32383	+	+	True
KRH39059	KRH39066	GLYMA_09G175300	GLYMA_09G176000	36	9	6	89685	+	+	True
KRH39059	KRH39072	GLYMA_09G175300	GLYMA_09G176400	36	9	10	134832	+	-	False
KRH39060	KRH39063	GLYMA_09G175400	GLYMA_09G175700	36	9	2	11202	+	+	True
KRH39060	KRH39064	GLYMA_09G175400	GLYMA_09G175800	36	9	3	31775	+	+	True
KRH39060	KRH39066	GLYMA_09G175400	GLYMA_09G176000	36	9	5	89077	+	+	True
KRH39060	KRH39072	GLYMA_09G175400	GLYMA_09G176400	36	9	9	134224	+	-	False
KRH39060	KRH39074	GLYMA_09G175400	GLYMA_09G176600	36	9	10	146329	+	-	False
KRH39063	KRH39064	GLYMA_09G175700	GLYMA_09G175800	36	9	1	20573	+	+	True
KRH39063	KRH39066	GLYMA_09G175700	GLYMA_09G176000	36	9	3	77875	+	+	True
KRH39063	KRH39072	GLYMA_09G175700	GLYMA_09G176400	36	9	7	123022	+	-	False
KRH39063	KRH39074	GLYMA_09G175700	GLYMA_09G176600	36	9	8	135127	+	-	False
KRH39063	KRH39076	GLYMA_09G175700	GLYMA_09G176800	36	9	10	143592	+	-	False
KRH39064	KRH39066	GLYMA_09G175800	GLYMA_09G176000	36	9	2	57302	+	+	True
KRH39064	KRH39072	GLYMA_09G175800	GLYMA_09G176400	36	9	6	102449	+	-	False
KRH39064	KRH39074	GLYMA_09G175800	GLYMA_09G176600	36	9	7	114554	+	-	False
KRH39064	KRH39076	GLYMA_09G175800	GLYMA_09G176800	36	9	9	123019	+	-	False
KRH39066	KRH39072	GLYMA_09G176000	GLYMA_09G176400	36	9	4	45147	+	-	False
KRH39066	KRH39074	GLYMA_09G176000	GLYMA_09G176600	36	9	5	57252	+	-	False
KRH39066	KRH39076	GLYMA_09G176000	GLYMA_09G176800	36	9	7	65717	+	-	False
KRH39072	KRH39074	GLYMA_09G176400	GLYMA_09G176600	36	9	1	12105	-	-	True
KRH39072	KRH39076	GLYMA_09G176400	GLYMA_09G176800	36	9	3	20570	-	-	True
KRH39074	KRH39076	GLYMA_09G176600	GLYMA_09G176800	36	9	2	8465	-	-	True
KRH39076	KRH39104	GLYMA_09G176800	GLYMA_09G177900	36	9	10	139156	-	+	False
KRH39104	KRH39112	GLYMA_09G177900	GLYMA_09G178300	36	9	4	63624	+	-	False
KRH39104	KRH39113	GLYMA_09G177900	GLYMA_09G178400	36	9	5	72722	+	-	False
KRH39112	KRH39113	GLYMA_09G178300	GLYMA_09G178400	36	9	1	9098	-	-	True
KRH33573	KRH33580	GLYMA_10G132700	GLYMA_10G133300	37	10	6	72054	-	-	True
KRH33573	KRH33581	GLYMA_10G132700	GLYMA_10G133400	37	10	7	77637	-	+	False
KRH33580	KRH33581	GLYMA_10G133300	GLYMA_10G133400	37	10	1	5583	-	+	False
KRH70210	KRH70211	GLYMA_02G075400	GLYMA_02G075500	37	2	1	4079	-	+	False
KRH48616	KRH48618	GLYMA_07G1014002	GLYMA_07G1014001	38	7	1	4387	+	+	True
KRH22924	KRH22925	GLYMA_13G3280002	GLYMA_13G3280001	39	13	1	3992	+	+	True
KRH58707	KRH58711	GLYMA_05G1438002	GLYMA_05G1438001	39	5	1	2519	-	-	True
KRH49135	KRH49136	GLYMA_07G134800	GLYMA_07G134900	39	7	1	6998	+	+	True
KRH63824	KRH63826	GLYMA_04G1993002	GLYMA_04G1993001	41	4	1	2051	+	+	True
KRH76648	KRH76650	GLYMA_01G165400	GLYMA_01G165600	42	1	1	19314	-	-	True
KRH76648	KRH76653	GLYMA_01G165400	GLYMA_01G165800	42	1	3	37463	-	-	True
KRH76650	KRH76653	GLYMA_01G165600	GLYMA_01G165800	42	1	2	18149	-	-	True
KRH32571	KRH32576	GLYMA_10G060300	GLYMA_10G060800	42	10	3	40342	+	+	True
KRH32571	KRH32577	GLYMA_10G060300	GLYMA_10G060900	42	10	4	91437	+	+	True
KRH32571	KRH32578	GLYMA_10G060300	GLYMA_10G061000	42	10	5	98864	+	-	False
KRH32571	KRH32579	GLYMA_10G060300	GLYMA_10G061100	42	10	6	136696	+	+	True
KRH32571	KRH32585	GLYMA_10G060300	GLYMA_10G061700	42	10	10	157476	+	-	False
KRH32576	KRH32577	GLYMA_10G060800	GLYMA_10G060900	42	10	1	51095	+	+	True
KRH32576	KRH32578	GLYMA_10G060800	GLYMA_10G061000	42	10	2	58522	+	-	False
KRH32576	KRH32579	GLYMA_10G060800	GLYMA_10G061100	42	10	3	96354	+	+	True
KRH32576	KRH32585	GLYMA_10G060800	GLYMA_10G061700	42	10	7	117134	+	-	False
KRH32576	KRH32586	GLYMA_10G060800	GLYMA_10G061800	42	10	8	133164	+	-	False
KRH32577	KRH32578	GLYMA_10G060900	GLYMA_10G061000	42	10	1	7427	+	-	False
KRH32577	KRH32579	GLYMA_10G060900	GLYMA_10G061100	42	10	2	45259	+	+	True
KRH32577	KRH32585	GLYMA_10G060900	GLYMA_10G061700	42	10	6	66039	+	-	False
KRH32577	KRH32586	GLYMA_10G060900	GLYMA_10G061800	42	10	7	82069	+	-	False
KRH32578	KRH32579	GLYMA_10G061000	GLYMA_10G061100	42	10	1	37832	-	+	False
KRH32578	KRH32585	GLYMA_10G061000	GLYMA_10G061700	42	10	5	58612	-	-	True
KRH32578	KRH32586	GLYMA_10G061000	GLYMA_10G061800	42	10	6	74642	-	-	True
KRH32579	KRH32585	GLYMA_10G061100	GLYMA_10G061700	42	10	4	20780	+	-	False
KRH32579	KRH32586	GLYMA_10G061100	GLYMA_10G061800	42	10	5	36810	+	-	False
KRH32585	KRH32586	GLYMA_10G061700	GLYMA_10G061800	42	10	1	16030	-	-	True
KRH28805	KRH28806	GLYMA_11G077700	GLYMA_11G077800	42	11	1	13177	+	+	True
KRH29266	KRH29267	GLYMA_11G106100	GLYMA_11G106200	42	11	1	7278	+	+	True
KRH24286	KRH24288	GLYMA_12G031000	GLYMA_12G031200	42	12	1	9593	+	+	True
KRH15257	KRH15258	GLYMA_14G077300	GLYMA_14G077400	42	14	1	14651	-	-	True
KRH08057	KRH08059	GLYMA_16G126900	GLYMA_16G127100	42	16	2	63998	-	-	True
KRH05961	KRH05962	GLYMA_17G258500	GLYMA_17G258600	42	17	1	14652	+	+	True
KRG99655	KRG99656	GLYMA_18G160600	GLYMA_18G160700	43	18	1	69506	-	-	True
KRG99655	KRG99657	GLYMA_18G160600	GLYMA_18G160800	43	18	2	80114	-	-	True
KRG99655	KRG99660	GLYMA_18G160600	GLYMA_18G161100	43	18	5	183132	-	+	False
KRG99655	KRG99663	GLYMA_18G160600	GLYMA_18G161400	43	18	8	228501	-	-	True
KRG99655	KRG99664	GLYMA_18G160600	GLYMA_18G161500	43	18	9	229534	-	-	True
KRG99655	KRG99665	GLYMA_18G160600	GLYMA_18G161600	43	18	10	243220	-	-	True
KRG99656	KRG99657	GLYMA_18G160700	GLYMA_18G160800	43	18	1	10608	-	-	True
KRG99656	KRG99660	GLYMA_18G160700	GLYMA_18G161100	43	18	4	113626	-	+	False
KRG99656	KRG99663	GLYMA_18G160700	GLYMA_18G161400	43	18	7	158995	-	-	True
KRG99656	KRG99664	GLYMA_18G160700	GLYMA_18G161500	43	18	8	160028	-	-	True
KRG99656	KRG99665	GLYMA_18G160700	GLYMA_18G161600	43	18	9	173714	-	-	True
KRG99656	KRG99666	GLYMA_18G160700	GLYMA_18G161700	43	18	10	198144	-	-	True
KRG99657	KRG99660	GLYMA_18G160800	GLYMA_18G161100	43	18	3	103018	-	+	False
KRG99657	KRG99663	GLYMA_18G160800	GLYMA_18G161400	43	18	6	148387	-	-	True
KRG99657	KRG99664	GLYMA_18G160800	GLYMA_18G161500	43	18	7	149420	-	-	True
KRG99657	KRG99665	GLYMA_18G160800	GLYMA_18G161600	43	18	8	163106	-	-	True
KRG99657	KRG99666	GLYMA_18G160800	GLYMA_18G161700	43	18	9	187536	-	-	True
KRG99657	KRG99667	GLYMA_18G160800	GLYMA_18G161800	43	18	10	206179	-	-	True
KRG99660	KRG99663	GLYMA_18G161100	GLYMA_18G161400	43	18	3	45369	+	-	False
KRG99660	KRG99664	GLYMA_18G161100	GLYMA_18G161500	43	18	4	46402	+	-	False
KRG99660	KRG99665	GLYMA_18G161100	GLYMA_18G161600	43	18	5	60088	+	-	False
KRG99660	KRG99666	GLYMA_18G161100	GLYMA_18G161700	43	18	6	84518	+	-	False
KRG99660	KRG99667	GLYMA_18G161100	GLYMA_18G161800	43	18	7	103161	+	-	False
KRG99660	KRG99668	GLYMA_18G161100	GLYMA_18G161900	43	18	8	106663	+	-	False
KRG99663	KRG99664	GLYMA_18G161400	GLYMA_18G161500	43	18	1	1033	-	-	True
KRG99663	KRG99665	GLYMA_18G161400	GLYMA_18G161600	43	18	2	14719	-	-	True
KRG99663	KRG99666	GLYMA_18G161400	GLYMA_18G161700	43	18	3	39149	-	-	True
KRG99663	KRG99667	GLYMA_18G161400	GLYMA_18G161800	43	18	4	57792	-	-	True
KRG99663	KRG99668	GLYMA_18G161400	GLYMA_18G161900	43	18	5	61294	-	-	True
KRG99663	KRG99671	GLYMA_18G161400	GLYMA_18G162200	43	18	8	70477	-	-	True
KRG99663	KRG99672	GLYMA_18G161400	GLYMA_18G162300	43	18	9	74274	-	-	True
KRG99663	KRG99673	GLYMA_18G161400	GLYMA_18G162400	43	18	10	84682	-	-	True
KRG99664	KRG99665	GLYMA_18G161500	GLYMA_18G161600	43	18	1	13686	-	-	True
KRG99664	KRG99666	GLYMA_18G161500	GLYMA_18G161700	43	18	2	38116	-	-	True
KRG99664	KRG99667	GLYMA_18G161500	GLYMA_18G161800	43	18	3	56759	-	-	True
KRG99664	KRG99668	GLYMA_18G161500	GLYMA_18G161900	43	18	4	60261	-	-	True
KRG99664	KRG99671	GLYMA_18G161500	GLYMA_18G162200	43	18	7	69444	-	-	True
KRG99664	KRG99672	GLYMA_18G161500	GLYMA_18G162300	43	18	8	73241	-	-	True
KRG99664	KRG99673	GLYMA_18G161500	GLYMA_18G162400	43	18	9	83649	-	-	True
KRG99664	KRG99674	GLYMA_18G161500	GLYMA_18G162500	43	18	10	90192	-	-	True
