gene	age_class	ks_used	selection_class	w_used
KRH17191	Recent	0.1011	Neutral	1
KRH17193	Recent	0.0958	Purifying_selection	0.9712
KRH17195	Recent	0.0439	Neutral	1
KRH17196	Recent	0.1199	Neutral	1
KRH17197	Recent	0.0695	Neutral	1
KRH17198	Recent	0.1021	Purifying_selection	0.3281
KRH17200	Recent	0.2628	Purifying_selection	0.0702
KRH17201	Recent	0.0439	Neutral	1
KRH17204	Recent	0.0642	Purifying_selection	0.227
KRH17205	Recent	0.2579	Purifying_selection	0.4859
KRH17206	Recent	0.1159	Purifying_selection	0.2646
KRH17208	Recent	0.5329	Purifying_selection	0.4954
KRH17209	Recent	0.1545	Purifying_selection	0.1879
KRH17211	Recent	0.1877	Purifying_selection	0.1497
KRH17214	Recent	0.1784	Purifying_selection	0.5756
KRH17216	Recent	0.1784	Purifying_selection	0.5756
KRH17218	Recent	1.1268	Purifying_selection	0.3465
KRH17219	Recent	0.1547	Neutral	1
KRH17220	Recent	0.1161	Purifying_selection	0.583
KRH17225	Recent	0.1015	Purifying_selection	0.3063
KRH17228	Recent	0.2874	Purifying_selection	0.7756
KRH17229	Recent	0.059	Purifying_selection	0.6405
KRH17230	Recent	0.0015	Purifying_selection	0.3593
KRH17231	Recent	0.1343	Purifying_selection	0.1017
KRH17232	Recent	0.0529	Purifying_selection	0.2356
KRH17233	Recent	0.1366	Purifying_selection	0.3816
KRH17235	Recent	0.1137	Purifying_selection	0.429
KRH17237	Recent	0.1483	Purifying_selection	0.1132
KRH17240	Recent	0.0149	Neutral	1
KRH17241	Recent	0.9989	Purifying_selection	0.0903
KRH17243	Recent	0.1218	Purifying_selection	0.3683
KRH17244	Recent	0.1426	Purifying_selection	0.3595
KRH17245	Recent	0.0756	Purifying_selection	0.5497
KRH17248	Recent	0.3036	Purifying_selection	0.232
KRH17249	Recent	0.0935	Purifying_selection	0.7507
KRH17250	Recent	0.5854	Purifying_selection	0.3231
KRH17251	Recent	0.0942	Purifying_selection	0.1961
KRH17252	Recent	0.1583	Purifying_selection	0.363
KRH17253	Recent	0.9525	Purifying_selection	0.29
KRH17255	Recent	0.6438	Purifying_selection	0.3458
KRH17256	Recent	0.1009	Purifying_selection	0.5741
KRH17259	Recent	0.1199	Purifying_selection	0.6487
KRH17261	Recent	0.1406	Purifying_selection	0.2448
KRH17266	Recent	0.2271	Purifying_selection	0.4148
KRH17267	Recent	0.1462	Purifying_selection	0.3339
KRH17268	Recent	0.1483	Purifying_selection	0.4235
KRH17270	Recent	0.0843	Purifying_selection	0.2599
KRH17271	Recent	0.1124	Purifying_selection	0.32
KRH17272	Recent	0.1194	Purifying_selection	0.4054
KRH17273	Recent	0.0928	Purifying_selection	0.2585
KRH17278	Recent	0.1364	Purifying_selection	0.1422
KRH17279	Recent	0.1963	Purifying_selection	0.4003
KRH17280	Recent	0.1324	Purifying_selection	0.3572
KRH17282	Recent	0.126	Purifying_selection	0.4027
KRH17283	Recent	0.1544	Purifying_selection	0.1521
KRH17285	Recent	0.0933	Purifying_selection	0.0741
KRH17286	Recent	0.1071	Purifying_selection	0.1664
KRH17287	Recent	0.1809	Purifying_selection	0.1766
KRH17289	Recent	0.0943	Purifying_selection	0.4683
KRH17290	Recent	0.1022	Purifying_selection	0.5748
KRH17293	Recent	0.103	Purifying_selection	0.1844
KRH17295	Recent	0.1185	Purifying_selection	0.1885
KRH17296	Recent	0.2774	Purifying_selection	0.3676
KRH17298	Recent	0.1275	Purifying_selection	0.127
KRH17301	Recent	0.1012	Purifying_selection	0.4599
KRH17304	Recent	0.1313	Purifying_selection	0.663
KRH17308	Recent	0.0882	Purifying_selection	0.2734
KRH17309	Recent	0.1996	Purifying_selection	0.191
KRH17310	Recent	0.0826	Purifying_selection	0.4338
KRH17312	Recent	0.0944	Purifying_selection	0.2802
KRH17313	Recent	0.1209	Purifying_selection	0.3851
KRH17314	Recent	0.2312	Purifying_selection	0.1902
KRH17315	Recent	0.0933	Purifying_selection	0.2264
KRH17318	Recent	0.0692	Purifying_selection	0.5955
KRH17320	Recent	0.1017	Purifying_selection	0.4911
KRH17321	Recent	0.9342	Purifying_selection	0.4083
KRH17322	Recent	0.3647	Purifying_selection	0.4226
KRH17323	Recent	0.0894	Neutral	1
KRH17325	Recent	0.0881	Purifying_selection	0.1915
KRH17327	Recent	0.2292	Purifying_selection	0.1765
KRH17328	Recent	0.1715	Purifying_selection	0.5124
KRH17329	Recent	0.1715	Purifying_selection	0.5124
KRH17333	Recent	0.1114	Purifying_selection	0.1543
KRH17336	Recent	0.1674	Purifying_selection	0.1922
KRH17348	Recent	0.1761	Purifying_selection	0.4956
KRH17349	Recent	0.0541	Purifying_selection	0.0937
KRH17350	Recent	0.1514	Purifying_selection	0.2161
KRH17351	Recent	0.0685	Purifying_selection	0.4856
KRH17353	Recent	0.303	Purifying_selection	0.6659
KRH17355	Recent	0.0445	Purifying_selection	0.2726
KRH17357	Recent	0.0445	Purifying_selection	0.2375
KRH17362	Recent	0.0943	Purifying_selection	0.4607
KRH17363	Recent	0.0511	Purifying_selection	0.3188
KRH17366	Recent	0.1064	Purifying_selection	0.6186
KRH17367	Recent	0.0628	Purifying_selection	0.5177
KRH17369	Recent	0.1037	Purifying_selection	0.5589
KRH17370	Recent	0.4985	Purifying_selection	0.1798
KRH17371	Recent	0.0965	Purifying_selection	0.2515
KRH17377	Recent	0.1362	Purifying_selection	0.2182
KRH17378	Recent	0.1151	Purifying_selection	0.6061
KRH17381	Recent	0.1282	Purifying_selection	0.2983
KRH17382	Recent	0.1711	Purifying_selection	0.3381
KRH17383	Recent	0.1497	Purifying_selection	0.2251
KRH17384	Recent	0.1611	Purifying_selection	0.4105
KRH17385	Recent	0.1266	Purifying_selection	0.6339
KRH17386	Recent	0.1133	Purifying_selection	0.2762
KRH17387	Recent	0.1068	Purifying_selection	0.3013
KRH17389	Recent	0.1018	Purifying_selection	0.2647
KRH17394	Recent	1.3166	Purifying_selection	0.2647
KRH17395	Recent	0.5679	Purifying_selection	0.3535
KRH17396	Recent	0.134	Purifying_selection	0.1891
KRH17398	Recent	1.3054	Purifying_selection	0.1072
KRH17401	Recent	0.0836	Purifying_selection	0.1763
KRH17403	Recent	0.1042	Purifying_selection	0.175
KRH17404	Recent	0.0863	Purifying_selection	0.5087
KRH17405	Recent	0.1677	Purifying_selection	0.2182
KRH17406	Recent	0.0789	Purifying_selection	0.3729
KRH17408	Recent	0.0235	Neutral	1
KRH17410	Recent	0.1304	Purifying_selection	0.2054
KRH17413	Recent	0.2278	Purifying_selection	0.1589
KRH17415	Recent	0.0177	Purifying_selection	0.944
KRH17417	Recent	0.1341	Purifying_selection	0.635
KRH17420	Recent	0.1229	Purifying_selection	0.2656
KRH17425	Recent	0.1476	Purifying_selection	0.1736
KRH17426	Recent	0.106	Purifying_selection	0.5443
KRH17427	Recent	0.1129	Purifying_selection	0.1298
KRH17430	Recent	0.0981	Purifying_selection	0.5984
KRH17433	Recent	0.1658	Purifying_selection	0.29
KRH17434	Recent	0.011	Neutral	1
KRH17435	Recent	0.1231	Purifying_selection	0.0654
KRH17436	Recent	0.1409	Purifying_selection	0.184
KRH17438	Recent	0.1233	Purifying_selection	0.3698
KRH17441	Recent	0.2427	Purifying_selection	0.3922
KRH17444	Recent	0.1013	Purifying_selection	0.0684
KRH17446	Recent	0.1115	Purifying_selection	0.5998
KRH17447	Recent	0.1051	Purifying_selection	0.3725
KRH17448	Recent	0.0876	Purifying_selection	0.152
KRH17450	Recent	0.0835	Purifying_selection	0.2699
KRH17452	Recent	0.0606	Purifying_selection	0.7901
KRH17453	Recent	0.172	Purifying_selection	0.6573
KRH17455	Recent	0.7707	Purifying_selection	0.524
KRH17460	Recent	0.1438	Purifying_selection	0.4296
KRH17461	Recent	0.0728	Purifying_selection	0.4492
KRH17462	Recent	0.1183	Purifying_selection	0.3728
KRH17463	Recent	0.0988	Purifying_selection	0.3341
KRH17464	Recent	0.3276	Purifying_selection	0.343
KRH17468	Recent	0.1718	Purifying_selection	0.363
KRH17471	Recent	0.1888	Purifying_selection	0.313
KRH17472	Recent	0.1127	Purifying_selection	0.4181
KRH17473	Recent	0.1698	Purifying_selection	0.3274
KRH17474	Recent	0.0878	Purifying_selection	0.5236
KRH17475	Recent	0.0719	Purifying_selection	0.4437
KRH17476	Recent	0.065	Purifying_selection	0.3104
KRH17478	Recent	0.1281	Purifying_selection	0.6164
KRH17479	Recent	0.9449	Purifying_selection	0.2406
KRH17481	Recent	0.1621	Purifying_selection	0.4481
KRH17482	Recent	0.1668	Purifying_selection	0.2916
KRH17483	Recent	0.2409	Purifying_selection	0.6352
KRH17485	Recent	0.2032	Purifying_selection	0.1712
KRH17486	Recent	0.2008	Purifying_selection	0.3245
KRH17488	Old	3.0854	Purifying_selection	0.1573
KRH17489	Recent	0.2491	Purifying_selection	0.5283
KRH17491	Recent	0.2491	Purifying_selection	0.5283
KRH17496	Recent	0.1194	Purifying_selection	0.2237
KRH17506	Recent	0.069	Purifying_selection	0.416
KRH17509	Old	2.4014	Purifying_selection	0.2194
KRH17522	Recent	0.1315	Purifying_selection	0.0825
KRH17523	Recent	0.3005	Purifying_selection	0.5462
KRH17540	Recent	0.2445	Purifying_selection	0.4342
KRH17544	Recent	1.3526	Purifying_selection	0.4046
KRH17545	Recent	0.0955	Purifying_selection	0.2761
KRH17547	Recent	0.1058	Purifying_selection	0.5669
KRH17548	Recent	0.2365	Purifying_selection	0.8647
KRH17549	Recent	0.0615	Purifying_selection	0.4578
KRH17551	Recent	0.1051	Purifying_selection	0.6814
KRH17552	Old	2.1349	Purifying_selection	0.2734
KRH17553	Recent	0.1225	Purifying_selection	0.5627
KRH17554	Recent	0.7039	Purifying_selection	0.4481
KRH17555	Recent	0.3175	Purifying_selection	0.1717
KRH17556	Recent	0.1203	Neutral	1
KRH17557	Recent	0.0884	Purifying_selection	0.7319
KRH17558	Recent	0.0108	Neutral	1
KRH17559	Recent	0.2022	Purifying_selection	0.1214
KRH17560	Recent	0.1053	Purifying_selection	0.892
KRH17562	Recent	0.1133	Purifying_selection	0.4885
KRH17563	Recent	0.1078	Purifying_selection	0.5842
KRH17564	Recent	0.245	Purifying_selection	0.2181
KRH17565	Recent	0.0928	Purifying_selection	0.2742
KRH17567	Recent	0.1638	Purifying_selection	0.1639
KRH17568	Recent	0.1248	Purifying_selection	0.9013
KRH17569	Recent	0.2592	Purifying_selection	0.5196
KRH17573	Recent	0.1822	Purifying_selection	0.306
KRH17574	Recent	0.0864	Purifying_selection	0.8036
KRH17575	Recent	0.199	Purifying_selection	0.4275
KRH17576	Recent	0.2331	Purifying_selection	0.6607
KRH17577	Recent	0.0978	Purifying_selection	0.5103
KRH17592	Recent	0.1652	Purifying_selection	0.3918
KRH17593	Recent	0.1093	Purifying_selection	0.3852
KRH17595	Recent	0.057	Purifying_selection	0.286
KRH17597	Recent	0.0524	Purifying_selection	0.7707
KRH17598	Recent	0.2568	Purifying_selection	0.4172
KRH17599	Recent	0.091	Purifying_selection	0.0976
KRH17602	Recent	0.1067	Purifying_selection	0.307
KRH17603	Recent	0.0842	Purifying_selection	0.347
KRH17605	Recent	0.0803	Purifying_selection	0.5715
KRH17606	Recent	0.3987	Purifying_selection	0.3624
KRH17607	Recent	0.3139	Purifying_selection	0.7839
KRH17608	Recent	0.0088	Purifying_selection	0.9699
KRH17609	Recent	0.1025	Purifying_selection	0.227
KRH17613	Old	3.1516	Purifying_selection	0.2404
KRH17617	Recent	0.3054	Purifying_selection	0.5498
KRH17618	Recent	0.3201	Purifying_selection	0.6071
KRH17619	Recent	0.1167	Purifying_selection	0.2787
KRH17620	Old	2.1295	Purifying_selection	0.1997
KRH17622	Recent	0.0885	Purifying_selection	0.3558
KRH17626	Recent	0.1306	Purifying_selection	0.1135
KRH17628	Recent	0.0825	Purifying_selection	0.1072
KRH17629	Recent	0.1048	Purifying_selection	0.3483
KRH17630	Recent	0.9523	Purifying_selection	0.6905
KRH17632	Recent	0.3162	Purifying_selection	0.2048
KRH17633	Recent	0.6832	Purifying_selection	0.3374
KRH17634	Recent	0.0433	Purifying_selection	0.2055
KRH17635	Recent	1.1733	Purifying_selection	0.2119
KRH17638	Recent	0.1205	Purifying_selection	0.7855
KRH17639	Recent	0.8385	Purifying_selection	0.1039
KRH17640	Recent	0.0791	Purifying_selection	0.9062
KRH17641	Recent	0.1499	Purifying_selection	0.38
KRH17646	Recent	0.104	Purifying_selection	0.3729
KRH17653	Recent	1.6263	Purifying_selection	0.4902
KRH17654	Recent	0.167	Purifying_selection	0.5314
KRH17656	Recent	0.0382	Purifying_selection	0.9034
KRH17657	Recent	0.261	Purifying_selection	0.1687
KRH17658	Recent	0.813	Purifying_selection	0.6758
KRH17659	Recent	0.4656	Purifying_selection	0.3789
KRH17660	Recent	0.813	Purifying_selection	0.6758
KRH17664	Recent	0.2495	Purifying_selection	0.3914
KRH17666	Recent	0.2378	Purifying_selection	0.6904
KRH17667	Recent	1.4665	Purifying_selection	0.2373
KRH17668	Recent	0.0778	Purifying_selection	0.6134
KRH17670	Recent	0.1103	Purifying_selection	0.3241
KRH17675	Recent	0.4623	Purifying_selection	0.2131
KRH17677	Recent	0.3015	Neutral	1
KRH17678	Recent	1.2442	Purifying_selection	0.4238
KRH17680	Recent	0.0848	Purifying_selection	0.7119
KRH17683	Recent	0.1455	Purifying_selection	0.537
KRH17686	Recent	0.1779	Purifying_selection	0.5786
KRH17687	Recent	0.3692	Purifying_selection	0.2636
KRH17688	Recent	0.0526	Neutral	1
KRH17689	Recent	0.1013	Purifying_selection	0.1537
KRH17692	Recent	0.141	Purifying_selection	0.2246
KRH17695	Recent	0.246	Purifying_selection	0.2847
KRH17696	Recent	0.1065	Purifying_selection	0.5353
KRH17699	Recent	0.2634	Purifying_selection	0.5485
KRH17700	Recent	0.0347	Purifying_selection	0.5619
KRH17701	Recent	0.0428	Purifying_selection	0.5619
KRH17702	Recent	0.0347	Purifying_selection	0.4535
KRH17703	Old	2.0487	Purifying_selection	0.1903
KRH17704	Recent	0.5195	Purifying_selection	0.2405
KRH17706	Recent	1.2501	Purifying_selection	0.2373
KRH17709	Recent	0.1199	Purifying_selection	0.2324
KRH17711	Recent	0.0216	Neutral	1
KRH17717	Recent	0.8627	Purifying_selection	0.4101
KRH17718	Recent	0.1825	Purifying_selection	0.659
KRH17725	Recent	0.0593	Purifying_selection	0.2622
KRH17726	Recent	0.105	Purifying_selection	0.246
KRH17727	Recent	0.133	Purifying_selection	0.7527
KRH17733	Recent	0.0413	Purifying_selection	0.7392
KRH17735	Recent	0.3332	Neutral	1
KRH17737	Recent	0.2997	Purifying_selection	0.6993
KRH17738	Recent	0.4949	Purifying_selection	0.7918
KRH17739	Recent	0.6965	Purifying_selection	0.7822
KRH17740	Recent	0.3462	Neutral	1
KRH17742	Recent	0.2959	Neutral	1
KRH17745	Recent	0.0119	Neutral	1
KRH17747	Recent	0.1006	Purifying_selection	0.5405
KRH17748	Recent	0.1051	Neutral	1
KRH17749	Recent	0.011	Purifying_selection	0.9994
KRH17750	Recent	0.0054	Purifying_selection	0.8576
KRH17751	Recent	0.0087	Neutral	1
KRH17752	Recent	0.0499	Neutral	1
KRH17753	Recent	0.0052	Neutral	1
KRH17754	Recent	0.1428	Purifying_selection	0.9707
KRH17755	Recent	0.0052	Neutral	1
KRH17756	Recent	0.2944	Purifying_selection	0.8198
KRH17757	Recent	0.0104	Neutral	1
KRH17758	Recent	0.0022	Neutral	1
KRH17759	Recent	0.001	Neutral	1
KRH17760	Recent	0.001	Neutral	1
KRH17761	Recent	0.154	Neutral	1
KRH17762	Recent	0.0073	Purifying_selection	0.8308
KRH17765	Recent	0.0499	Neutral	1
KRH17766	Recent	0.0397	Purifying_selection	0.8499
KRH17767	Recent	0.001	Neutral	1
KRH17768	Recent	0.0499	Neutral	1
KRH17769	Recent	0.0397	Purifying_selection	0.8499
KRH17770	Recent	0.0021	Neutral	1
KRH17771	Recent	0.0029	Neutral	1
KRH17772	Recent	0.0182	Purifying_selection	0.7918
KRH17773	Recent	0.1006	Purifying_selection	0.5405
KRH17774	Recent	0.0397	Neutral	1
KRH17775	Recent	0.001	Neutral	1
KRH17776	Recent	0.001	Neutral	1
KRH17777	Recent	0.0506	Purifying_selection	0.8225
KRH17778	Recent	0.001	Neutral	1
KRH17779	Recent	0.001	Neutral	1
KRH17780	Recent	0.0108	Purifying_selection	0.9042
KRH17781	Recent	0.0413	Neutral	1
KRH17782	Recent	1.6862	Purifying_selection	0.4901
KRH17783	Recent	0.1173	Purifying_selection	0.7435
KRH17784	Recent	0.0052	Neutral	1
KRH17785	Recent	0.1173	Purifying_selection	0.7435
KRH17786	Recent	0.1173	Purifying_selection	0.7435
KRH17787	Recent	0.001	Neutral	1
KRH17788	Recent	0.1173	Purifying_selection	0.7435
KRH17789	Recent	0.0127	Neutral	1
KRH17790	Recent	0.001	Neutral	1
KRH17791	Recent	0.1804	Neutral	1
KRH17792	Recent	0.0021	Neutral	1
KRH17793	Recent	0.001	Neutral	1
KRH17794	Recent	0.0011	Neutral	1
KRH17795	Recent	0.0054	Purifying_selection	0.7187
KRH17796	Recent	0.0011	Neutral	1
KRH17797	Recent	0.0011	Neutral	1
KRH17798	Recent	0.001	Neutral	1
KRH17799	Recent	0.0037	Neutral	1
KRH17800	Recent	0.0067	Neutral	1
KRH17801	Recent	0.0068	Purifying_selection	0.9433
KRH17802	Recent	0.0259	Neutral	1
KRH17803	Recent	0.1184	Purifying_selection	0.7399
KRH17804	Recent	0.0021	Neutral	1
KRH17805	Recent	0.0127	Neutral	1
KRH17806	Recent	0.001	Neutral	1
KRH17807	Recent	0.0076	Neutral	1
KRH17808	Recent	0.001	Neutral	1
KRH17809	Recent	0.001	Neutral	1
KRH17810	Recent	0.0019	Neutral	1
KRH17811	Recent	0.001	Neutral	1
KRH17812	Recent	0.0092	Neutral	1
KRH17814	Recent	0.0665	Neutral	1
KRH17815	Recent	0.2913	Neutral	1
KRH17816	Recent	0.0044	Purifying_selection	0.9526
KRH17817	Recent	0.001	Neutral	1
KRH17818	Recent	0.001	Neutral	1
KRH17819	Recent	0.001	Neutral	1
KRH17820	Recent	0.001	Neutral	1
KRH17821	Recent	0.1173	Purifying_selection	0.7435
KRH17822	Recent	0.0039	Neutral	1
KRH17823	Recent	0.0019	Neutral	1
KRH17824	Recent	0.001	Neutral	1
KRH17825	Recent	0.001	Neutral	1
KRH17826	Recent	0.001	Neutral	1
KRH17827	Recent	0.001	Neutral	1
KRH17828	Recent	0.0019	Neutral	1
KRH17829	Recent	0.0012	Neutral	1
KRH17830	Recent	0.0413	Purifying_selection	0.9415
KRH17831	Recent	0.001	Neutral	1
KRH17832	Recent	0.0093	Neutral	1
KRH17833	Recent	0.001	Neutral	1
KRH17834	Recent	0.0397	Purifying_selection	0.8499
KRH17835	Recent	0.1428	Purifying_selection	0.9707
KRH17836	Recent	0.0077	Neutral	1
KRH17837	Recent	0.001	Neutral	1
KRH17838	Recent	0.1006	Purifying_selection	0.5405
KRH17839	Recent	0.0019	Neutral	1
KRH17840	Recent	0.001	Neutral	1
KRH17841	Recent	0.001	Neutral	1
KRH17842	Recent	0.001	Neutral	1
KRH17843	Recent	0.5321	Neutral	1
KRH17844	Recent	0.1428	Purifying_selection	0.9707
KRH17845	Recent	0.0413	Purifying_selection	0.7508
KRH17847	Recent	0.0012	Neutral	1
KRH17849	Recent	0.0033	Neutral	1
KRH17850	Recent	0.0696	Neutral	1
KRH17852	Recent	0.0798	Purifying_selection	0.886
KRH17853	Recent	0.0665	Neutral	1
KRH17854	Recent	0.3261	Neutral	1
KRH17855	Recent	0.0021	Neutral	1
KRH17856	Recent	0.0127	Neutral	1
KRH17857	Recent	0.0092	Neutral	1
KRH17858	Recent	0.0184	Purifying_selection	0.6923
KRH17859	Recent	0.001	Neutral	1
KRH17860	Recent	0.0019	Neutral	1
KRH17861	Recent	0.0537	Purifying_selection	0.8673
KRH17862	Recent	0.0019	Neutral	1
KRH17863	Recent	0.001	Neutral	1
KRH17864	Recent	0.001	Neutral	1
KRH17865	Recent	0.001	Neutral	1
KRH17866	Recent	0.0108	Purifying_selection	0.886
KRH17867	Recent	0.0649	Purifying_selection	0.972
KRH17868	Recent	0.2749	Neutral	1
KRH17870	Recent	0.001	Neutral	1
KRH17871	Recent	0.001	Neutral	1
KRH17872	Recent	0.0014	Purifying_selection	0.7462
KRH17873	Recent	0.0014	Purifying_selection	0.813
KRH17874	Recent	0.0149	Purifying_selection	0.8241
KRH17875	Recent	0.1668	Purifying_selection	0.3973
KRH17876	Recent	0.6333	Purifying_selection	0.3097
KRH17877	Recent	0.0121	Neutral	1
KRH17878	Recent	0.1208	Neutral	1
KRH17879	Recent	0.0127	Neutral	1
KRH17880	Recent	0.0262	Neutral	1
KRH17882	Recent	0.0261	Neutral	1
KRH17883	Recent	0.02	Purifying_selection	0.6829
KRH17885	Recent	0.0508	Purifying_selection	0.5474
KRH17886	Recent	0.0228	Neutral	1
KRH17887	Recent	0.0321	Purifying_selection	0.8281
KRH17888	Recent	0.02	Purifying_selection	0.6132
KRH17889	Recent	0.2104	Purifying_selection	0.538
KRH17891	Recent	0.3303	Neutral	1
KRH17892	Recent	0.5799	Purifying_selection	0.2918
KRH17893	Recent	0.2799	Purifying_selection	0.3961
KRH17900	Recent	0.1262	Purifying_selection	0.3466
KRH17901	Recent	0.1167	Purifying_selection	0.2343
KRH17904	Recent	0.0764	Purifying_selection	0.2653
KRH17905	Old	2.9713	Purifying_selection	0.2142
KRH17906	Recent	0.2973	Purifying_selection	0.5672
KRH17907	Old	3.0686	Purifying_selection	0.2195
KRH17908	Recent	0.0881	Neutral	1
KRH17909	Recent	0.0728	Purifying_selection	0.262
KRH17914	Recent	0.0977	Purifying_selection	0.3104
KRH17924	Recent	0.0793	Purifying_selection	0.4703
KRH17927	Recent	0.1207	Purifying_selection	0.5518
KRH17928	Recent	0.0836	Purifying_selection	0.5416
KRH17929	Recent	0.054	Purifying_selection	0.3794
KRH17930	Recent	1.1396	Purifying_selection	0.4501
KRH17931	Recent	0.081	Purifying_selection	0.2083
KRH17932	Recent	1.6055	Purifying_selection	0.3903
KRH17935	Recent	0.1375	Purifying_selection	0.4628
KRH17936	Recent	0.3988	Purifying_selection	0.6216
KRH17937	Recent	0.1371	Purifying_selection	0.6849
KRH17938	Recent	0.1202	Purifying_selection	0.8092
KRH17939	Recent	0.1143	Purifying_selection	0.623
KRH17941	Recent	0.2165	Purifying_selection	0.3509
KRH17942	Recent	0.117	Purifying_selection	0.5737
KRH17943	Recent	0.0432	Purifying_selection	0.6496
KRH17944	Recent	0.2864	Purifying_selection	0.3884
KRH17945	Recent	0.0799	Purifying_selection	0.585
KRH17947	Recent	0.0613	Purifying_selection	0.9217
KRH17948	Recent	0.2751	Purifying_selection	0.3917
KRH17949	Recent	0.0356	Neutral	1
KRH17950	Recent	0.0367	Neutral	1
KRH17951	Recent	0.0128	Purifying_selection	0.5626
KRH17952	Recent	0.0212	Purifying_selection	0.6261
KRH17953	Recent	0.593	Purifying_selection	0.3528
KRH17954	Recent	0.0997	Purifying_selection	0.4212
KRH17959	Recent	0.0607	Purifying_selection	0.5755
KRH17960	Recent	0.0128	Purifying_selection	0.5626
KRH17962	Recent	0.5098	Purifying_selection	0.4516
KRH17964	Recent	0.3864	Purifying_selection	0.6475
KRH17965	Recent	0.4989	Purifying_selection	0.2898
KRH17967	Recent	0.0681	Purifying_selection	0.4382
KRH17969	Recent	0.1132	Purifying_selection	0.3769
KRH17972	Recent	0.1511	Purifying_selection	0.3985
KRH17974	Recent	0.0729	Purifying_selection	0.2009
KRH17976	Recent	0.1842	Purifying_selection	0.6844
KRH17977	Recent	0.217	Purifying_selection	0.4321
KRH17980	Recent	0.1215	Purifying_selection	0.4153
KRH17982	Recent	0.0898	Purifying_selection	0.5422
KRH17984	Recent	0.0852	Purifying_selection	0.5712
KRH17985	Recent	0.1675	Purifying_selection	0.4711
KRH17986	Recent	0.1021	Purifying_selection	0.4465
KRH17990	Recent	0.0919	Purifying_selection	0.3649
KRH17992	Recent	0.3181	Purifying_selection	0.6677
KRH17993	Recent	0.5181	Purifying_selection	0.3848
KRH17994	Recent	0.0596	Purifying_selection	0.5958
KRH17995	Recent	0.5218	Purifying_selection	0.3848
KRH17996	Recent	0.5181	Purifying_selection	0.3746
KRH17997	Recent	0.202	Purifying_selection	0.4177
KRH17998	Recent	0.1543	Purifying_selection	0.4895
KRH17999	Recent	0.107	Purifying_selection	0.3462
KRH18006	Recent	0.0822	Purifying_selection	0.5183
KRH18012	Recent	0.0408	Neutral	1
KRH18013	Recent	0.0361	Neutral	1
KRH18014	Recent	0.029	Purifying_selection	0.8668
KRH18020	Recent	0.0179	Neutral	1
KRH18021	Recent	0.0167	Neutral	1
KRH18022	Recent	0.0368	Purifying_selection	0.9882
KRH18023	Recent	0.0449	Purifying_selection	0.9297
KRH18024	Recent	0.0557	Neutral	1
KRH18027	Recent	0.0408	Neutral	1
KRH18028	Recent	0.1065	Purifying_selection	0.4624
KRH18030	Recent	0.0105	Neutral	1
KRH18031	Recent	0.0167	Neutral	1
KRH18032	Recent	0.0361	Neutral	1
KRH18033	Recent	0.0257	Neutral	1
KRH18034	Recent	0.186	Purifying_selection	0.1913
KRH18038	Recent	0.0916	Purifying_selection	0.3607
KRH18039	Recent	0.9531	Purifying_selection	0.2804
KRH18040	Recent	0.0583	Neutral	1
KRH18041	Recent	0.1373	Purifying_selection	0.2505
KRH18043	Recent	0.0941	Purifying_selection	0.4985
KRH18047	Recent	0.1448	Purifying_selection	0.5086
KRH18049	Recent	0.1172	Purifying_selection	0.27
KRH18051	Recent	0.2538	Purifying_selection	0.1828
KRH18052	Recent	0.1306	Purifying_selection	0.2399
KRH18054	Recent	0.1193	Purifying_selection	0.2265
KRH18055	Recent	0.0863	Purifying_selection	0.6081
KRH18058	Recent	0.1384	Purifying_selection	0.2719
KRH18060	Recent	0.5818	Purifying_selection	0.3746
KRH18061	Recent	0.321	Purifying_selection	0.4586
KRH18062	Recent	0.232	Purifying_selection	0.5438
KRH18066	Recent	0.5045	Purifying_selection	0.264
KRH18070	Recent	0.1534	Purifying_selection	0.2357
KRH18071	Recent	0.4781	Purifying_selection	0.3265
KRH18072	Recent	0.6809	Purifying_selection	0.2791
KRH18075	Recent	0.1202	Purifying_selection	0.3717
KRH18088	Recent	1.5396	Purifying_selection	0.3195
KRH18090	Recent	0.1205	Purifying_selection	0.1927
KRH18092	Recent	0.0891	Purifying_selection	0.2664
KRH18093	Recent	0.1717	Purifying_selection	0.1119
KRH18094	Recent	0.0364	Purifying_selection	0.7775
KRH18095	Recent	0.1429	Purifying_selection	0.7545
KRH18097	Recent	0.1057	Purifying_selection	0.3386
KRH18098	Recent	0.1132	Purifying_selection	0.5039
KRH18100	Recent	0.1846	Purifying_selection	0.4693
KRH18101	Recent	0.8025	Purifying_selection	0.3417
KRH18102	Recent	0.1267	Purifying_selection	0.1823
KRH18104	Recent	0.3087	Purifying_selection	0.933
KRH18105	Recent	0.0867	Purifying_selection	0.4129
KRH18106	Recent	0.4097	Purifying_selection	0.761
KRH18107	Recent	0.124	Purifying_selection	0.9098
KRH18108	Recent	0.8458	Purifying_selection	0.4913
KRH18109	Recent	0.5455	Purifying_selection	0.2591
KRH18110	Recent	0.0873	Purifying_selection	0.2591
KRH18112	Recent	0.3604	Purifying_selection	0.617
KRH18113	Recent	0.4657	Purifying_selection	0.2501
KRH18114	Recent	0.4657	Purifying_selection	0.2501
KRH18116	Recent	0.1318	Purifying_selection	0.2637
KRH18117	Recent	0.1195	Purifying_selection	0.17
KRH18119	Recent	0.1588	Purifying_selection	0.52
